					CZCE History data(2022SR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |SR201        |5,697.00   |6,039.00 |6,039.00 |5,675.00 |5,728.00 |5,716.00  |31.00     |19.00     |2,379     |12,181      |-1,386   |13,597.53    |5,696.00               
2022-01-04 |SR203        |5,737.00   |5,738.00 |5,813.00 |5,727.00 |5,777.00 |5,774.00  |40.00     |37.00     |50,971    |55,243      |4,725    |294,291.38   |                       
2022-01-04 |SR205        |5,759.00   |5,770.00 |5,838.00 |5,752.00 |5,804.00 |5,797.00  |45.00     |38.00     |256,302   |430,825     |-4,829   |1,485,793.00 |                       
2022-01-04 |SR207        |5,782.00   |5,794.00 |5,858.00 |5,782.00 |5,827.00 |5,829.00  |45.00     |47.00     |3,216     |2,280       |1,253    |18,745.48    |                       
2022-01-04 |SR209        |5,823.00   |5,830.00 |5,890.00 |5,812.00 |5,858.00 |5,858.00  |35.00     |35.00     |9,587     |37,643      |-202     |56,157.04    |                       
2022-01-04 |SR211        |5,865.00   |5,892.00 |5,904.00 |5,886.00 |5,892.00 |5,894.00  |27.00     |29.00     |14        |159         |-1       |82.52        |                       
2022-01-05 |SR201        |5,716.00   |5,738.00 |5,740.00 |5,708.00 |5,711.00 |5,722.00  |-5.00     |6.00      |1,319     |11,023      |-1,158   |7,547.12     |5,705.00               
2022-01-05 |SR203        |5,774.00   |5,777.00 |5,795.00 |5,742.00 |5,758.00 |5,772.00  |-16.00    |-2.00     |85,203    |62,716      |7,473    |491,775.04   |                       
2022-01-05 |SR205        |5,797.00   |5,804.00 |5,820.00 |5,769.00 |5,783.00 |5,798.00  |-14.00    |1.00      |286,837   |430,316     |-509     |1,662,943.77 |                       
2022-01-05 |SR207        |5,829.00   |5,828.00 |5,843.00 |5,798.00 |5,809.00 |5,822.00  |-20.00    |-7.00     |8,289     |5,376       |3,096    |48,254.69    |                       
2022-01-05 |SR209        |5,858.00   |5,855.00 |5,873.00 |5,830.00 |5,845.00 |5,856.00  |-13.00    |-2.00     |11,999    |38,505      |862      |70,266.79    |                       
2022-01-05 |SR211        |5,894.00   |5,895.00 |5,904.00 |5,881.00 |5,881.00 |5,897.00  |-13.00    |3.00      |18        |162         |3        |106.14       |                       
2022-01-06 |SR201        |5,722.00   |5,704.00 |5,720.00 |5,640.00 |5,644.00 |5,672.00  |-78.00    |-50.00    |2,612     |10,264      |-759     |14,823.58    |5,705.00               
2022-01-06 |SR203        |5,772.00   |5,749.00 |5,770.00 |5,665.00 |5,691.00 |5,722.00  |-81.00    |-50.00    |93,836    |65,380      |2,664    |536,948.08   |                       
2022-01-06 |SR205        |5,798.00   |5,781.00 |5,796.00 |5,686.00 |5,711.00 |5,741.00  |-87.00    |-57.00    |425,104   |463,208     |32,892   |2,440,575.50 |                       
2022-01-06 |SR207        |5,822.00   |5,806.00 |5,824.00 |5,716.00 |5,738.00 |5,763.00  |-84.00    |-59.00    |13,056    |7,588       |2,212    |75,242.76    |                       
2022-01-06 |SR209        |5,856.00   |5,801.00 |5,855.00 |5,747.00 |5,770.00 |5,802.00  |-86.00    |-54.00    |18,808    |40,995      |2,490    |109,130.30   |                       
2022-01-06 |SR211        |5,897.00   |5,888.00 |5,888.00 |5,790.00 |5,808.00 |5,825.00  |-89.00    |-72.00    |56        |182         |20       |326.19       |                       
