					ZCE Futures Historical Data(2025SR)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |SR501        |6,018.00   |6,050.00 |6,078.00 |6,037.00 |6,070.00 |6,061.00  |52.00     |43.00     |1,720     |14,563      |104      |10,424.94    |5,997.00               
2025-01-02 |SR503        |5,976.00   |5,995.00 |6,049.00 |5,995.00 |6,026.00 |6,029.00  |50.00     |53.00     |41,024    |87,725      |-6,271   |247,343.85   |                       
2025-01-02 |SR505        |5,948.00   |5,970.00 |6,024.00 |5,970.00 |6,002.00 |6,003.00  |54.00     |55.00     |225,660   |387,663     |20,164   |1,354,607.88 |                       
2025-01-02 |SR507        |5,910.00   |5,939.00 |5,975.00 |5,936.00 |5,948.00 |5,954.00  |38.00     |44.00     |640       |6,555       |72       |3,810.75     |                       
2025-01-02 |SR509        |5,848.00   |5,857.00 |5,904.00 |5,857.00 |5,889.00 |5,892.00  |41.00     |44.00     |20,573    |46,232      |4,741    |121,216.43   |                       
2025-01-02 |SR511        |5,784.00   |5,825.00 |5,832.00 |5,806.00 |5,818.00 |5,819.00  |34.00     |35.00     |93        |420         |-16      |541.13       |                       
2025-01-03 |SR501        |6,061.00   |6,070.00 |6,074.00 |6,035.00 |6,055.00 |6,054.00  |-6.00     |-7.00     |845       |15,033      |470      |5,115.91     |6,008.00               
2025-01-03 |SR503        |6,029.00   |6,030.00 |6,052.00 |5,994.00 |6,025.00 |6,024.00  |-4.00     |-5.00     |49,391    |78,103      |-9,622   |297,520.39   |                       
2025-01-03 |SR505        |6,003.00   |6,010.00 |6,029.00 |5,960.00 |5,995.00 |5,993.00  |-8.00     |-10.00    |297,714   |396,965     |9,302    |1,784,313.21 |                       
2025-01-03 |SR507        |5,954.00   |5,962.00 |5,981.00 |5,913.00 |5,942.00 |5,941.00  |-12.00    |-13.00    |1,185     |6,673       |118      |7,039.64     |                       
2025-01-03 |SR509        |5,892.00   |5,899.00 |5,907.00 |5,837.00 |5,869.00 |5,869.00  |-23.00    |-23.00    |33,004    |54,891      |8,659    |193,711.90   |                       
2025-01-03 |SR511        |5,819.00   |5,823.00 |5,831.00 |5,774.00 |5,798.00 |5,807.00  |-21.00    |-12.00    |191       |416         |-4       |1,109.10     |                       
2025-01-06 |SR501        |6,054.00   |6,054.00 |6,085.00 |6,012.00 |6,016.00 |6,061.00  |-38.00    |7.00      |871       |14,757      |-276     |5,278.92     |6,020.00               
2025-01-06 |SR503        |6,024.00   |6,020.00 |6,060.00 |5,969.00 |5,977.00 |6,020.00  |-47.00    |-4.00     |41,754    |68,230      |-9,873   |251,339.29   |                       
2025-01-06 |SR505        |5,993.00   |5,985.00 |6,036.00 |5,936.00 |5,946.00 |5,990.00  |-47.00    |-3.00     |368,560   |394,612     |-2,353   |2,207,793.92 |                       
2025-01-06 |SR507        |5,941.00   |5,927.00 |5,976.00 |5,895.00 |5,898.00 |5,932.00  |-43.00    |-9.00     |993       |6,744       |71       |5,890.07     |                       
2025-01-06 |SR509        |5,869.00   |5,869.00 |5,903.00 |5,825.00 |5,836.00 |5,865.00  |-33.00    |-4.00     |21,813    |56,189      |1,298    |127,926.33   |                       
2025-01-06 |SR511        |5,807.00   |5,790.00 |5,827.00 |5,753.00 |5,756.00 |5,789.00  |-51.00    |-18.00    |238       |436         |20       |1,377.70     |                       
2025-01-07 |SR501        |6,061.00   |6,027.00 |6,027.00 |5,995.00 |6,009.00 |6,008.00  |-52.00    |-53.00    |112       |14,647      |-110     |672.95       |6,024.00               
2025-01-07 |SR503        |6,020.00   |5,981.00 |6,000.00 |5,940.00 |5,962.00 |5,964.00  |-58.00    |-56.00    |31,545    |59,445      |-8,785   |188,125.88   |                       
2025-01-07 |SR505        |5,990.00   |5,952.00 |5,973.00 |5,905.00 |5,935.00 |5,935.00  |-55.00    |-55.00    |250,131   |380,180     |-14,432  |1,484,461.50 |                       
2025-01-07 |SR507        |5,932.00   |5,914.00 |5,923.00 |5,870.00 |5,890.00 |5,890.00  |-42.00    |-42.00    |776       |6,969       |225      |4,570.61     |                       
2025-01-07 |SR509        |5,865.00   |5,846.00 |5,855.00 |5,795.00 |5,811.00 |5,820.00  |-54.00    |-45.00    |20,698    |56,686      |497      |120,466.84   |                       
2025-01-07 |SR511        |5,789.00   |5,772.00 |5,777.00 |5,727.00 |5,741.00 |5,739.00  |-48.00    |-50.00    |345       |674         |238      |1,979.81     |                       
2025-01-08 |SR501        |6,008.00   |6,020.00 |6,027.00 |6,005.00 |6,005.00 |6,021.00  |-3.00     |13.00     |102       |14,545      |-102     |614.15       |6,027.00               
2025-01-08 |SR503        |5,964.00   |5,970.00 |5,977.00 |5,943.00 |5,956.00 |5,958.00  |-8.00     |-6.00     |23,384    |54,609      |-4,836   |139,333.29   |                       
2025-01-08 |SR505        |5,935.00   |5,941.00 |5,949.00 |5,913.00 |5,926.00 |5,929.00  |-9.00     |-6.00     |188,991   |376,412     |-3,768   |1,120,604.78 |                       
2025-01-08 |SR507        |5,890.00   |5,900.00 |5,902.00 |5,873.00 |5,880.00 |5,886.00  |-10.00    |-4.00     |500       |7,043       |74       |2,943.05     |                       
2025-01-08 |SR509        |5,820.00   |5,815.00 |5,824.00 |5,795.00 |5,800.00 |5,808.00  |-20.00    |-12.00    |12,742    |57,787      |1,101    |74,001.10    |                       
2025-01-08 |SR511        |5,739.00   |5,741.00 |5,752.00 |5,728.00 |5,734.00 |5,741.00  |-5.00     |2.00      |253       |885         |211      |1,452.41     |                       
2025-01-09 |SR501        |6,021.00   |6,010.00 |6,010.00 |5,982.00 |5,997.00 |5,998.00  |-24.00    |-23.00    |202       |14,373      |-172     |1,211.64     |6,026.00               
2025-01-09 |SR503        |5,958.00   |5,945.00 |5,960.00 |5,886.00 |5,902.00 |5,915.00  |-56.00    |-43.00    |31,387    |49,218      |-5,391   |185,641.29   |                       
2025-01-09 |SR505        |5,929.00   |5,920.00 |5,931.00 |5,853.00 |5,872.00 |5,884.00  |-57.00    |-45.00    |308,002   |369,460     |-6,952   |1,812,284.26 |                       
2025-01-09 |SR507        |5,886.00   |5,873.00 |5,881.00 |5,821.00 |5,841.00 |5,846.00  |-45.00    |-40.00    |1,846     |7,594       |551      |10,791.26    |                       
2025-01-09 |SR509        |5,808.00   |5,791.00 |5,799.00 |5,749.00 |5,763.00 |5,774.00  |-45.00    |-34.00    |23,260    |56,654      |-1,133   |134,313.53   |                       
2025-01-09 |SR511        |5,741.00   |5,720.00 |5,729.00 |5,685.00 |5,694.00 |5,708.00  |-47.00    |-33.00    |168       |930         |45       |959.02       |                       
2025-01-10 |SR501        |5,998.00   |6,020.00 |6,020.00 |5,999.00 |6,001.00 |6,001.00  |3.00      |3.00      |63        |14,310      |-63      |378.07       |6,022.00               
2025-01-10 |SR503        |5,915.00   |5,890.00 |5,953.00 |5,879.00 |5,927.00 |5,920.00  |12.00     |5.00      |27,036    |45,361      |-3,857   |160,056.34   |                       
2025-01-10 |SR505        |5,884.00   |5,862.00 |5,911.00 |5,847.00 |5,891.00 |5,881.00  |7.00      |-3.00     |241,465   |348,356     |-21,104  |1,419,957.79 |                       
2025-01-10 |SR507        |5,846.00   |5,829.00 |5,872.00 |5,818.00 |5,852.00 |5,850.00  |6.00      |4.00      |1,110     |7,937       |343      |6,493.91     |                       
2025-01-10 |SR509        |5,774.00   |5,750.00 |5,796.00 |5,741.00 |5,770.00 |5,769.00  |-4.00     |-5.00     |15,398    |57,885      |1,231    |88,836.38    |                       
2025-01-10 |SR511        |5,708.00   |5,676.00 |5,724.00 |5,676.00 |5,697.00 |5,696.00  |-11.00    |-12.00    |104       |958         |28       |592.35       |                       
2025-01-13 |SR501        |6,001.00   |6,020.00 |6,040.00 |6,007.00 |6,040.00 |6,022.00  |39.00     |21.00     |83        |14,247      |-63      |499.81       |6,025.00               
2025-01-13 |SR503        |5,920.00   |5,929.00 |5,983.00 |5,899.00 |5,979.00 |5,943.00  |59.00     |23.00     |31,109    |42,065      |-3,296   |184,896.04   |                       
2025-01-13 |SR505        |5,881.00   |5,896.00 |5,947.00 |5,859.00 |5,945.00 |5,902.00  |64.00     |21.00     |278,381   |340,130     |-8,226   |1,643,141.98 |                       
2025-01-13 |SR507        |5,850.00   |5,852.00 |5,907.00 |5,825.00 |5,905.00 |5,865.00  |55.00     |15.00     |1,374     |7,997       |60       |8,058.29     |                       
2025-01-13 |SR509        |5,769.00   |5,776.00 |5,825.00 |5,747.00 |5,824.00 |5,793.00  |55.00     |24.00     |15,642    |58,223      |338      |90,620.43    |                       
2025-01-13 |SR511        |5,696.00   |5,701.00 |5,753.00 |5,686.00 |5,748.00 |5,730.00  |52.00     |34.00     |246       |984         |26       |1,409.65     |                       
2025-01-14 |SR501        |6,022.00   |6,030.00 |6,030.00 |6,030.00 |6,030.00 |6,030.00  |8.00      |8.00      |5         |14,247      |0        |30.15        |6,027.00               
2025-01-14 |SR503        |5,943.00   |5,968.00 |5,971.00 |5,942.00 |5,956.00 |5,957.00  |13.00     |14.00     |23,897    |39,386      |-2,679   |142,283.54   |                       
2025-01-14 |SR505        |5,902.00   |5,928.00 |5,939.00 |5,907.00 |5,926.00 |5,922.00  |24.00     |20.00     |183,409   |335,407     |-4,723   |1,086,218.23 |                       
2025-01-14 |SR507        |5,865.00   |5,885.00 |5,900.00 |5,870.00 |5,890.00 |5,888.00  |25.00     |23.00     |1,181     |7,263       |-734     |6,954.11     |                       
2025-01-14 |SR509        |5,793.00   |5,803.00 |5,825.00 |5,792.00 |5,814.00 |5,808.00  |21.00     |15.00     |10,695    |58,301      |78       |62,114.18    |                       
2025-01-14 |SR511        |5,730.00   |5,732.00 |5,750.00 |5,720.00 |5,738.00 |5,734.00  |8.00      |4.00      |143       |1,001       |17       |819.95       |                       
2025-01-15 |SR501        |6,030.00   |0.00     |0.00     |0.00     |0.00     |5,902.00  |-128.00   |-128.00   |92        |0           |-14,247  |542.98       |6,016.00               
2025-01-15 |SR503        |5,957.00   |5,923.00 |5,923.00 |5,809.00 |5,809.00 |5,856.00  |-148.00   |-101.00   |45,215    |36,482      |-2,904   |264,790.28   |                       
2025-01-15 |SR505        |5,922.00   |5,888.00 |5,889.00 |5,780.00 |5,781.00 |5,822.00  |-141.00   |-100.00   |419,694   |345,932     |10,525   |2,443,296.16 |                       
2025-01-15 |SR507        |5,888.00   |5,852.00 |5,852.00 |5,746.00 |5,749.00 |5,787.00  |-139.00   |-101.00   |2,442     |7,960       |697      |14,131.34    |                       
2025-01-15 |SR509        |5,808.00   |5,778.00 |5,778.00 |5,676.00 |5,679.00 |5,710.00  |-129.00   |-98.00    |34,968    |63,063      |4,762    |199,653.40   |                       
2025-01-15 |SR511        |5,734.00   |5,721.00 |5,721.00 |5,621.00 |5,623.00 |5,650.00  |-111.00   |-84.00    |601       |1,318       |317      |3,395.80     |                       
2025-01-16 |SR503        |5,856.00   |5,813.00 |5,837.00 |5,784.00 |5,827.00 |5,807.00  |-29.00    |-49.00    |37,465    |32,758      |-3,724   |217,567.66   |                       
2025-01-16 |SR505        |5,822.00   |5,780.00 |5,807.00 |5,742.00 |5,781.00 |5,774.00  |-41.00    |-48.00    |356,945   |338,725     |-7,207   |2,060,949.21 |                       
2025-01-16 |SR507        |5,787.00   |5,754.00 |5,766.00 |5,706.00 |5,741.00 |5,735.00  |-46.00    |-52.00    |1,950     |8,526       |566      |11,182.65    |                       
2025-01-16 |SR509        |5,710.00   |5,677.00 |5,694.00 |5,639.00 |5,666.00 |5,662.00  |-44.00    |-48.00    |27,081    |67,132      |4,069    |153,330.98   |                       
2025-01-16 |SR511        |5,650.00   |5,630.00 |5,636.00 |5,592.00 |5,617.00 |5,618.00  |-33.00    |-32.00    |654       |1,481       |163      |3,673.99     |                       
2025-01-16 |SR601        |5,650.00   |5,612.00 |5,626.00 |5,578.00 |5,593.00 |5,597.00  |-57.00    |-53.00    |401       |320         |320      |2,244.36     |                       
2025-01-17 |SR503        |5,807.00   |5,850.00 |5,873.00 |5,816.00 |5,854.00 |5,845.00  |47.00     |38.00     |31,116    |30,770      |-1,988   |181,867.36   |                       
