data,value
2006-01-04,100.0000000000
2006-01-05,100.4126031508
2006-01-06,99.7749437359
2006-01-09,99.2873218305
2006-01-10,99.3623405851
2006-01-11,98.9497374344
2006-01-12,97.8416776647
2006-01-13,97.6200657107
2006-01-16,97.9155483160
2006-01-17,97.8416776647
2006-01-18,96.9921651746
2006-01-19,97.1399064772
2006-01-20,97.2507124541
2006-01-23,97.6939363620
2006-01-24,97.6939363620
2006-01-25,97.6200657107
2006-01-26,98.1002249443
2006-01-27,99.0236080857
2006-02-06,99.8361852501
2006-02-07,99.0236080857
2006-02-08,97.1768418028
2006-02-09,97.1399064772
2006-02-10,97.3245831055
2006-02-13,97.0291005002
2006-02-14,97.2507124541
2006-02-15,97.4723244081
2006-02-16,97.5092597337
2006-02-17,98.5065135265
2006-02-20,98.2479662469
2006-02-21,98.4326428752
2006-02-22,98.1371602699
2006-02-23,96.2165233358
2006-02-24,97.7308716877
2006-02-27,97.3984537568
2006-02-28,96.9552298489
2006-03-01,96.9182945232
2006-03-02,96.9182945232
2006-03-03,95.9949113818
2006-03-06,96.0318467075
2006-03-07,95.8841054049
2006-03-08,95.8471700792
2006-03-09,96.0632854571
2006-03-10,96.1713431460
2006-03-13,96.0993046867
2006-03-14,95.7391123903
2006-03-15,95.8111508496
2006-03-16,95.2708624049
2006-03-17,94.7665931899
2006-03-20,95.3429008642
2006-03-21,95.0907662567
2006-03-22,95.5229970124
2006-03-23,95.2708624049
2006-03-24,95.3429008642
2006-03-27,95.6310547013
2006-03-28,95.6310547013
2006-03-29,95.5950354717
2006-03-30,95.3429008642
2006-03-31,95.4869777828
2006-04-03,94.4784393528
2006-04-04,93.6139778413
2006-04-05,92.1732086556
2006-04-06,92.1732086556
2006-04-07,91.4888432924
2006-04-10,90.0480741067
2006-04-11,89.3637087435
2006-04-12,89.5077856621
2006-04-13,89.0395356767
2006-04-14,88.9674972174
2006-04-17,88.9674972174
2006-04-18,88.7153626099
2006-04-19,88.8954587582
2006-04-20,88.3551703135
