data,value
2006-01-04,100.0000000000
2006-01-05,100.0000000000
2006-01-06,100.0000000000
2006-01-09,100.0000000000
2006-01-10,100.0000000000
2006-01-11,100.0000000000
2006-01-12,100.0000000000
2006-01-13,103.9727126806
2006-01-16,103.9727126806
2006-01-17,106.3402889246
2006-01-18,102.0866773676
2006-01-19,98.1139646870
2006-01-20,94.3017656501
2006-01-23,90.6902086677
2006-01-24,90.6902086677
2006-01-25,90.6902086677
2006-01-26,90.6902086677
2006-01-27,87.4799357945
2006-02-06,87.4799357945
2006-02-07,87.4799357945
2006-02-08,84.2696629213
2006-02-09,84.2696629213
2006-02-10,84.2696629213
2006-02-13,84.2696629213
2006-02-14,84.2696629213
2006-02-15,84.2696629213
2006-02-16,84.2696629213
2006-02-17,84.2696629213
2006-02-20,84.2696629213
2006-02-21,84.2696629213
2006-02-22,84.2696629213
2006-02-23,84.2696629213
2006-02-24,84.2696629213
2006-02-27,84.2696629213
2006-02-28,84.2696629213
2006-03-01,84.2696629213
2006-03-02,89.3258426966
2006-03-03,94.6629213483
2006-03-06,100.3210272873
2006-03-07,106.3402889246
2006-03-08,106.3402889246
2006-03-09,108.6492963825
2006-03-10,108.3134407522
2006-03-13,108.7332602900
2006-03-14,107.6417294917
2006-03-15,107.4738016766
2006-03-16,107.0539821388
2006-03-17,106.2143430632
2006-03-20,109.1530798278
2006-03-21,106.6341626010
2006-03-22,105.7945235254
2006-03-23,106.4242528321
2006-03-24,106.7181265086
2006-03-27,107.0959640926
2006-03-28,107.0959640926
2006-03-29,106.6761445548
2006-03-30,106.6761445548
2006-03-31,106.6761445548
2006-04-03,104.4511010045
2006-04-04,104.4930829582
2006-04-05,104.4930829582
2006-04-06,102.5199311306
2006-04-07,102.5199311306
2006-04-10,101.5963281474
2006-04-11,105.3747039876
2006-04-12,104.1152453742
2006-04-13,100.7986710256
2006-04-14,104.5350649120
2006-04-17,104.5350649120
2006-04-18,104.5350649120
2006-04-19,104.5350649120
2006-04-20,104.5350649120
2006-04-21,104.5350649120
2006-04-24,104.5350649120
2006-04-25,102.6458769919
2006-04-26,102.6458769919
2006-04-27,104.3251551431
2006-04-28,103.6954258364
2006-05-08,109.9087549959
2006-05-09,116.4999217393
2006-05-10,116.4999217393
2006-05-11,116.4999217393
2006-05-12,116.4999217393
2006-05-15,116.4999217393
2006-05-16,121.0857214009
2006-05-17,125.6715210624
2006-05-18,127.1657703904
2006-05-19,129.4844331406
2006-05-22,129.4844331406
2006-05-23,129.4844331406
2006-05-24,129.4844331406
2006-05-25,127.1657703904
2006-05-26,127.1657703904
2006-05-29,123.1467549566
2006-05-30,126.2383052903
2006-05-31,126.1867794514
2006-06-01,126.1867794514
2006-06-02,126.1867794514
2006-06-05,126.1867794514
2006-06-06,126.1867794514
2006-06-07,126.1867794514
2006-06-08,126.1867794514
2006-06-09,126.1867794514
2006-06-12,126.1867794514
2006-06-13,124.9501593179
2006-06-14,124.9501593179
2006-06-15,124.9501593179
2006-06-16,124.9501593179
2006-06-19,124.9501593179
2006-06-20,124.9501593179
2006-06-21,124.9501593179
2006-06-22,124.9501593179
2006-06-23,124.9501593179
2006-06-26,124.9501593179
2006-06-27,124.9501593179
2006-06-28,124.9501593179
2006-06-29,124.9501593179
2006-06-30,124.9501593179
2006-07-03,124.9501593179
2006-07-04,124.9501593179
2006-07-05,124.9501593179
2006-07-06,124.9501593179
2006-07-07,124.9501593179
2006-07-10,124.4551111431
2006-07-11,124.2570918732
2006-07-12,124.7026352305
2006-07-13,124.3065966907
2006-07-14,124.0590726033
2006-07-17,124.1085774208
2006-07-18,123.8115485159
2006-07-19,123.3165003411
2006-07-20,123.7125388809
2006-07-21,123.0689762537
2006-07-24,122.4254136265
2006-07-25,122.7224425313
2006-07-26,121.8313558167
2006-07-27,120.7422498322
2006-07-28,120.6432401972
2006-07-31,121.6333365468
2006-08-01,121.3858124594
2006-08-02,121.0392787370
2006-08-03,121.0887835545
2006-08-04,121.2868028244
2006-08-07,121.7323461818
2006-08-08,122.1778895391
2006-08-09,121.5838317293
2006-08-10,121.4353172769
2006-08-11,121.2868028244
2006-08-14,120.9897739196
2006-08-15,120.1481920224
2006-08-16,121.1382883720
2006-08-17,121.5343269118
2006-08-18,122.0788799041
2006-08-21,121.3363076419
2006-08-22,121.7818509992
2006-08-23,122.0788799041
2006-08-24,122.0788799041
2006-08-25,122.0788799041
2006-08-28,122.7224425313
2006-08-29,122.7224425313
2006-08-30,122.2768991740
2006-08-31,122.4749184439
2006-09-01,124.5541207781
2006-09-04,123.1679858887
2006-09-05,124.7521400480
2006-09-06,128.9600495337
2006-09-07,125.1481785878
2006-09-08,128.6135158114
2006-09-11,126.8516868277
2006-09-12,127.9591221889
2006-09-13,125.8449274084
2006-09-14,125.8449274084
2006-09-15,125.8449274084
2006-09-18,125.8449274084
2006-09-19,125.8449274084
2006-09-20,125.8449274084
2006-09-21,125.8449274084
2006-09-22,125.8449274084
2006-09-25,125.8449274084
2006-09-26,125.8449274084
2006-09-27,125.8449274084
2006-09-28,125.8449274084
2006-09-29,125.8449274084
2006-10-09,125.8449274084
2006-10-10,125.8449274084
2006-10-11,125.8449274084
2006-10-12,125.8449274084
2006-10-13,125.8449274084
2006-10-16,126.6503349438
2006-10-17,126.6503349438
2006-10-18,126.6503349438
2006-10-19,126.6503349438
2006-10-20,126.6503349438
2006-10-23,126.6503349438
2006-10-24,123.9320845118
2006-10-25,123.9320845118
2006-10-26,123.9320845118
2006-10-27,123.9320845118
2006-10-30,123.9320845118
2006-10-31,123.9320845118
2006-11-01,123.9320845118
2006-11-02,123.9320845118
2006-11-03,123.9320845118
2006-11-06,123.9320845118
2006-11-07,123.9320845118
2006-11-08,123.9320845118
2006-11-09,125.2106763933
2006-11-10,123.6124365414
2006-11-13,124.6627084441
2006-11-14,124.6627084441
2006-11-15,124.9366924187
2006-11-16,125.4389963721
2006-11-17,127.5395401774
2006-11-20,127.5395401774
2006-11-21,132.6082437075
2006-11-22,137.8139392250
2006-11-23,138.8185471319
2006-11-24,138.8185471319
2006-11-27,141.1017469202
2006-11-28,141.8323708525
