data,value
2013-12-06,100.0000000000
2013-12-09,101.5618742491
2013-12-10,107.2486984381
2013-12-11,106.9283139768
2013-12-12,108.0496595915
2013-12-13,106.6479775731
2013-12-16,106.6479775731
2013-12-17,107.5290348418
2013-12-18,104.9259110933
2013-12-19,104.9259110933
2013-12-20,104.9259110933
2013-12-23,104.9659591510
2013-12-24,106.1273528234
2013-12-25,106.1273528234
2013-12-26,102.3227873448
2013-12-27,100.1201441730
2013-12-30,98.2378854626
2013-12-31,98.7985582699
2014-01-02,98.3580296356
2014-01-03,98.3580296356
2014-01-06,97.2366840208
2014-01-07,97.7573087705
2014-01-08,97.6772126552
2014-01-09,100.9611533841
2014-01-10,101.0812975571
2014-01-13,101.0812975571
2014-01-14,101.7621145374
2014-01-15,102.1625951141
2014-01-16,100.5606728074
2014-01-17,100.6808169804
2014-01-20,104.1649979976
2014-01-21,103.0036043252
2014-01-22,103.0036043252
2014-01-23,103.9647577093
2014-01-24,105.6868241890
2014-01-27,105.6868241890
2014-01-28,106.6079295154
2014-01-29,107.7292751302
2014-01-30,107.4088906688
2014-02-07,107.4088906688
2014-02-10,107.4088906688
2014-02-11,107.4088906688
2014-02-12,107.4088906688
2014-02-13,105.8470164197
2014-02-14,106.4076892271
2014-02-17,107.7693231878
2014-02-18,107.6091309571
2014-02-19,105.1661994393
2014-02-20,105.0460552663
2014-02-21,105.2062474970
2014-02-24,104.7256708050
2014-02-25,105.2462955547
2014-02-26,106.0472567080
2014-02-27,107.3287945535
2014-02-28,104.9659591510
2014-03-03,105.7268722467
2014-03-04,108.1297557068
2014-03-05,108.5702843412
2014-03-06,108.8105726872
2014-03-07,109.1710052062
2014-03-10,108.2498998799
2014-03-11,109.6115338406
2014-03-12,109.7316780136
2014-03-13,109.3712454946
2014-03-14,108.2899479375
2014-03-17,107.4088906688
2014-03-18,107.7693231878
2014-03-19,108.7705246296
2014-03-20,109.2911493793
2014-03-21,110.5326391670
2014-03-24,110.4925911093
2014-03-25,111.4136964357
2014-03-26,112.1345614738
2014-03-27,113.0156187425
2014-03-28,113.6964357229
2014-03-31,117.2206647978
2014-04-01,119.4633560272
2014-04-02,120.1441730076
2014-04-03,125.3504205046
2014-04-04,121.9062875451
2014-04-08,125.7909491390
2014-04-09,128.1537845414
2014-04-10,128.0648814651
2014-04-11,128.1093330033
2014-04-14,131.3987468278
2014-04-15,132.2877775912
2014-04-16,135.6660944920
2014-04-17,134.8215152668
2014-04-18,131.7543591331
2014-04-21,130.0207491446
2014-04-22,127.6648176216
2014-04-23,127.6648176216
2014-04-24,130.9097799079
2014-04-25,132.0210683622
2014-04-28,133.2212598927
2014-04-29,131.4876499041
2014-04-30,132.9990022019
2014-05-05,136.9107375608
2014-05-06,143.7118229006
2014-05-07,143.5784682861
2014-05-08,134.9993214195
2014-05-09,127.1758507017
2014-05-12,125.8721746076
2014-05-13,123.2648224193
2014-05-14,121.9161919771
2014-05-15,120.0281093579
2014-05-16,115.9372636832
2014-05-19,115.0381767217
2014-05-20,113.1950484507
2014-05-21,112.9702767103
2014-05-22,112.2510071411
2014-05-23,111.7115549642
2014-05-26,111.1721027873
2014-05-27,109.4188832124
2014-05-28,107.6207092895
2014-05-29,105.2830831896
2014-05-30,102.6307766533
2014-06-03,103.5298636147
2014-06-04,100.6078309899
2014-06-05,101.2821462110
2014-06-06,102.4060049129
2014-06-09,104.6986766647
2014-06-10,110.5876962624
2014-06-11,115.0023747559
2014-06-12,111.8679530255
2014-06-13,111.7355126707
2014-06-16,111.5589255309
2014-06-17,110.1020816281
2014-06-18,108.2037698759
2014-06-19,107.5415681019
2014-06-20,106.7469259730
2014-06-23,108.9542652198
2014-06-24,108.9984120047
2014-06-25,106.4378984785
2014-06-26,105.5549627798
2014-06-27,104.3188528016
2014-06-30,102.8178621138
2014-07-01,101.8907796302
2014-07-02,101.8907796302
2014-07-03,107.2766873922
2014-07-04,109.5723202089
2014-07-07,113.4572372832
2014-07-08,116.3709250889
2014-07-09,116.3709250889
2014-07-10,117.5052265248
2014-07-11,117.6732711819
2014-07-14,116.7490255675
2014-07-15,116.3289139246
2014-07-16,116.1188581031
2014-07-17,116.3289139246
2014-07-18,115.7407576245
2014-07-21,115.8667911174
2014-07-22,115.6147241316
2014-07-23,115.6987464602
2014-07-24,116.3289139246
2014-07-25,119.3117065893
2014-07-28,120.4460080252
2014-07-29,122.1264545969
2014-07-30,122.9666778827
2014-07-31,124.6891356187
2014-08-01,123.5968453471
2014-08-04,124.3530463044
2014-08-05,126.3695821904
2014-08-06,124.3530463044
2014-08-07,126.5376268475
2014-08-08,127.5879059548
2014-08-11,127.9758421554
2014-08-12,129.0103386901
2014-08-13,131.4241639379
2014-08-14,131.8121001385
2014-08-15,132.4586604727
2014-08-18,131.3379558934
2014-08-19,129.2689628238
2014-08-20,130.1310432695
2014-08-21,131.2517478488
2014-08-22,130.3465633809
2014-08-25,131.1224357820
2014-08-26,130.1741472918
2014-08-27,131.2517478488
2014-08-28,131.0793317597
2014-08-29,131.9414122053
2014-09-01,129.5275869575
2014-09-02,123.2775037266
2014-09-03,122.0705911027
2014-09-04,127.2861777989
2014-09-05,132.8034926510
2014-09-09,130.0448352249
2014-09-10,129.1447070394
2014-09-11,130.0448352249
2014-09-12,129.7605842190
2014-09-15,128.8130808658
2014-09-16,129.6184587160
2014-09-17,129.0025815364
2014-09-18,129.2868325424
2014-09-19,131.4660902547
2014-09-22,131.3239647517
2014-09-23,130.2343358955
2014-09-24,128.7183305305
2014-09-25,128.5762050275
2014-09-26,128.6235801951
2014-09-29,130.1869607279
2014-09-30,124.0755640998
2014-10-08,123.1280607466
2014-10-09,125.0704426207
2014-10-10,125.0704426207
2014-10-13,119.4327976692
2014-10-14,119.4327976692
2014-10-15,119.4327976692
2014-10-16,119.0863287162
2014-10-17,117.6509573393
2014-10-20,116.8095327391
2014-10-21,114.6317278914
2014-10-22,114.6317278914
2014-10-23,115.3741613622
2014-10-24,115.0276924091
2014-10-27,112.9488786909
2014-10-28,111.2165339257
2014-10-29,111.4640117493
2014-10-30,110.3751093255
2014-10-31,109.7811625488
2014-11-03,116.2650815271
2014-11-04,116.2650815271
2014-11-05,116.2650815271
2014-11-06,117.0570105627
2014-11-07,116.8095327391
2014-11-10,116.8095327391
2014-11-11,116.1791034953
2014-11-12,115.6387355721
2014-11-13,116.8545633993
2014-11-14,114.7831530269
2014-11-17,117.8452379253
2014-11-18,119.0160350923
2014-11-19,120.5921082017
2014-11-20,119.9616789579
2014-11-21,119.9616789579
2014-11-24,117.3949313226
2014-11-25,117.1697780212
2014-11-26,120.6821695222
