data,value
2025-07-08,100.0000000000
2025-07-09,101.5704154002
2025-07-10,104.9476528200
2025-07-11,105.3360351233
2025-07-14,104.8463356974
2025-07-15,104.1202296521
2025-07-16,103.9007092199
2025-07-17,103.6643026005
2025-07-18,103.9513677812
2025-07-21,105.0151975684
2025-07-22,105.3360351233
2025-07-23,105.0658561297
2025-07-24,105.0489699426
2025-07-25,106.8220195880
2025-07-28,106.3154339750
2025-07-29,106.0959135427
2025-07-30,106.4505234718
2025-07-31,106.6024991557
2025-08-01,106.1127997298
2025-08-04,105.2178318136
2025-08-05,104.8632218845
2025-08-06,105.2853765620
2025-08-07,105.8426207362
2025-08-08,105.2178318136
2025-08-11,105.2178318136
2025-08-12,105.7750759878
2025-08-13,105.5386693685
2025-08-14,104.8632218845
2025-08-15,104.4917257683
2025-08-18,104.2046605876
2025-08-19,104.5254981425
2025-08-20,104.3059777102
2025-08-21,104.6437014522
2025-08-22,104.9307666329
2025-08-25,104.9814251942
2025-08-26,104.6099290780
2025-08-27,103.8838230328
2025-08-28,102.9381965552
2025-08-29,102.4147247552
2025-09-01,101.3508949679
2025-09-02,100.7429922324
2025-09-03,101.1989192840
2025-09-04,100.7598784195
2025-09-05,101.6548463357
2025-09-08,101.5366430260
2025-09-09,101.2833502195
2025-09-10,101.5197568389
2025-09-11,101.8912529551
2025-09-12,101.1313745356
2025-09-15,101.6717325228
2025-09-16,102.6342451874
2025-09-17,102.4822695035
2025-09-18,101.6717325228
2025-09-19,100.9625126646
2025-09-22,100.0000000000
2025-09-23,99.0374873354
2025-09-24,99.7973657548
2025-09-25,100.1350894968
2025-09-26,99.7298210064
2025-09-29,99.5440729483
2025-09-30,97.9567713610
2025-10-09,96.7916244512
2025-10-10,96.8085106383
2025-10-13,96.3694697737
2025-10-14,94.9679162445
2025-10-15,94.3093549477
2025-10-16,94.3768996960
2025-10-17,94.4613306315
2025-10-20,93.4650455927
2025-10-21,92.5700776765
2025-10-22,93.2286389733
2025-10-23,94.6133063154
2025-10-24,94.3600135089
2025-10-27,94.1067207025
2025-10-28,93.3637284701
2025-10-29,92.8909152313
2025-10-30,93.1442080378
2025-10-31,92.5531914894
2025-11-03,93.1442080378
2025-11-04,92.2998986829
2025-11-05,91.2698412698
2025-11-06,90.9996622763
2025-11-07,91.6582235731
2025-11-10,91.3880445795
2025-11-11,91.0840932118
2025-11-12,91.4218169537
2025-11-13,92.8571428571
2025-11-14,93.8534278960
2025-11-17,93.9716312057
2025-11-18,92.8402566700
2025-11-19,92.6038500507
2025-11-20,93.9716312057
2025-11-21,93.6845660250
2025-11-24,92.0128335022
2025-11-25,91.6919959473
2025-11-26,91.7595406957
2025-11-27,92.0634920635
2025-11-28,92.2830124958
2025-12-01,92.0634920635
2025-12-02,91.7426545086
2025-12-03,91.9790611280
2025-12-04,91.9452887538
2025-12-05,92.2661263087
2025-12-08,93.2792975346
2025-12-09,93.2117527862
2025-12-10,91.9621749409
2025-12-11,92.2154677474
2025-12-12,91.7426545086
2025-12-15,91.8270854441
2025-12-16,91.7933130699
2025-12-17,91.3036136440
2025-12-18,91.0165484634
2025-12-19,90.8645727795
2025-12-22,91.5737926376
2025-12-23,92.0634920635
2025-12-24,91.7764268828
2025-12-25,91.7933130699
2025-12-26,92.1141506248
2025-12-29,93.4143870314
2025-12-30,92.7220533604
2025-12-31,92.6376224249
2026-01-05,91.3542722053
2026-01-06,91.4724755150
2026-01-07,92.0466058764
2026-01-08,92.2830124958
2026-01-09,92.1310368119
2026-01-12,93.4650455927
2026-01-13,93.8196555218
2026-01-14,95.7615670382
2026-01-15,95.8628841608
2026-01-16,95.0861195542
2026-01-19,97.0449172577
2026-01-20,97.4670719352
2026-01-21,98.3958122256
2026-01-22,99.7973657548
2026-01-23,101.8743667680
2026-01-26,102.7186761229
2026-01-27,101.4690982776
2026-01-28,102.4484971293
2026-01-29,104.2384329618
2026-01-30,105.3191489362
2026-02-02,103.2928064843
2026-02-03,101.9756838906
2026-02-04,104.0357987166
2026-02-05,104.3904086457
2026-02-06,102.6173590003
2026-02-09,102.2627490713
2026-02-10,101.7730496454
2026-02-11,102.6680175616
2026-02-12,103.3096926714
2026-02-13,101.6548463357
2026-02-24,103.9682539683
2026-02-25,104.6099290780
2026-02-26,103.6136440392
2026-02-27,101.9081391422
2026-03-02,104.0695710908
2026-03-03,109.1860857818
2026-03-04,111.2124282337
2026-03-05,118.0006754475
2026-03-06,118.0006754475
2026-03-09,126.2580209389
2026-03-10,126.2580209389
2026-03-11,126.2580209389
2026-03-12,126.2580209389
2026-03-13,126.2580209389
2026-03-16,126.2580209389
2026-03-17,126.2580209389
2026-03-18,126.2580209389
2026-03-19,126.2580209389
2026-03-20,126.2580209389
2026-03-23,133.4979050103
2026-03-24,130.3950975511
2026-03-25,126.7365633828
2026-03-26,127.2768532389
2026-03-27,133.0965468315
2026-03-30,138.7309981878
2026-03-31,137.2490602968
2026-04-01,134.5476110164
2026-04-02,131.6917932057
2026-04-03,133.8066420709
2026-04-07,138.6229402165
2026-04-08,138.6229402165
2026-04-09,126.3506420571
2026-04-10,130.4105344042
2026-04-13,130.4105344042
2026-04-14,130.4105344042
2026-04-15,131.7689774709
2026-04-16,131.7689774709
2026-04-17,131.7689774709
2026-04-20,132.3710147391
2026-04-21,132.3710147391
2026-04-22,132.0717822251
2026-04-23,133.0639742451
2026-04-24,134.0246681058
2026-04-27,134.5443877354
2026-04-28,135.0956055243
2026-04-29,137.0799895644
2026-04-30,138.4344104172
2026-05-06,138.4344104172
2026-05-07,133.8671773090
2026-05-08,128.9534644478
2026-05-11,131.7568006314
2026-05-12,131.2685791612
2026-05-13,131.2685791612
2026-05-14,129.7724165913
2026-05-15,129.7724165913
2026-05-18,129.7724165913
2026-05-19,129.7724165913
2026-05-20,129.7724165913
2026-05-21,128.9270956630
2026-05-22,127.5964979054
2026-05-25,125.2953464894
2026-05-26,122.4932641528
2026-05-27,122.0236414149
2026-05-28,121.3818236730
