data,value
2006-01-04,100.0000000000
2006-01-05,99.2057188245
2006-01-06,98.4114376489
2006-01-09,99.0468625894
2006-01-10,99.1262907069
2006-01-11,99.1262907069
2006-01-12,98.4148579985
2006-01-13,98.8891464708
2006-01-16,99.2843868643
2006-01-17,99.0472426282
2006-01-18,98.4939060772
2006-01-19,98.9681945495
2006-01-20,98.6520022346
2006-01-23,99.2843868643
2006-01-24,99.2053387856
2006-01-25,100.0748676515
2006-01-26,99.9958195728
2006-01-27,100.7863003599
2006-02-06,103.4739350362
2006-02-07,104.3434639020
2006-02-08,101.8139253832
2006-02-09,104.5015600594
2006-02-10,102.6044061703
2006-02-13,102.4463100129
2006-02-14,103.4739350362
2006-02-15,103.8691754297
2006-02-16,102.9205984852
2006-02-17,104.5015600594
2006-02-20,103.2367908000
2006-02-21,102.9996465639
2006-02-22,104.2644158233
2006-02-23,105.4501370040
2006-02-24,104.1853677446
2006-02-27,103.0786946426
2006-02-28,103.7901273510
2006-03-01,104.3434639020
2006-03-02,104.3434639020
2006-03-03,105.8453773976
2006-03-06,105.0548966104
2006-03-07,105.0548966104
2006-03-08,104.8968004530
2006-03-09,104.1869724800
2006-03-10,104.3447120296
2006-03-13,104.2658422548
2006-03-14,103.4771445070
2006-03-15,104.1081027052
2006-03-16,103.6348840566
2006-03-17,102.9250560836
2006-03-20,103.0039258584
2006-03-21,102.6884467593
2006-03-22,103.0039258584
2006-03-23,102.8461863088
2006-03-24,102.8461863088
2006-03-27,103.2405351827
2006-03-28,103.2405351827
2006-03-29,103.0039258584
2006-03-30,102.9250560836
2006-03-31,103.0827956331
2006-04-03,102.4518374349
2006-04-04,101.8997490115
2006-04-05,102.0574885610
2006-04-06,102.1363583358
2006-04-07,101.8208792367
2006-04-10,100.9533117142
2006-04-11,100.5589628403
2006-04-12,100.4012232907
2006-04-13,100.4012232907
2006-04-14,100.4012232907
2006-04-17,100.5589628403
2006-04-18,100.1646139664
2006-04-19,100.7955721646
2006-04-20,100.4800930655
2006-04-21,100.2434837412
2006-04-24,100.8744419394
2006-04-25,100.0857441916
2006-04-26,98.8238277952
2006-04-27,99.8491348673
2006-04-28,100.2434837412
2006-05-08,100.3223535160
2006-05-09,101.1110512637
2006-05-10,101.1110512637
2006-05-11,95.4324274798
2006-05-12,100.9533117142
2006-05-15,100.3456168355
2006-05-16,99.5100363774
2006-05-17,99.5100363774
2006-05-18,99.7379219569
2006-05-19,99.9658075364
2006-05-22,100.1177312560
2006-05-23,100.6494642749
2006-05-24,100.9533117142
2006-05-25,100.8013879945
2006-05-26,101.3331210133
2006-05-29,101.4850447330
2006-05-30,101.6369684526
2006-05-31,100.8773498543
2006-06-01,100.4215786954
2006-06-02,100.9533117142
2006-06-05,100.9533117142
2006-06-06,101.1052354338
2006-06-07,100.8773498543
2006-06-08,101.0292735740
2006-06-09,101.0292735740
2006-06-12,101.3331210133
2006-06-13,101.2571591535
2006-06-14,100.8013879945
2006-06-15,101.0292735740
2006-06-16,100.8773498543
2006-06-19,100.2696549757
2006-06-20,100.9533117142
2006-06-21,100.8013879945
2006-06-22,101.1811972937
2006-06-23,100.7254261347
2006-06-26,101.1811972937
2006-06-27,101.1052354338
2006-06-28,100.4215786954
2006-06-29,100.4215786954
2006-06-30,99.8138838167
2006-07-03,94.1927061893
2006-07-04,98.8263796389
2006-07-05,98.8263796389
2006-07-06,92.9013545722
2006-07-07,92.9013545722
2006-07-10,92.7625922801
2006-07-11,92.9013545722
2006-07-12,92.9013545722
2006-07-13,92.8319734261
2006-07-14,92.9013545722
2006-07-17,92.9013545722
2006-07-18,92.7625922801
2006-07-19,92.6238299879
2006-07-20,92.6932111340
2006-07-21,91.7912562352
2006-07-24,89.9873464377
2006-07-25,90.3342521680
2006-07-26,89.7792029996
2006-07-27,89.4322972693
2006-07-28,89.4322972693
2006-07-31,90.0567275838
2006-08-01,90.0567275838
2006-08-02,89.0853915390
2006-08-03,89.4322972693
2006-08-04,89.5710595614
2006-08-07,89.5710595614
2006-08-08,89.4322972693
2006-08-09,89.5016784153
2006-08-10,89.5016784153
2006-08-11,89.7098218535
2006-08-14,89.4322972693
2006-08-15,90.4036333141
2006-08-16,89.8485841456
2006-08-17,89.9873464377
2006-08-18,89.9873464377
2006-08-21,89.7098218535
2006-08-22,90.1261087298
2006-08-23,90.4730144601
2006-08-24,90.3342521680
2006-08-25,90.0567275838
2006-08-28,89.6404407074
2006-08-29,90.0567275838
2006-08-30,90.0567275838
2006-08-31,89.9873464377
2006-09-01,89.0853915390
2006-09-04,89.2241538311
2006-09-05,89.8485841456
2006-09-06,90.2648710220
2006-09-07,91.5831127971
2006-09-08,90.1261087298
2006-09-11,89.4515121076
2006-09-12,89.5189717698
2006-09-13,89.2491331209
2006-09-14,89.1142137965
2006-09-15,88.6419961609
2006-09-18,88.7769154854
2006-09-19,88.4396171743
2006-09-20,88.0348592009
2006-09-21,88.1023188632
2006-09-22,88.3721575121
2006-09-25,87.6975608898
2006-09-26,87.4277222409
2006-09-27,87.7650205520
2006-09-28,87.8324802143
2006-09-29,87.4951819032
2006-10-09,86.6182062943
2006-10-10,86.8205852809
2006-10-11,87.0229642676
2006-10-12,87.8324802143
2006-10-13,88.3721575121
2006-10-16,89.0467541343
2006-10-17,89.3840524454
2006-10-18,88.3721575121
2006-10-19,88.4396171743
2006-10-20,88.7094558232
2006-10-23,88.1023188632
2006-10-24,88.2372381876
2006-10-25,88.7094558232
2006-10-26,88.6419961609
2006-10-27,89.0467541343
2006-10-30,88.9118348098
2006-10-31,88.0348592009
2006-11-01,87.3602625787
2006-11-02,89.3840524454
2006-11-03,89.3840524454
2006-11-06,89.5864314321
2006-11-07,90.0586490676
2006-11-08,90.0586490676
2006-11-09,90.1873962428
2006-11-10,89.6724075420
2006-11-13,91.4748679951
2006-11-14,92.4404718092
2006-11-15,93.9854379119
2006-11-16,94.6935473756
2006-11-17,94.1785586747
2006-11-20,95.9166455402
2006-11-21,96.1097663030
2006-11-22,95.5947776022
2006-11-23,95.7235247774
2006-11-24,95.9166455402
2006-11-27,97.2041172924
2006-11-28,97.3972380553
2006-11-29,96.1741398907
2006-11-30,95.9810191278
2006-12-01,96.4316342411
2006-12-04,95.0797889013
2006-12-05,93.5991963862
2006-12-06,94.1141850871
2006-12-07,94.5004266128
2006-12-08,96.5603814163
2006-12-11,98.1697211066
2006-12-12,99.5859400340
2006-12-13,98.1697211066
2006-12-14,99.2640720960
2006-12-15,98.7490833951
2006-12-18,98.0409739314
2006-12-19,98.7490833951
2006-12-20,99.0065777455
2006-12-21,99.3928192712
2006-12-22,99.3284456836
2006-12-25,100.0365551473
2006-12-26,101.3240268995
2006-12-27,101.7102684252
2006-12-28,101.5815212500
2006-12-29,100.4227966730
2007-01-04,97.2684908800
2007-01-05,100.4871702606
2007-01-08,101.7102684252
2007-01-09,98.2984682818
2007-01-10,100.0365551473
2007-01-11,100.0365551473
2007-01-12,100.4805981949
2007-01-15,104.2866814598
2007-01-16,103.0814217593
2007-01-17,101.9395967798
2007-01-18,101.8761620587
2007-01-19,100.5440329160
2007-01-22,99.9731204262
2007-01-23,100.4171634738
2007-01-24,99.4656426576
2007-01-25,99.7828162630
2007-01-26,99.4656426576
2007-01-29,99.7193815419
2007-01-30,99.4656426576
2007-01-31,99.5925120997
2007-02-01,99.7193815419
2007-02-02,99.5925120997
2007-02-05,99.8462509841
2007-02-06,100.0999898684
2007-02-07,100.0365551473
2007-02-08,100.0365551473
2007-02-09,100.3537287527
2007-02-12,100.0999898684
2007-02-13,99.0850343311
2007-02-14,98.8947301678
2007-02-15,98.8947301678
2007-02-16,98.8312954467
2007-02-26,99.2753384943
2007-02-27,98.4506871202
2007-02-28,96.6110802088
2007-03-01,96.9916885353
2007-03-02,96.9282538143
2007-03-05,97.0551232564
2007-03-06,96.8648190932
2007-03-07,97.0551232564
2007-03-08,96.9282538143
2007-03-09,96.2593637315
2007-03-12,95.5296654594
2007-03-13,95.5904736487
2007-03-14,95.7728982167
2007-03-15,96.5025964889
2007-03-16,96.7458292462
2007-03-19,96.8674456249
2007-03-20,96.5634046782
2007-03-21,96.6242128675
2007-03-22,96.3809801102
2007-03-23,96.4417882995
2007-03-26,96.1985555421
2007-03-27,96.0769391634
2007-03-28,96.2593637315
2007-03-29,96.2593637315
2007-03-30,96.1377473528
2007-04-02,95.2256245126
2007-04-03,95.9553227848
2007-04-04,96.2593637315
2007-04-05,96.1985555421
2007-04-06,95.8945145954
2007-04-09,95.8337064061
2007-04-10,95.2864327020
2007-04-11,95.3472408913
2007-04-12,94.4351180512
2007-04-13,93.7054197790
2007-04-16,93.4621870217
2007-04-17,93.4621870217
2007-04-18,93.1581460749
2007-04-19,93.1581460749
2007-04-20,92.9149133176
2007-04-23,92.9757215069
2007-04-24,92.9757215069
2007-04-25,93.0973378856
2007-04-26,93.5838034003
2007-04-27,93.4621870217
2007-04-30,93.2797624536
2007-05-08,93.2797624536
2007-05-09,93.5838034003
2007-05-10,94.0702689151
2007-05-11,94.7391589979
2007-05-14,95.8945145954
2007-05-15,96.5634046782
2007-05-16,96.9809116780
2007-05-17,96.8019801067
2007-05-18,96.4441169640
2007-05-21,96.6826923924
2007-05-22,96.3844731068
2007-05-23,95.8476783928
2007-05-24,95.8476783928
2007-05-25,95.6091029643
2007-05-28,95.9669661070
2007-05-29,95.2512398215
2007-05-30,95.4301713929
2007-05-31,95.4301713929
2007-06-01,95.4301713929
2007-06-04,95.3108836787
2007-06-05,95.3705275358
2007-06-06,95.4301713929
2007-06-07,95.5494591071
2007-06-08,95.3705275358
2007-06-11,95.1319521073
2007-06-12,95.0126643931
2007-06-13,94.5951573932
2007-06-14,94.7740889646
2007-06-15,94.5355135361
2007-06-18,94.1180065363
2007-06-19,93.8794311078
2007-06-20,91.9708276799
2007-06-21,92.4479785369
2007-06-22,92.1497592513
2007-06-25,91.9111838228
2007-06-26,91.3743891087
2007-06-27,89.6447172522
2007-06-28,89.0482786810
2007-06-29,89.5850733951
2007-07-02,89.5850733951
2007-07-03,90.5990189661
2007-07-04,89.4657856809
2007-07-05,89.4657856809
2007-07-06,89.5254295380
2007-07-09,89.3488507815
2007-07-10,88.0539399006
2007-07-11,86.9944673617
2007-07-12,87.5242036311
2007-07-13,87.5830632166
2007-07-16,86.8178886052
2007-07-17,86.8767481907
2007-07-18,87.0533269472
2007-07-19,87.7007823876
2007-07-20,87.7007823876
2007-07-23,87.7007823876
2007-07-24,87.2299057037
2007-07-25,86.9944673617
2007-07-26,86.9944673617
2007-07-27,87.1121865327
2007-07-30,87.5830632166
2007-07-31,88.1716590716
2007-08-01,88.2305186571
2007-08-02,88.1716590716
2007-08-03,88.2893782426
2007-08-06,88.1716590716
2007-08-07,87.4064844602
2007-08-08,87.1121865327
2007-08-09,87.2887652892
2007-08-10,87.3476248747
2007-08-13,88.1716590716
2007-08-14,88.1716590716
2007-08-15,88.0539399006
2007-08-16,87.5830632166
2007-08-17,86.8767481907
2007-08-20,86.9944673617
2007-08-21,87.1121865327
2007-08-22,87.1710461182
2007-08-23,87.3476248747
2007-08-24,87.2887652892
2007-08-27,87.4064844602
2007-08-28,87.8773611441
2007-08-29,88.6425357555
2007-08-30,89.1722720250
2007-08-31,88.3482378281
2007-09-03,88.5248165846
2007-09-04,88.4659569991
2007-09-05,88.6425357555
2007-09-06,88.8191145120
2007-09-07,90.3494637349
2007-09-10,90.8154828902
2007-09-11,90.8154828902
2007-09-12,91.8057735952
2007-09-13,92.9708214835
2007-09-14,92.5048023282
2007-09-17,92.6795595114
2007-09-18,92.7378119058
2007-09-19,91.9805307785
2007-09-20,91.4562592288
2007-09-21,91.5145116232
2007-09-24,91.2232496511
2007-09-25,90.7572304958
2007-09-26,91.2232496511
2007-09-27,91.8057735952
2007-09-28,91.4562592288
2007-10-08,91.4562592288
2007-10-09,90.4659685237
2007-10-10,90.2912113405
2007-10-11,90.2329589461
2007-10-12,89.8834445796
2007-10-15,89.8834445796
2007-10-16,90.8154828902
2007-10-17,90.2912113405
2007-10-18,90.2912113405
2007-10-19,89.7086873964
2007-10-22,88.9514062690
2007-10-23,87.0290772533
2007-10-24,87.4950964087
2007-10-25,87.3203392254
2007-10-26,87.2038344366
2007-10-29,89.1261634522
2007-10-30,89.0096586634
2007-10-31,89.0096586634
2007-11-01,88.8349014802
2007-11-02,88.8349014802
2007-11-05,88.8349014802
2007-11-06,88.8349014802
2007-11-07,88.8349014802
2007-11-08,88.8349014802
2007-11-09,88.9443714758
2007-11-12,89.0538414715
2007-11-13,88.6159614888
2007-11-14,89.2727814628
2007-11-15,89.4917214541
2007-11-16,88.4517564953
2007-11-19,88.4517564953
2007-11-20,87.4665265344
2007-11-21,88.4517564953
2007-11-22,89.9843364346
2007-11-23,90.6411564086
2007-11-26,91.1885063869
2007-11-27,90.5316864129
2007-11-28,90.8053614021
2007-11-29,90.8053614021
2007-11-30,90.0390714324
2007-12-03,90.2580114238
2007-12-04,90.2032764259
2007-12-05,90.0938064303
2007-12-06,89.1633114671
2007-12-07,88.8896364780
2007-12-10,89.0538414715
2007-12-11,89.1085764693
2007-12-12,88.7801664823
2007-12-13,88.9991064737
2007-12-14,88.5064914932
2007-12-17,88.7801664823
2007-12-18,88.5612264910
2007-12-19,88.7254314845
2007-12-20,88.6159614888
2007-12-21,88.8896364780
2007-12-24,88.7801664823
2007-12-25,88.4517564953
2007-12-26,87.6307315279
2007-12-27,87.6854665257
2007-12-28,87.6854665257
2008-01-02,87.6854665257
2008-01-03,87.5212615322
2008-01-04,87.6307315279
2008-01-07,87.6307315279
2008-01-08,87.5759965300
2008-01-09,87.5759965300
2008-01-10,87.6292018742
2008-01-11,87.2567644649
2008-01-14,87.7888179068
2008-01-15,87.6292018742
2008-01-16,86.9907377440
2008-01-17,86.6183003347
2008-01-18,86.1926575812
2008-01-21,85.5541934510
2008-01-22,83.9048277812
2008-01-23,83.5323903719
2008-01-24,83.1599529626
2008-01-25,83.5855957161
2008-01-28,83.5855957161
2008-01-29,83.3727743394
2008-01-30,83.3195689952
2008-01-31,83.3727743394
2008-02-01,83.4259796835
2008-02-04,84.2772651905
2008-02-05,84.9689346649
2008-02-13,84.1708545021
2008-02-14,84.7029079440
2008-02-15,84.9157293207
2008-02-18,85.2881667300
2008-02-19,85.1285506975
2008-02-20,84.8625239766
2008-02-21,84.7561132882
2008-02-22,84.5432919114
2008-02-25,85.2349613859
2008-02-26,84.4900865673
2008-02-27,84.4900865673
2008-02-28,82.4682834882
2008-02-29,83.2131583068
2008-03-03,84.3304705347
2008-03-04,84.3304705347
2008-03-05,84.3304705347
2008-03-06,84.3304705347
2008-03-07,84.3304705347
2008-03-10,83.3211291758
2008-03-11,84.1286022629
2008-03-12,83.5734645155
2008-03-13,83.3211291758
2008-03-14,83.2706621079
2008-03-17,83.2706621079
2008-03-18,82.2613207490
2008-03-19,83.2201950399
2008-03-20,82.1099195452
2008-03-21,82.7155243605
2008-03-24,82.5136560887
2008-03-25,82.1603866131
2008-03-26,82.1603866131
2008-03-27,82.1099195452
2008-03-28,82.2613207490
2008-03-31,83.0687938361
2008-04-01,81.9080512734
2008-04-02,81.9585183413
2008-04-03,81.7061830016
2008-04-07,81.5547817978
2008-04-08,80.8987099145
2008-04-09,80.7473087107
2008-04-10,81.2015123222
2008-04-11,81.1510452542
2008-04-14,81.9585183413
2008-04-15,81.9585183413
2008-04-16,81.9080512734
2008-04-17,81.9080512734
2008-04-18,82.1099195452
2008-04-21,81.9585183413
2008-04-22,82.0594524772
2008-04-23,82.1603866131
2008-04-24,82.0594524772
2008-04-25,82.3622548849
2008-04-28,83.7753327873
2008-04-29,84.0276681270
2008-04-30,83.8762669232
2008-05-05,84.5828058744
