data,value
2014-12-19,100.0000000000
2014-12-22,97.7099236641
2014-12-23,96.9829153035
2014-12-24,96.1105052708
2014-12-25,94.9836423119
2014-12-26,95.6015994184
2014-12-29,95.3107960742
2014-12-30,95.0563431479
2014-12-31,95.3107960742
2015-01-05,94.8745910578
2015-01-06,94.0021810251
2015-01-07,94.7291893857
2015-01-08,94.7291893857
2015-01-09,94.3293347874
2015-01-12,94.3293347874
2015-01-13,94.3293347874
2015-01-14,94.0748818611
2015-01-15,92.9480189022
2015-01-16,93.0934205743
2015-01-19,95.6743002545
2015-01-20,94.3293347874
2015-01-21,93.5659760087
2015-01-22,93.5659760087
2015-01-23,93.7840785169
2015-01-26,93.7840785169
2015-01-27,95.2017448201
2015-01-28,96.9829153035
2015-01-29,99.0912395493
2015-01-30,99.0912395493
2015-02-02,99.0912395493
2015-02-03,99.0912395493
2015-02-04,99.0912395493
2015-02-05,99.6001454017
2015-02-06,99.6001454017
2015-02-09,99.6001454017
2015-02-10,98.6913849509
2015-02-11,98.6913849509
2015-02-12,101.0541621229
2015-02-13,101.0541621229
2015-02-16,99.0185387132
2015-02-17,93.3478735005
2015-02-25,93.7840785169
2015-02-26,93.7840785169
2015-02-27,96.8738640494
2015-03-02,100.4362050164
2015-03-03,100.4362050164
2015-03-04,100.4362050164
2015-03-05,100.4362050164
2015-03-06,100.4362050164
2015-03-09,100.6480957442
2015-03-10,102.4844820526
2015-03-11,104.2855532396
2015-03-12,104.0383473904
2015-03-13,104.9565405445
2015-03-16,105.4509522429
2015-03-17,105.4862673642
2015-03-18,104.9212254232
2015-03-19,104.3208683609
2015-03-20,104.8859103019
2015-03-23,104.9918556658
2015-03-24,106.7929268528
2015-03-25,106.9341873381
2015-03-26,107.0754478233
2015-03-27,108.1349014628
2015-03-30,108.3821073120
2015-03-31,108.6999434038
2015-04-01,106.2985151544
2015-04-02,106.1572546692
2015-04-03,105.6275278495
2015-04-07,105.8394185774
2015-04-08,104.7446498166
2015-04-09,104.3208683609
2015-04-10,103.8617717838
2015-04-13,103.7911415412
2015-04-14,103.2260996001
2015-04-15,101.6722342623
2015-04-16,101.5662888984
2015-04-17,101.6016040197
2015-04-20,101.7428645050
2015-04-21,102.4491669312
2015-04-22,102.7316879018
2015-04-23,102.6963727804
2015-04-24,102.5904274165
2015-04-27,102.4844820526
2015-04-28,102.6257425378
2015-04-29,102.1313308394
2015-04-30,102.2019610820
2015-05-04,100.7187259869
2015-05-05,100.7187259869
2015-05-06,100.7187259869
2015-05-07,100.7187259869
2015-05-08,100.7187259869
2015-05-11,100.7187259869
2015-05-12,100.5464983433
2015-05-13,100.5464983433
2015-05-14,100.5464983433
2015-05-15,100.5464983433
2015-05-18,100.5464983433
2015-05-19,100.5464983433
2015-05-20,100.5464983433
2015-05-21,100.5464983433
2015-05-22,100.5464983433
2015-05-25,100.5464983433
2015-05-26,100.5464983433
2015-05-27,100.5464983433
2015-05-28,100.5464983433
2015-05-29,98.1697568613
2015-06-01,98.1697568613
2015-06-02,98.1697568613
2015-06-03,98.1697568613
2015-06-04,98.1697568613
2015-06-05,98.1697568613
2015-06-08,96.0685796092
2015-06-09,96.0685796092
2015-06-10,96.2408072528
2015-06-11,96.2408072528
2015-06-12,96.2408072528
2015-06-15,94.7252039890
2015-06-16,94.7252039890
2015-06-17,94.7252039890
2015-06-18,94.7252039890
2015-06-19,94.7252039890
2015-06-23,96.4130348965
2015-06-24,96.4130348965
2015-06-25,96.4130348965
2015-06-26,96.4130348965
2015-06-29,96.4130348965
2015-06-30,100.2364885847
2015-07-01,97.9630836890
2015-07-02,97.9630836890
2015-07-03,99.0308950794
2015-07-06,99.0308950794
2015-07-07,99.0308950794
2015-07-08,99.0308950794
2015-07-09,101.4730436715
2015-07-10,101.7561913343
2015-07-13,101.5792240450
2015-07-14,101.1898960086
2015-07-15,100.9421418036
2015-07-16,101.5084371293
2015-07-17,102.2163062864
2015-07-20,101.0483221772
2015-07-21,100.4820268515
2015-07-22,100.6943875986
2015-07-23,100.5882072251
2015-07-24,100.3050595622
2015-07-27,98.8185343323
2015-07-28,98.6415670430
2015-07-29,99.6325838630
2015-07-30,99.3848296580
2015-07-31,99.0662885373
2015-08-03,98.0752717173
2015-08-04,98.0752717173
2015-08-05,97.8629109702
2015-08-06,97.8275175123
2015-08-07,97.7567305966
2015-08-10,97.7921240545
2015-08-11,98.1460586330
2015-08-12,98.0044848016
2015-08-13,97.9336978859
