data,value
2019-09-26,100.0000000000
2019-09-27,98.6740331492
2019-09-30,97.9496623696
2019-10-08,97.9005524862
2019-10-09,98.0601596071
2019-10-10,96.9920196440
2019-10-11,96.5131982812
2019-10-14,96.3658686311
2019-10-15,94.5856353591
2019-10-16,93.5911602210
2019-10-17,91.9950890117
2019-10-18,92.6457949662
2019-10-21,92.6089625537
2019-10-22,92.1424186618
2019-10-23,92.0687538367
2019-10-24,92.4739103745
2019-10-25,92.4248004911
2019-10-28,91.9459791283
2019-10-29,91.3689379988
2019-10-30,90.7427869859
2019-10-31,90.2271332106
2019-11-01,89.6132596685
2019-11-04,89.5518723143
2019-11-05,90.3007980356
2019-11-06,90.2762430939
2019-11-07,89.6869244936
2019-11-08,88.2259054635
2019-11-11,86.4579496624
2019-11-12,85.3406998158
2019-11-13,86.4088397790
2019-11-14,85.0214855740
2019-11-15,85.4266421117
2019-11-18,85.7581338244
2019-11-19,85.5125844076
2019-11-20,84.9600982198
2019-11-21,85.2793124616
2019-11-22,85.8563535912
2019-11-25,86.2860650706
2019-11-26,87.1086556169
2019-11-27,88.2627378760
2019-11-28,87.8330263966
2019-11-29,87.4647022713
2019-12-02,86.8508287293
2019-12-03,87.7102516882
2019-12-04,88.5451197053
2019-12-05,89.1344383057
2019-12-06,89.7360343769
2019-12-09,90.8410067526
2019-12-10,89.8833640270
2019-12-11,90.9146715777
2019-12-12,89.4413750767
2019-12-13,89.4659300184
2019-12-16,90.0798035605
2019-12-17,90.9146715777
2019-12-18,90.9023941068
2019-12-19,90.9637814610
2019-12-20,90.9760589319
2019-12-23,90.3990178023
2019-12-24,90.3744628607
2019-12-25,90.5831798649
2019-12-26,90.3007980356
2019-12-27,90.4726826274
2019-12-30,90.7796193984
2019-12-31,89.3554327808
2020-01-02,89.6132596685
2020-01-03,89.6623695519
2020-01-06,90.4235727440
2020-01-07,89.7237569061
2020-01-08,90.6077348066
2020-01-09,89.9570288521
2020-01-10,90.8410067526
2020-01-13,92.4739103745
2020-01-14,91.9582565991
2020-01-15,92.0319214242
2020-01-16,91.9582565991
2020-01-17,91.7618170657
2020-01-20,92.4002455494
2020-01-21,91.7004297115
2020-01-22,90.7796193984
2020-01-23,90.0184162063
2020-02-03,84.6286065071
2020-02-04,80.8225905463
2020-02-05,84.0392879067
2020-02-06,84.9846531614
2020-02-07,85.1810926949
2020-02-10,85.2302025783
2020-02-11,85.1810926949
2020-02-12,84.3830570902
2020-02-13,84.2848373235
2020-02-14,84.3830570902
2020-02-17,85.1197053407
2020-02-18,85.5494168201
2020-02-19,85.3284223450
2020-02-20,85.2424800491
2020-02-21,85.5616942910
2020-02-24,85.5616942910
2020-02-25,84.4935543278
2020-02-26,83.9533456108
2020-02-27,82.8606507060
2020-02-28,81.1540822591
2020-03-02,81.5469613260
2020-03-03,81.1418047882
2020-03-04,81.1540822591
2020-03-05,81.2031921424
2020-03-06,80.7489257213
2020-03-09,80.7489257213
2020-03-10,77.5199508901
2020-03-11,75.7397176182
2020-03-12,74.1682013505
2020-03-13,73.6648250460
2020-03-16,72.5598526703
2020-03-17,70.0429711479
2020-03-18,68.9011663597
2020-03-19,64.0883977901
2020-03-20,62.2958870473
2020-03-23,58.2320441989
2020-03-24,55.9361571516
2020-03-25,55.4818907305
2020-03-26,55.1749539595
2020-03-27,55.1749539595
2020-03-30,52.9650092081
2020-03-31,53.2351135666
2020-04-01,53.2351135666
2020-04-02,55.3713934929
2020-04-03,56.8324125230
2020-04-07,58.1461019030
2020-04-08,58.1461019030
2020-04-09,63.3763044813
2020-04-10,63.3763044813
2020-04-13,63.3763044813
2020-04-14,63.3763044813
2020-04-15,63.3763044813
2020-04-16,63.3763044813
2020-04-17,63.3763044813
2020-04-20,63.3763044813
2020-04-21,63.3763044813
2020-04-22,58.1980890892
2020-04-23,61.2166097690
2020-04-24,62.7448147993
2020-04-27,63.0984490212
2020-04-28,63.2247469576
2020-04-29,64.3361687979
2020-04-30,65.4602204317
2020-05-06,70.0700951100
2020-05-07,68.2640346196
2020-05-08,66.8494977320
2020-05-11,65.8770036218
2020-05-12,65.6622971300
2020-05-13,65.6622971300
2020-05-14,65.6622971300
2020-05-15,65.6622971300
2020-05-18,65.6622971300
2020-05-19,65.6622971300
2020-05-20,65.6622971300
2020-05-21,66.0462170109
2020-05-22,65.0264298272
2020-05-25,65.1344072937
2020-05-26,65.1823972788
2020-05-27,64.8824598719
2020-05-28,61.5471559066
2020-05-29,60.7913136411
2020-06-01,64.7864799017
2020-06-02,65.4823346858
2020-06-03,65.9862295295
2020-06-04,65.9862295295
2020-06-05,65.9862295295
2020-06-08,65.9862295295
2020-06-09,65.9862295295
2020-06-10,65.9862295295
2020-06-11,65.9862295295
2020-06-12,65.9862295295
2020-06-15,65.9862295295
2020-06-16,65.9862295295
2020-06-17,65.9862295295
2020-06-18,66.1772171692
2020-06-19,66.4278884464
2020-06-22,63.4198331205
2020-06-23,61.9396789125
2020-06-24,64.5776956864
2020-06-29,63.4914534854
2020-06-30,64.3867080467
2020-07-01,64.3867080467
2020-07-02,64.3867080467
2020-07-03,63.9808593122
2020-07-06,63.9808593122
2020-07-07,63.9808593122
2020-07-08,63.9808593122
2020-07-09,63.9808593122
2020-07-10,63.9808593122
2020-07-13,63.9808593122
2020-07-14,63.9808593122
2020-07-15,63.9808593122
2020-07-16,63.9808593122
2020-07-17,63.9808593122
2020-07-20,63.9808593122
2020-07-21,63.9808593122
2020-07-22,63.9808593122
2020-07-23,65.1384474189
2020-07-24,66.8024803222
2020-07-27,65.8739981950
2020-07-28,65.1625638378
2020-07-29,63.9085100556
2020-07-30,65.3313787700
