data,value
2018-12-10,100.0000000000
2018-12-11,97.9250923158
2018-12-12,97.6085809742
2018-12-13,97.7668366450
2018-12-14,98.8218744505
2018-12-17,98.7339546334
2018-12-18,98.5053631088
2018-12-19,98.2943555477
2018-12-20,98.4526112186
2018-12-21,95.1292421312
2018-12-24,93.9687005451
2018-12-25,90.9794267628
2018-12-26,90.8915069457
2018-12-27,91.7003692632
2018-12-28,90.0650606647
2019-01-02,89.3968700545
2019-01-03,89.8716370670
2019-01-04,90.3288201161
2019-01-07,90.6453314577
2019-01-08,89.6782134693
2019-01-09,90.6101635309
2019-01-10,90.3288201161
2019-01-11,89.6782134693
2019-01-14,90.2936521892
2019-01-15,91.2256022507
2019-01-16,91.7179532267
2019-01-17,91.1200984702
2019-01-18,90.5749956040
2019-01-21,92.5268155442
2019-01-22,93.8983646914
2019-01-23,92.2806400563
2019-01-24,92.1575523123
2019-01-25,92.9664146299
2019-01-28,91.7882890804
2019-01-29,90.8739229822
2019-01-30,91.4541937753
2019-01-31,92.5971513979
2019-02-01,93.1070863373
2019-02-11,92.2806400563
2019-02-12,92.2454721294
2019-02-13,91.1552663970
2019-02-14,90.8035871285
2019-02-15,90.2057323721
2019-02-18,89.6078776156
2019-02-19,88.6407596272
2019-02-20,89.0451907860
2019-02-21,89.9419729207
2019-02-22,90.4694918235
2019-02-25,90.5925795674
2019-02-26,90.4519078600
2019-02-27,90.8035871285
2019-02-28,91.1552663970
2019-03-01,92.1048004220
2019-03-04,94.0742043257
2019-03-05,93.6697731669
2019-03-06,94.7248109724
2019-03-07,94.3027958502
2019-03-08,92.9136627396
2019-03-11,92.7378231053
2019-03-12,92.7729910322
2019-03-13,92.4740636539
2019-03-14,92.1399683489
2019-03-15,90.4519078600
2019-03-18,90.2936521892
2019-03-19,90.0123087744
2019-03-20,89.9771408475
2019-03-21,90.7332512748
2019-03-22,90.2760682258
2019-03-25,89.5199577985
2019-03-26,89.6606295059
2019-03-27,88.3418322490
2019-03-28,86.0383330403
2019-03-29,85.5108141375
2019-04-01,85.3349745033
2019-04-02,85.5459820644
2019-04-03,85.3877263935
2019-04-04,85.1063829787
2019-04-08,86.3900123088
2019-04-09,85.8273254792
2019-04-10,85.8624934060
2019-04-11,85.0536310884
2019-04-12,84.4557763320
2019-04-15,84.4206084051
2019-04-16,82.9963073677
2019-04-17,82.8908035871
2019-04-18,82.8380516969
2019-04-19,83.1193951117
2019-04-22,83.6996659047
2019-04-23,83.2248988922
2019-04-24,82.4863724283
2019-04-25,81.9588535256
2019-04-26,80.4993845613
2019-04-29,81.0093195006
2019-04-30,81.4489185862
2019-05-06,80.5873043784
2019-05-07,80.4818005979
2019-05-08,80.6752241955
2019-05-09,80.5697204150
2019-05-10,80.6928081590
2019-05-13,79.1278354141
2019-05-14,76.4726569369
2019-05-15,75.8044663267
2019-05-16,75.9627219975
2019-05-17,75.6286266925
2019-05-20,75.2417794971
2019-05-21,75.4352030948
2019-05-22,75.0307719360
2019-05-23,74.8197643749
2019-05-24,75.8748021804
2019-05-27,76.9298399859
2019-05-28,75.8396342536
2019-05-29,76.3847371197
2019-05-30,76.1913135221
2019-05-31,76.4199050466
2019-06-03,75.2417794971
2019-06-04,75.7517144364
2019-06-05,75.1538596800
2019-06-06,73.9581501670
2019-06-10,74.9780200457
2019-06-11,75.9099701073
2019-06-12,74.9604360823
2019-06-13,74.9604360823
2019-06-14,74.9604360823
2019-06-17,75.1362757165
2019-06-18,75.1362757165
2019-06-19,75.1362757165
2019-06-20,75.1362757165
2019-06-21,75.1362757165
2019-06-24,78.3566478364
2019-06-25,78.3566478364
2019-06-26,78.3566478364
2019-06-27,78.1155504585
2019-06-28,74.2235499286
2019-07-01,71.5542575297
2019-07-02,71.5542575297
2019-07-03,71.5542575297
2019-07-04,71.5542575297
2019-07-05,71.5542575297
2019-07-08,71.5542575297
2019-07-09,71.5542575297
2019-07-10,71.5542575297
2019-07-11,71.5542575297
2019-07-12,71.5542575297
2019-07-15,71.5542575297
2019-07-16,71.5542575297
2019-07-17,71.5542575297
2019-07-18,71.5542575297
2019-07-19,71.5542575297
2019-07-22,71.5542575297
2019-07-23,72.5158300359
2019-07-24,72.5158300359
2019-07-25,74.0742406494
2019-07-26,74.0742406494
2019-07-29,73.6431909053
2019-07-30,73.6431909053
2019-07-31,73.6431909053
2019-08-01,73.6431909053
2019-08-02,73.6431909053
2019-08-05,73.6431909053
2019-08-06,73.6431909053
2019-08-07,73.6431909053
2019-08-08,73.6431909053
2019-08-09,73.6431909053
2019-08-12,73.6431909053
2019-08-13,73.6431909053
2019-08-14,73.6431909053
2019-08-15,73.6431909053
2019-08-16,73.6431909053
2019-08-19,73.6431909053
2019-08-20,73.6431909053
2019-08-21,73.6431909053
2019-08-22,74.0677414515
2019-08-23,73.8717950455
2019-08-26,74.2800167246
