data,value
2013-12-06,100.0000000000
2013-12-09,100.2697235334
2013-12-10,99.3931220499
2013-12-11,98.9885367498
2013-12-12,101.9554956170
2013-12-13,101.1463250169
2013-12-16,100.0674308833
2013-12-17,101.4160485502
2013-12-18,100.4720161834
2013-12-19,98.6513823331
2013-12-20,99.5279838166
2013-12-23,100.0674308833
2013-12-24,101.4834794336
2013-12-25,101.4834794336
2013-12-26,98.7188132165
2013-12-27,96.8981793661
2013-12-30,95.9541469993
2013-12-31,95.0101146325
2014-01-02,94.3358057991
2014-01-03,94.3358057991
2014-01-06,94.3358057991
2014-01-07,90.6271072151
2014-01-08,89.4133513149
2014-01-09,89.4807821982
2014-01-10,89.4807821982
2014-01-13,89.4807821982
2014-01-14,91.3014160486
2014-01-15,91.3014160486
2014-01-16,91.3014160486
2014-01-17,91.3014160486
2014-01-20,88.4693189481
2014-01-21,88.4693189481
2014-01-22,88.4693189481
2014-01-23,88.4693189481
2014-01-24,88.4693189481
2014-01-27,88.4693189481
2014-01-28,87.2555630479
2014-01-29,87.2555630479
2014-01-30,87.2555630479
2014-02-07,87.2555630479
2014-02-10,87.2555630479
2014-02-11,89.6156439649
2014-02-12,89.6156439649
2014-02-13,89.4133513149
2014-02-14,89.4133513149
2014-02-17,89.8853674983
2014-02-18,88.4693189481
2014-02-19,87.7275792313
2014-02-20,89.9527983817
2014-02-21,90.6271072151
2014-02-24,89.5482130816
2014-02-25,89.5482130816
2014-02-26,91.5037086986
2014-02-27,90.2225219150
2014-02-28,90.3573836817
2014-03-03,91.2339851652
2014-03-04,91.2339851652
2014-03-05,91.2339851652
2014-03-06,91.7060013486
2014-03-07,95.8867161160
2014-03-10,96.1564396494
2014-03-11,100.8766014835
2014-03-12,97.8422117330
2014-03-13,101.2811867835
2014-03-14,100.7417397168
2014-03-17,97.1004720162
2014-03-18,97.1004720162
2014-03-19,94.6729602158
2014-03-20,94.6729602158
2014-03-21,94.6729602158
2014-03-24,99.3931220499
2014-03-25,95.9541469993
2014-03-26,95.9541469993
2014-03-27,100.7417397168
2014-03-28,101.1463250169
2014-03-31,105.9339177343
2014-04-01,102.4949426837
2014-04-02,102.4949426837
2014-04-03,102.4949426837
2014-04-04,103.8435603506
2014-04-08,97.6399190829
2014-04-09,96.4935940661
2014-04-10,97.4994841010
2014-04-11,96.3498954897
2014-04-14,96.2061969132
2014-04-15,93.0448282320
2014-04-16,89.5242131097
2014-04-17,89.8116102625
2014-04-18,88.9494188040
2014-04-21,91.1767467385
2014-04-22,90.8893495857
2014-04-23,90.3864045682
2014-04-24,91.3922946032
2014-04-25,91.3922946032
2014-04-28,91.8233903324
2014-04-29,92.2544860617
2014-04-30,89.8116102625
2014-05-05,85.0695572407
2014-05-06,85.8598994110
2014-05-07,86.1472965638
2014-05-08,84.5666122232
2014-05-09,80.0401070660
2014-05-12,79.7604909714
2014-05-13,79.1313547587
2014-05-14,77.2439461204
2014-05-15,74.3079771276
2014-05-16,70.7428719221
2014-05-19,70.3933518039
2014-05-20,70.6729678984
2014-05-21,70.6030638748
2014-05-22,70.0438316857
2014-05-23,70.2535437566
2014-05-26,70.6030638748
2014-05-27,69.9739276621
2014-05-28,69.9040236384
2014-05-29,69.3447914493
2014-05-30,67.0379586692
2014-06-03,68.4360391420
2014-06-04,68.4360391420
2014-06-05,68.5059431656
2014-06-06,68.5059431656
2014-06-09,68.5059431656
2014-06-10,70.4632558275
2014-06-11,72.9047160872
2014-06-12,71.6161676168
2014-06-13,72.4978060439
2014-06-16,72.0230776601
2014-06-17,71.4805309357
2014-06-18,69.5137990599
2014-06-19,69.0390706761
2014-06-20,68.6321606328
2014-06-23,68.6321606328
2014-06-24,71.3448942546
2014-06-25,70.5310741681
2014-06-26,70.5310741681
2014-06-27,68.7677973139
2014-06-30,65.9194270109
2014-07-01,61.9859632592
2014-07-02,63.2745117296
2014-07-03,61.7825082376
2014-07-04,61.7825082376
2014-07-07,60.4939597672
2014-07-08,60.8330514700
2014-07-09,60.5744075436
2014-07-10,61.2468817521
2014-07-11,62.6952877394
2014-07-14,62.0228135310
2014-07-15,61.7641696047
2014-07-16,62.3849150279
2014-07-17,62.6435589542
2014-07-18,62.2297286721
2014-07-21,62.5918301689
2014-07-22,62.2297286721
2014-07-23,61.9710847458
2014-07-24,62.3331862426
2014-07-25,62.4366438131
2014-07-28,63.2125755921
2014-07-29,62.9539316658
2014-07-30,63.1608468068
2014-07-31,64.3506088679
2014-08-01,64.3506088679
2014-08-04,64.3506088679
2014-08-05,64.3506088679
2014-08-06,64.3506088679
2014-08-07,61.6089832489
2014-08-08,65.2817270026
2014-08-11,65.9951884999
2014-08-12,66.2499961775
2014-08-13,66.7086499972
2014-08-14,65.1288423961
2014-08-15,65.5365346802
2014-08-18,65.1798039316
2014-08-19,65.1798039316
2014-08-20,65.3326885381
2014-08-21,65.5874962158
2014-08-22,64.2115347567
2014-08-25,65.4855731447
2014-08-26,66.0971115710
2014-08-27,67.7788422432
2014-08-28,67.9826883852
2014-08-29,68.4923037405
2014-09-01,64.8740347185
2014-09-02,66.7596115327
2014-09-03,67.2182653524
2014-09-04,69.0528806312
2014-09-05,69.5624959864
2014-09-09,68.8999960246
2014-09-10,69.6616456405
2014-09-11,70.0131762325
2014-09-12,69.8959993685
2014-09-15,69.2515266166
2014-09-16,69.1929381846
2014-09-17,67.5524620888
2014-09-18,67.9625811127
2014-09-19,67.6696389528
2014-09-22,67.5524620888
2014-09-23,67.3766967928
2014-09-24,67.2009314968
2014-09-25,66.8494009048
2014-09-26,66.3221050169
2014-09-29,68.6070538647
2014-09-30,69.7202340725
2014-10-08,71.2435333044
2014-10-09,72.0637713523
2014-10-10,72.0637713523
2014-10-13,76.2821384558
2014-10-14,73.8214243121
2014-10-15,73.8214243121
2014-10-16,74.0276294079
2014-10-17,74.3713045677
2014-10-20,74.0276294079
2014-10-21,73.8901593440
2014-10-22,73.9588943760
2014-10-23,73.8901593440
2014-10-24,75.3335950150
2014-10-27,72.8591338648
2014-10-28,68.5975618841
2014-10-29,64.4047249352
2014-10-30,63.2362293921
2014-10-31,61.1741784337
2014-11-03,57.5312217404
2014-11-04,56.9813414849
2014-11-05,58.2873070919
2014-11-06,59.3870676030
2014-11-07,59.7994777947
2014-11-10,59.9453301796
2014-11-11,59.8480952563
2014-11-12,60.3828873342
2014-11-13,60.4801222574
2014-11-14,60.4801222574
2014-11-17,62.4248207223
2014-11-18,64.4667541104
2014-11-19,63.3971699547
2014-11-20,61.4524714899
2014-11-21,63.7374921861
2014-11-24,66.1197478055
2014-11-25,64.8556938034
2014-11-26,67.3838018077
2014-11-27,67.9185938855
2014-11-28,70.5925542747
2014-12-01,67.4810367310
2014-12-02,67.4810367310
2014-12-03,67.4810367310
2014-12-04,67.4810367310
2014-12-05,71.4190511223
2014-12-08,70.7113478907
2014-12-09,69.5908177740
2014-12-10,72.1857296232
2014-12-11,73.4242102785
2014-12-12,73.0703586627
2014-12-15,72.9524081241
2014-12-16,73.7780618943
2014-12-17,72.7165070469
2014-12-18,70.7703231600
2014-12-19,70.2985210056
2014-12-22,71.7139274688
2014-12-23,71.5370016609
2014-12-24,72.0677790846
2014-12-25,73.6601113557
2014-12-26,73.3062597399
2014-12-29,75.0165425496
2014-12-30,76.7858006286
2014-12-31,75.8421963198
2015-01-05,71.3011005837
2015-01-06,70.7703231600
2015-01-07,71.7139274688
2015-01-08,75.7242457812
2015-01-09,71.4780263916
2015-01-12,71.4780263916
2015-01-13,74.9681643990
2015-01-14,74.9681643990
2015-01-15,71.2686181112
2015-01-16,67.7086773436
2015-01-19,67.7086773436
2015-01-20,67.7086773436
2015-01-21,67.7086773436
2015-01-22,67.7086773436
2015-01-23,67.7086773436
2015-01-26,67.7086773436
2015-01-27,67.7086773436
2015-01-28,67.7086773436
2015-01-29,67.7086773436
2015-01-30,67.7086773436
2015-02-02,63.6601172550
2015-02-03,59.8907682070
2015-02-04,59.8907682070
2015-02-05,59.8907682070
2015-02-06,59.8907682070
2015-02-09,61.0010659819
2015-02-10,60.6091961790
2015-02-11,60.6745078128
2015-02-12,60.6745078128
2015-02-13,61.0663776157
2015-02-16,60.9357543481
2015-02-17,59.3029635027
2015-02-25,59.1723402351
2015-02-26,57.9314191926
2015-02-27,56.1680050797
2015-03-02,55.3842654739
2015-03-03,56.1680050797
2015-03-04,56.1680050797
2015-03-05,56.1680050797
2015-03-06,55.7108236430
2015-03-09,56.1248594917
2015-03-10,56.1248594917
2015-03-11,56.1248594917
2015-03-12,57.4129710210
2015-03-13,55.2047798279
2015-03-16,55.2047798279
2015-03-17,56.5848993236
2015-03-18,56.9529311891
2015-03-19,56.9529311891
2015-03-20,56.9529311891
2015-03-23,56.9529311891
2015-03-24,56.9529311891
2015-03-25,57.8730108529
2015-03-26,58.8850984831
2015-03-27,57.4129710210
2015-03-30,60.1732100124
2015-03-31,63.1634689197
2015-04-01,66.9357955413
2015-04-02,72.2722575913
2015-04-03,76.5966320112
2015-04-07,81.1510263470
2015-04-08,87.6375879768
2015-04-09,92.7440301108
2015-04-10,92.2736461880
2015-04-13,93.2928113541
2015-04-14,95.8799229295
2015-04-15,95.7231282885
2015-04-16,96.1151148909
2015-04-17,97.1342800569
2015-04-20,98.7022264662
2015-04-21,95.8799229295
2015-04-22,97.3694720183
2015-04-23,97.9182532616
2015-04-24,95.5663336476
2015-04-27,93.2144140336
2015-04-28,92.9008247518
2015-04-29,91.0192890606
2015-04-30,94.5471684815
2015-05-04,99.9565835937
2015-05-05,101.9165166053
2015-05-06,106.4635611923
2015-05-07,101.6029273234
2015-05-08,95.5663336476
2015-05-11,90.8036323792
2015-05-12,86.2751623207
2015-05-13,81.9809234722
2015-05-14,77.0620680639
2015-05-15,80.8878444926
2015-05-18,76.9059139239
2015-05-19,76.9059139239
2015-05-20,73.0801374952
2015-05-21,73.0801374952
2015-05-22,73.0801374952
2015-05-25,73.0801374952
2015-05-26,73.0801374952
2015-05-27,73.0801374952
2015-05-28,73.0801374952
2015-05-29,73.0801374952
2015-06-01,73.0801374952
2015-06-02,73.0801374952
2015-06-03,73.0801374952
2015-06-04,73.0801374952
2015-06-05,73.0801374952
2015-06-08,72.6243362219
2015-06-09,72.7762699796
2015-06-10,73.1561043741
2015-06-11,73.6119056475
2015-06-12,72.0925680696
2015-06-15,73.3080381319
2015-06-16,73.3080381319
2015-06-17,72.9282037374
2015-06-18,72.6243362219
2015-06-19,73.0801374952
2015-06-23,73.4599718897
2015-06-24,73.4599718897
2015-06-25,72.9282037374
2015-06-26,72.4724024641
2015-06-29,73.3080381319
2015-06-30,70.8770980073
2015-07-01,66.6989196682
2015-07-02,61.6091387824
2015-07-03,61.6091387824
2015-07-06,61.6091387824
2015-07-07,61.6091387824
2015-07-08,61.6091387824
2015-07-09,63.1005119248
2015-07-10,63.1005119248
2015-07-13,66.2375381900
2015-07-14,63.6662051858
2015-07-15,63.8719118261
2015-07-16,63.9233384862
2015-07-17,64.0261918064
2015-07-20,65.3118583085
2015-07-21,64.7975917076
2015-07-22,64.0776184665
2015-07-23,64.0776184665
2015-07-24,64.0776184665
2015-07-27,65.2604316484
2015-07-28,65.2604316484
2015-07-29,68.2431779334
2015-07-30,72.3058840801
2015-07-31,78.0656700097
2015-08-03,82.7454960775
2015-08-04,87.6824554457
2015-08-05,94.6764812173
2015-08-06,94.6764812173
2015-08-07,94.6764812173
2015-08-10,94.5099438713
2015-08-11,96.7581980426
2015-08-12,97.8406907918
2015-08-13,99.5060642521
2015-08-14,102.4204678076
2015-08-17,100.9216316934
2015-08-18,97.2578100807
2015-08-19,93.0943764300
2015-08-20,92.5114957189
2015-08-21,92.6780330649
2015-08-24,95.3426306014
2015-08-25,97.1745414077
2015-08-26,100.5052883283
2015-08-27,104.0025725949
2015-08-28,107.7496628805
2015-08-31,109.0819616488
2015-09-01,115.5769181439
2015-09-02,122.4882180041
2015-09-07,132.2306527467
2015-09-08,132.2306527467
2015-09-09,132.2306527467
2015-09-10,132.2306527467
2015-09-11,132.2306527467
2015-09-14,132.2306527467
2015-09-15,132.2306527467
2015-09-16,132.2306527467
2015-09-17,132.2306527467
2015-09-18,132.2306527467
2015-09-21,132.2306527467
2015-09-22,132.2306527467
2015-09-23,132.2306527467
2015-09-24,138.7840504049
2015-09-25,147.0286474586
2015-09-28,147.0286474586
2015-09-29,154.3219448523
2015-09-30,154.3219448523
2015-10-08,154.3219448523
2015-10-09,154.3219448523
2015-10-12,154.3219448523
2015-10-13,154.3219448523
2015-10-14,154.3219448523
2015-10-15,154.3219448523
2015-10-16,154.3219448523
2015-10-19,154.3219448523
2015-10-20,154.3219448523
2015-10-21,154.3219448523
2015-10-22,154.3219448523
2015-10-23,154.3219448523
2015-10-26,154.6626113972
2015-10-27,161.2488312659
2015-10-28,161.2488312659
2015-10-29,169.3112728291
2015-10-30,179.4177136620
2015-11-02,193.7257085490
2015-11-03,205.3083710765
2015-11-04,205.3083710765
2015-11-05,205.3083710765
2015-11-06,205.3083710765
2015-11-09,205.3083710765
2015-11-10,205.3083710765
2015-11-11,205.3083710765
2015-11-12,205.3083710765
2015-11-13,205.3083710765
2015-11-16,205.3083710765
2015-11-17,205.3083710765
2015-11-18,205.3083710765
2015-11-19,205.3083710765
2015-11-20,205.3083710765
2015-11-23,205.3083710765
2015-11-24,205.3083710765
2015-11-25,205.3083710765
2015-11-26,205.3083710765
2015-11-27,205.3083710765
2015-11-30,205.3083710765
2015-12-01,205.3083710765
2015-12-02,205.3083710765
2015-12-03,205.3083710765
2015-12-04,205.3083710765
2015-12-07,205.3083710765
2015-12-08,205.3083710765
2015-12-09,206.1710112911
2015-12-10,206.1710112911
2015-12-11,202.2028663039
2015-12-14,202.3753943469
2015-12-15,205.3083710765
2015-12-16,205.3083710765
2015-12-17,205.9984832482
2015-12-18,210.8292684500
2015-12-21,204.1006747761
2015-12-22,194.2665763296
2015-12-23,196.8544969734
2015-12-24,188.7456789561
2015-12-25,185.8127022264
2015-12-28,189.0907350419
2015-12-29,195.9918567588
2015-12-30,189.6083191707
2015-12-31,180.9819170246
2016-01-04,170.2851783635
2016-01-05,169.0774820630
2016-01-06,179.0841085525
2016-01-07,179.0841085525
2016-01-08,179.0841085525
2016-01-11,179.0841085525
2016-01-12,170.1812656799
2016-01-13,160.0799631898
2016-01-14,160.0799631898
2016-01-15,160.0799631898
2016-01-18,160.0799631898
2016-01-19,160.0799631898
2016-01-20,160.0799631898
2016-01-21,160.0799631898
2016-01-22,160.0799631898
2016-01-25,160.0799631898
2016-01-26,160.0799631898
2016-01-27,160.0799631898
2016-01-28,160.0799631898
2016-01-29,160.0799631898
2016-02-01,160.0799631898
2016-02-02,160.0799631898
2016-02-03,160.0799631898
2016-02-04,160.0799631898
2016-02-05,160.0799631898
2016-02-15,158.6263426387
2016-02-16,156.6276143810
2016-02-17,156.6276143810
2016-02-18,157.1727220876
