data,value
2013-10-18,100.0000000000
2013-10-21,99.4923857868
2013-10-22,98.1725888325
2013-10-23,97.0558375635
2013-10-24,95.2284263959
2013-10-25,94.9238578680
2013-10-28,95.0253807107
2013-10-29,94.6192893401
2013-10-30,94.7208121827
2013-10-31,94.8223350254
2013-11-01,96.6497461929
2013-11-04,96.9543147208
2013-11-05,96.7512690355
2013-11-06,96.7512690355
2013-11-07,96.5482233503
2013-11-08,96.3451776650
2013-11-11,96.4467005076
2013-11-12,96.6497461929
2013-11-13,97.1573604061
2013-11-14,96.7512690355
2013-11-15,96.5482233503
2013-11-18,96.7512690355
2013-11-19,97.1573604061
2013-11-20,97.4619289340
2013-11-21,97.0558375635
2013-11-22,97.1573604061
2013-11-25,97.1573604061
2013-11-26,97.7664974619
2013-11-27,97.3604060914
2013-11-28,97.5634517766
2013-11-29,97.9695431472
2013-12-02,97.6649746193
2013-12-03,97.4619289340
2013-12-04,98.6802030457
2013-12-05,98.2741116751
2013-12-06,97.8680203046
2013-12-09,97.9695431472
2013-12-10,98.2741116751
2013-12-11,97.8680203046
2013-12-12,97.5634517766
2013-12-13,95.9390862944
2013-12-16,96.3451776650
2013-12-17,95.6345177665
2013-12-18,95.0253807107
2013-12-19,95.1269035533
2013-12-20,94.6192893401
2013-12-23,92.1827411168
2013-12-24,91.8781725888
2013-12-25,91.8781725888
2013-12-26,92.5888324873
2013-12-27,93.7055837563
2013-12-30,94.2131979695
2013-12-31,93.5025380711
2014-01-02,92.8934010152
2014-01-03,91.2690355330
2014-01-06,92.3857868020
2014-01-07,92.3857868020
2014-01-08,92.3857868020
2014-01-09,92.2842639594
2014-01-10,92.2842639594
2014-01-13,92.0812182741
2014-01-14,92.5888324873
2014-01-15,92.5888324873
2014-01-16,92.7918781726
2014-01-17,92.2842639594
2014-01-20,91.8781725888
2014-01-21,90.2538071066
2014-01-22,91.4720812183
2014-01-23,91.7766497462
2014-01-24,92.2842639594
2014-01-27,89.4416243655
2014-01-28,88.9340101523
2014-01-29,88.9340101523
2014-01-30,87.3096446701
2014-02-07,84.8730964467
2014-02-10,86.3959390863
2014-02-11,86.9035532995
2014-02-12,84.9746192893
2014-02-13,84.9746192893
2014-02-14,86.2944162437
2014-02-17,84.9746192893
2014-02-18,87.1065989848
2014-02-19,87.4111675127
2014-02-20,86.3959390863
2014-02-21,86.0913705584
2014-02-24,86.0913705584
2014-02-25,86.0913705584
2014-02-26,86.0913705584
2014-02-27,86.0913705584
2014-02-28,85.0761421320
2014-03-03,85.0761421320
2014-03-04,85.0761421320
2014-03-05,85.0761421320
2014-03-06,85.0761421320
2014-03-07,85.0761421320
2014-03-10,85.0761421320
2014-03-11,85.0761421320
2014-03-12,85.0761421320
2014-03-13,85.0761421320
2014-03-14,85.0761421320
2014-03-17,85.0761421320
2014-03-18,85.0761421320
2014-03-19,85.0761421320
2014-03-20,85.0761421320
2014-03-21,85.0761421320
2014-03-24,85.0761421320
2014-03-25,85.0761421320
2014-03-26,85.0761421320
2014-03-27,85.0761421320
2014-03-28,85.0761421320
2014-03-31,85.0761421320
2014-04-01,85.0761421320
2014-04-02,85.0761421320
2014-04-03,85.0761421320
2014-04-04,85.0761421320
2014-04-08,85.0761421320
2014-04-09,85.0761421320
2014-04-10,84.8775980430
2014-04-11,84.6790539540
2014-04-14,83.7856055535
2014-04-15,83.7856055535
2014-04-16,84.3812378205
2014-04-17,84.2819657760
2014-04-18,82.8921571531
2014-04-21,82.3957969306
2014-04-22,82.3957969306
2014-04-23,82.2965248861
2014-04-24,83.8848775980
2014-04-25,84.0834216870
2014-04-28,81.8994367081
2014-04-29,82.1972528416
2014-04-30,82.3957969306
2014-05-05,82.6936130641
2014-05-06,79.4176355958
2014-05-07,79.4176355958
2014-05-08,79.7154517293
2014-05-09,82.8921571531
2014-05-12,82.5832422817
2014-05-13,83.3040436483
2014-05-14,82.5832422817
2014-05-15,82.3772990341
2014-05-16,81.8624409152
2014-05-19,80.9356963010
2014-05-20,80.6267814297
2014-05-21,80.2148949345
2014-05-22,80.0089516869
2014-05-23,79.4940935679
2014-05-26,78.5673489538
2014-05-27,78.3614057062
2014-05-28,76.8168313493
2014-05-29,75.1692853686
2014-05-30,74.1395691307
2014-06-03,73.1098528928
2014-06-04,73.1098528928
2014-06-05,73.1098528928
2014-06-06,72.2860799025
2014-06-09,72.2860799025
2014-06-10,72.2860799025
2014-06-11,72.1825181834
2014-06-12,71.9753947453
2014-06-13,72.0789564643
2014-06-16,71.8718330262
2014-06-17,71.8718330262
2014-06-18,71.4575861500
2014-06-19,71.4575861500
2014-06-20,71.9753947453
2014-06-23,71.9753947453
2014-06-24,70.3184072404
2014-06-25,69.3863517688
2014-06-26,72.0789564643
2014-06-27,72.0789564643
2014-06-30,73.2181353740
2014-07-01,73.2181353740
2014-07-02,73.2181353740
2014-07-03,73.2181353740
2014-07-04,73.2181353740
2014-07-07,73.2181353740
2014-07-08,73.2181353740
2014-07-09,73.5297019075
2014-07-10,73.5297019075
2014-07-11,74.5682570192
2014-07-14,75.1913900862
2014-07-15,75.9183786644
2014-07-16,76.7492227537
2014-07-17,76.3338007090
2014-07-18,76.3338007090
2014-07-21,76.3338007090
2014-07-22,76.3338007090
2014-07-23,73.4258463963
2014-07-24,70.6217475948
2014-07-25,70.6217475948
2014-07-28,68.1292153267
2014-07-29,68.2330708379
2014-07-30,69.4793369719
2014-07-31,68.2330708379
2014-08-01,68.2330708379
2014-08-04,68.2330708379
2014-08-05,68.2330708379
2014-08-06,68.2330708379
2014-08-07,68.2330708379
2014-08-08,68.2330708379
2014-08-11,68.5323386924
2014-08-12,68.1333148864
2014-08-13,67.5347791773
2014-08-14,66.4374637106
2014-08-15,66.6369756136
2014-08-18,66.6369756136
2014-08-19,66.2379518075
2014-08-20,66.9362434681
2014-08-21,66.3377077590
2014-08-22,66.2379518075
2014-08-25,65.6394160984
2014-08-26,65.6394160984
2014-08-27,64.8413684863
2014-08-28,62.5469816014
2014-08-29,60.9508863771
2014-09-01,59.2550352013
2014-09-02,59.6540590074
2014-09-03,59.3547911528
2014-09-04,59.1552792498
2014-09-05,55.8633328497
2014-09-09,56.8608923649
2014-09-10,54.7584728153
2014-09-11,54.7584728153
2014-09-12,56.8608923649
2014-09-15,56.8608923649
2014-09-16,56.4786342650
2014-09-17,57.2431504648
2014-09-18,57.3387149898
2014-09-19,56.9564568899
2014-09-22,58.3899247646
2014-09-23,56.0963761650
2014-09-24,55.4274244901
2014-09-25,55.2362954402
2014-09-26,55.2362954402
2014-09-29,57.0520214149
2014-09-30,58.9633119145
2014-10-08,55.4274244901
2014-10-09,52.1782306407
2014-10-10,52.1782306407
2014-10-13,52.1782306407
2014-10-14,52.1782306407
2014-10-15,52.1782306407
2014-10-16,52.1782306407
2014-10-17,52.1782306407
2014-10-20,52.1782306407
2014-10-21,52.1782306407
2014-10-22,52.1782306407
