data,value
2011-04-15,100.0000000000
2011-04-18,103.9467849224
2011-04-19,103.9467849224
2011-04-20,104.3015521064
2011-04-21,104.0354767184
2011-04-22,102.8381374723
2011-04-25,103.5033259424
2011-04-26,102.7050997783
2011-04-27,103.1929046563
2011-04-28,103.5476718404
2011-04-29,103.4146341463
2011-05-03,103.8580931264
2011-05-04,103.3702882483
2011-05-05,102.3503325942
2011-05-06,100.8425720621
2011-05-09,101.0199556541
2011-05-10,101.1529933481
2011-05-11,102.9268292683
2011-05-12,103.4589800443
2011-05-13,106.9179600887
2011-05-16,106.8736141907
2011-05-17,106.0753880266
2011-05-18,106.2527716186
2011-05-19,105.2771618625
2011-05-20,105.4101995565
2011-05-23,104.7893569845
2011-05-24,105.1441241685
2011-05-25,105.2328159645
2011-05-26,105.8536585366
2011-05-27,104.7450110865
2011-05-30,105.1441241685
2011-05-31,105.1441241685
2011-06-01,104.8337028825
2011-06-02,104.1241685144
2011-06-03,103.3259423503
2011-06-07,103.3702882483
2011-06-08,103.1929046563
2011-06-09,103.1485587583
2011-06-10,102.6164079823
2011-06-13,102.4833702882
2011-06-14,103.5033259424
2011-06-15,103.3259423503
2011-06-16,102.4390243902
2011-06-17,102.4390243902
2011-06-20,101.6851441242
2011-06-21,101.1973392461
2011-06-22,101.5077605322
2011-06-23,102.3946784922
2011-06-24,102.3503325942
2011-06-27,102.2616407982
2011-06-28,102.8381374723
2011-06-29,101.9068736142
2011-06-30,102.2616407982
2011-07-01,102.2616407982
2011-07-04,102.5277161863
2011-07-05,102.5720620843
2011-07-06,103.5033259424
2011-07-07,103.1042128603
2011-07-08,102.5277161863
2011-07-11,102.3503325942
2011-07-12,101.9512195122
2011-07-13,102.3503325942
2011-07-14,102.2172949002
2011-07-15,102.1729490022
2011-07-18,102.3503325942
2011-07-19,102.1729490022
2011-07-20,102.1729490022
2011-07-21,101.5077605322
2011-07-22,101.4190687361
2011-07-25,101.4634146341
2011-07-26,101.3747228381
2011-07-27,101.3747228381
2011-07-28,101.4190687361
2011-07-29,101.3747228381
2011-08-01,101.3303769401
2011-08-02,101.2860310421
2011-08-03,101.2860310421
2011-08-04,101.5964523282
2011-08-05,101.7738359202
2011-08-08,100.8869179601
2011-08-09,98.2705099778
2011-08-10,99.2904656319
2011-08-11,98.7139689579
2011-08-12,98.9356984479
2011-08-15,97.9157427938
2011-08-16,96.5853658537
2011-08-17,95.8758314856
2011-08-18,95.1662971175
2011-08-19,93.7915742794
2011-08-22,92.1507760532
2011-08-23,88.7804878049
2011-08-24,88.7361419069
2011-08-25,89.4456762749
2011-08-26,89.7117516630
2011-08-29,89.1352549889
2011-08-30,89.0465631929
2011-08-31,89.3126385809
2011-09-01,90.2439024390
2011-09-02,90.2439024390
2011-09-05,89.5787139690
2011-09-06,89.7117516630
2011-09-07,90.0221729490
2011-09-08,89.6230598670
2011-09-09,89.6230598670
2011-09-13,88.6199793916
2011-09-14,88.8816525591
2011-09-15,89.2305501157
2011-09-16,89.0561013374
2011-09-19,88.4019184187
2011-09-20,88.3146940295
2011-09-21,89.4049988941
2011-09-22,87.8349598891
2011-09-23,86.8318794137
2011-09-26,84.3895965171
2011-09-27,84.3895965171
2011-09-28,84.1715355442
2011-09-29,79.9847648642
2011-09-30,76.0596673518
2011-10-10,81.3803550909
2011-10-11,81.3803550909
2011-10-12,85.9160233275
2011-10-13,80.7697843667
2011-10-14,80.7697843667
2011-10-17,80.7697843667
2011-10-18,77.2727097176
2011-10-19,77.2727097176
2011-10-20,73.4385676323
2011-10-21,70.2785604192
2011-10-24,71.1212290094
2011-10-25,74.6604370881
2011-10-26,74.6604370881
2011-10-27,74.6183036586
2011-10-28,74.9975045241
2011-10-31,74.9975045241
2011-11-01,74.9975045241
2011-11-02,74.9975045241
2011-11-03,74.9975045241
2011-11-04,74.9975045241
2011-11-07,77.9468445897
2011-11-08,77.9468445897
2011-11-09,77.9468445897
2011-11-10,77.9468445897
2011-11-11,77.9468445897
2011-11-14,77.9468445897
2011-11-15,77.9468445897
2011-11-16,77.9468445897
2011-11-17,77.9468445897
2011-11-18,77.9468445897
2011-11-21,77.9468445897
2011-11-22,77.9468445897
2011-11-23,77.9468445897
2011-11-24,77.9468445897
2011-11-25,77.9468445897
2011-11-28,77.9468445897
2011-11-29,77.9468445897
2011-11-30,77.9468445897
2011-12-01,77.9468445897
2011-12-02,77.9468445897
2011-12-05,77.9468445897
2011-12-06,77.9468445897
2011-12-07,77.9468445897
2011-12-08,77.9468445897
2011-12-09,78.0659079979
2011-12-12,77.2324641403
2011-12-13,76.7165227046
2011-12-14,76.7958983101
2011-12-15,75.7640154388
2011-12-16,76.2799568744
2011-12-19,76.2799568744
2011-12-20,76.1212056635
2011-12-21,76.1212056635
2011-12-22,75.5655764250
2011-12-23,73.4621228796
2011-12-26,73.3827472741
2011-12-27,73.8193131043
2011-12-28,73.4224350768
2011-12-29,71.9142985726
2011-12-30,71.6761717561
2012-01-04,69.4536548024
2012-01-05,69.4536548024
2012-01-06,69.4536548024
2012-01-09,72.6286790220
2012-01-10,73.4224350768
2012-01-11,73.3033716686
2012-01-12,73.3033716686
2012-01-13,72.2489278567
2012-01-16,72.2489278567
2012-01-17,75.7637405632
2012-01-18,75.7637405632
2012-01-19,75.7637405632
2012-01-20,75.7637405632
2012-01-30,75.7637405632
2012-01-31,75.7637405632
2012-02-01,75.7637405632
2012-02-02,75.7637405632
2012-02-03,75.7637405632
2012-02-06,75.7637405632
2012-02-07,75.7637405632
2012-02-08,75.7637405632
2012-02-09,75.7637405632
2012-02-10,75.7637405632
2012-02-13,75.7637405632
2012-02-14,75.7637405632
2012-02-15,75.7637405632
2012-02-16,75.7637405632
2012-02-17,75.7637405632
2012-02-20,75.7637405632
2012-02-21,75.7637405632
2012-02-22,75.7637405632
2012-02-23,75.7637405632
2012-02-24,75.7637405632
2012-02-27,75.7637405632
2012-02-28,75.7637405632
2012-02-29,75.7637405632
2012-03-01,75.7637405632
2012-03-02,75.7637405632
2012-03-05,75.7637405632
2012-03-06,75.7637405632
2012-03-07,75.7637405632
2012-03-08,75.7637405632
2012-03-09,75.7637405632
2012-03-12,75.7637405632
2012-03-13,75.7637405632
2012-03-14,75.7637405632
2012-03-15,75.7637405632
2012-03-16,75.7637405632
2012-03-19,75.7637405632
2012-03-20,75.7637405632
2012-03-21,75.7637405632
2012-03-22,75.7637405632
2012-03-23,75.7637405632
2012-03-26,75.7637405632
2012-03-27,75.7637405632
2012-03-28,75.7637405632
2012-03-29,75.7637405632
2012-03-30,75.7637405632
2012-04-05,75.7637405632
2012-04-06,75.7637405632
2012-04-09,75.7637405632
2012-04-10,75.7637405632
2012-04-11,75.7637405632
2012-04-12,75.7637405632
2012-04-13,75.2331290735
2012-04-16,74.6267159424
2012-04-17,74.2477077355
2012-04-18,73.7549970665
2012-04-19,72.7316749078
2012-04-20,72.1631625975
2012-04-23,70.4955264870
2012-04-24,70.3818240249
2012-04-25,69.5101051490
2012-04-26,69.6238076111
2012-04-27,69.1689977628
2012-05-02,68.5246838110
2012-05-03,69.2447994042
2012-05-04,69.5480059697
2012-05-07,69.1689977628
2012-05-08,69.7375100732
2012-05-09,69.7375100732
2012-05-10,69.7375100732
2012-05-11,71.7676047060
2012-05-14,71.7676047060
2012-05-15,71.4292556006
2012-05-16,71.6548216709
2012-05-17,70.8277460797
2012-05-18,70.8277460797
2012-05-21,70.8277460797
2012-05-22,68.3841136513
2012-05-23,68.3841136513
2012-05-24,68.3841136513
2012-05-25,68.3841136513
2012-05-28,66.5043963986
2012-05-29,66.5043963986
2012-05-30,64.0231696251
2012-05-31,64.0231696251
2012-06-01,64.0231696251
2012-06-04,64.0231696251
2012-06-05,64.0231696251
2012-06-06,64.0231696251
2012-06-07,64.0231696251
2012-06-08,64.0231696251
2012-06-11,64.0231696251
2012-06-12,64.0231696251
2012-06-13,64.0231696251
2012-06-14,64.0231696251
2012-06-15,63.3623800304
2012-06-18,61.5635639113
2012-06-19,60.9394848496
2012-06-20,60.9394848496
2012-06-21,60.9394848496
2012-06-25,60.9394848496
2012-06-26,60.9394848496
2012-06-27,58.7368528671
2012-06-28,58.1494843384
2012-06-29,58.1494843384
2012-07-02,58.1494843384
2012-07-03,58.1494843384
2012-07-04,58.1494843384
2012-07-05,58.1494843384
2012-07-06,58.1494843384
2012-07-09,58.1494843384
2012-07-10,58.1494843384
2012-07-11,58.1494843384
2012-07-12,58.1494843384
2012-07-13,58.1494843384
2012-07-16,58.1494843384
2012-07-17,58.1494843384
2012-07-18,58.1494843384
2012-07-19,58.1494843384
2012-07-20,58.1494843384
2012-07-23,58.1494843384
2012-07-24,58.1494843384
2012-07-25,58.1494843384
2012-07-26,58.1494843384
2012-07-27,58.1494843384
2012-07-30,58.1494843384
2012-07-31,58.1494843384
2012-08-01,58.1494843384
2012-08-02,58.1494843384
2012-08-03,58.1494843384
2012-08-06,58.1494843384
2012-08-07,58.1494843384
2012-08-08,58.1494843384
2012-08-09,58.4776005510
2012-08-10,58.4776005510
2012-08-13,58.4046858371
2012-08-14,57.7119960550
2012-08-15,58.6234299788
2012-08-16,58.9880035483
2012-08-17,59.2796624039
2012-08-20,59.3525771178
2012-08-21,58.9515461914
2012-08-22,58.3317711232
2012-08-23,57.7849107689
2012-08-24,57.2015930577
2012-08-27,56.9099342021
2012-08-28,56.6911900603
2012-08-29,56.2901591339
2012-08-30,55.3787252101
2012-08-31,55.3787252101
2012-09-03,53.8475162181
2012-09-04,53.8475162181
2012-09-05,53.8475162181
2012-09-06,53.8475162181
2012-09-07,55.4151825670
2012-09-10,55.4151825670
2012-09-11,55.4151825670
2012-09-12,55.4151825670
2012-09-13,55.4151825670
2012-09-14,55.4151825670
2012-09-17,56.0404596623
2012-09-18,56.0404596623
2012-09-19,56.0404596623
2012-09-20,56.0404596623
2012-09-21,56.0404596623
2012-09-24,56.0404596623
2012-09-25,56.0404596623
2012-09-26,56.0404596623
2012-09-27,56.0404596623
2012-09-28,56.0404596623
2012-10-08,56.0404596623
2012-10-09,56.0404596623
