data,value
2013-11-08,100.0000000000
2013-11-11,99.5123203285
2013-11-12,99.3326488706
2013-11-13,99.3583162218
2013-11-14,99.1786447639
2013-11-15,99.5893223819
2013-11-18,99.8973305955
2013-11-19,99.8459958932
2013-11-20,100.1026694045
2013-11-21,100.1026694045
2013-11-22,99.9743326489
2013-11-25,101.2063655031
2013-11-26,102.0020533881
2013-11-27,101.6427104723
2013-11-28,102.0790554415
2013-11-29,102.1303901437
2013-12-02,102.0533880903
2013-12-03,102.1047227926
2013-12-04,101.7967145791
2013-12-05,101.8480492813
2013-12-06,101.3347022587
2013-12-09,101.3347022587
2013-12-10,101.8993839836
2013-12-11,102.0020533881
2013-12-12,101.6427104723
2013-12-13,100.8470225873
2013-12-16,100.3336755647
2013-12-17,100.5390143737
2013-12-18,100.5903490760
2013-12-19,99.0759753593
2013-12-20,99.0503080082
2013-12-23,99.2813141684
2013-12-24,99.7433264887
2013-12-25,100.1026694045
2013-12-26,99.8973305955
2013-12-27,100.0770020534
2013-12-30,100.3336755647
2013-12-31,100.6416837782
2014-01-02,101.0523613963
2014-01-03,101.9250513347
2014-01-06,101.6683778234
2014-01-07,99.9486652977
2014-01-08,99.4609856263
2014-01-09,99.4866529774
2014-01-10,99.4866529774
2014-01-13,99.6406570842
2014-01-14,99.8716632444
2014-01-15,99.5379876797
2014-01-16,98.6139630390
2014-01-17,98.0236139630
2014-01-20,97.4075975359
2014-01-21,96.4322381930
2014-01-22,95.2772073922
2014-01-23,95.0975359343
2014-01-24,94.4301848049
2014-01-27,91.9917864476
2014-01-28,91.0934291581
2014-01-29,89.7073921971
2014-01-30,88.1930184805
2014-02-07,85.1899383984
2014-02-10,85.7802874743
2014-02-11,86.0626283368
2014-02-12,86.5246406571
2014-02-13,88.1930184805
2014-02-14,87.8850102669
2014-02-17,88.1416837782
2014-02-18,88.0390143737
2014-02-19,88.0133470226
2014-02-20,89.0657084189
2014-02-21,88.3470225873
2014-02-24,89.8357289528
2014-02-25,89.9897330595
2014-02-26,93.0698151951
2014-02-27,92.6078028747
2014-02-28,91.0677618070
2014-03-03,91.0677618070
2014-03-04,91.0677618070
2014-03-05,91.1190965092
2014-03-06,93.6858316222
2014-03-07,93.6858316222
2014-03-10,96.2742352587
2014-03-11,96.2742352587
2014-03-12,96.2742352587
2014-03-13,96.8734027672
2014-03-14,94.3808659320
2014-03-17,93.3263311171
2014-03-18,93.3263311171
2014-03-19,94.6444996357
2014-03-20,94.6444996357
2014-03-21,94.6444996357
2014-03-24,94.4287993327
2014-03-25,90.6899940799
2014-03-26,90.6899940799
2014-03-27,90.6899940799
2014-03-28,90.6899940799
2014-03-31,90.6899940799
2014-04-01,90.6899940799
2014-04-02,90.6899940799
2014-04-03,90.6899940799
2014-04-04,90.6899940799
2014-04-08,90.6899940799
2014-04-09,90.6899940799
2014-04-10,93.0473445883
2014-04-11,94.6113559834
2014-04-14,93.4780143928
2014-04-15,93.0700114202
2014-04-16,93.1380119156
2014-04-17,93.2740129065
2014-04-18,94.2713535062
2014-04-21,97.7620456052
2014-04-22,99.7567268047
2014-04-23,98.8727203640
2014-04-24,98.5327178869
2014-04-25,98.1247149142
2014-04-28,99.0993886822
2014-04-29,100.1193961137
2014-04-30,101.8420753314
2014-05-05,105.4007679259
2014-05-06,111.7248140015
2014-05-07,116.4395150184
2014-05-08,116.4395150184
2014-05-09,116.4395150184
2014-05-12,119.9424814792
2014-05-13,122.1034023478
2014-05-14,120.4429052593
2014-05-15,118.9188873835
2014-05-16,120.3974121883
2014-05-19,117.7360675396
2014-05-20,118.1227586424
2014-05-21,117.4631091140
2014-05-22,116.6669803729
2014-05-23,116.0073308446
2014-05-26,112.6408435966
2014-05-27,111.6399960363
2014-05-28,112.1176732810
2014-05-29,111.5262633591
2014-05-30,111.6399960363
2014-06-03,107.3636473699
2014-06-04,107.6138592600
2014-06-05,107.8413246146
2014-06-06,108.0460434337
2014-06-09,108.6374533557
2014-06-10,109.1833702067
2014-06-11,110.0239054294
2014-06-12,110.6704709853
2014-06-13,110.4980535037
2014-06-16,109.8514879478
2014-06-17,111.1230668744
2014-06-18,110.8859928372
2014-06-19,111.3816930968
2014-06-20,112.6748242086
2014-06-23,112.8041373198
2014-06-24,112.7610329494
2014-06-25,113.1058679125
2014-06-26,113.1705244681
2014-06-27,114.5283121355
2014-06-30,115.3257429878
2014-07-01,114.7653861727
2014-07-02,113.2567332089
2014-07-03,112.6101676530
2014-07-04,114.1834771723
2014-07-07,114.7869383579
2014-07-08,114.2481337279
2014-07-09,114.5498643207
2014-07-10,114.1188206168
2014-07-11,116.0369650993
2014-07-14,117.5025136926
2014-07-15,117.4378571371
2014-07-16,117.0930221739
2014-07-17,117.6533789890
2014-07-18,116.5757697292
2014-07-21,115.1317733210
2014-07-22,113.4507028757
2014-07-23,112.5455110974
2014-07-24,113.4075985053
2014-07-25,113.9895075056
2014-07-28,116.3386956920
2014-07-29,117.3516483963
2014-07-30,115.8214432473
2014-07-31,115.7136823213
2014-08-01,116.6619784700
2014-08-04,116.6835306552
2014-08-05,116.6404262848
2014-08-06,116.2740391364
2014-08-07,115.5843692101
2014-08-08,114.0757162464
2014-08-11,112.9118982457
2014-08-12,112.5024067270
2014-08-13,112.3730936158
2014-08-14,110.8859928372
