data,value
2013-03-22,100.0000000000
2013-03-25,98.7240829346
2013-03-26,98.5645933014
2013-03-27,98.2456140351
2013-03-28,98.2456140351
2013-03-29,98.0063795853
2013-04-01,96.0925039872
2013-04-02,95.9330143541
2013-04-03,96.5709728868
2013-04-08,95.6140350877
2013-04-09,96.7304625199
2013-04-10,96.6507177033
2013-04-11,96.4912280702
2013-04-12,95.7735247209
2013-04-15,92.9027113238
2013-04-16,91.0685805423
2013-04-17,90.8293460925
2013-04-18,90.5103668262
2013-04-19,90.3508771930
2013-04-22,90.0318979266
2013-04-23,88.2775119617
2013-04-24,88.1977671451
2013-04-25,88.1977671451
2013-04-26,88.3572567783
2013-05-02,86.7623604466
2013-05-03,86.7623604466
2013-05-06,86.7623604466
2013-05-07,86.6826156300
2013-05-08,86.6826156300
2013-05-09,85.4066985646
2013-05-10,85.4066985646
2013-05-13,88.5167464115
2013-05-14,88.5167464115
2013-05-15,88.5167464115
2013-05-16,85.0079744817
2013-05-17,85.7256778309
2013-05-20,85.7256778309
2013-05-21,85.7256778309
2013-05-22,85.7256778309
2013-05-23,85.7256778309
2013-05-24,85.7256778309
2013-05-27,85.7256778309
2013-05-28,84.8484848485
2013-05-29,86.1244019139
2013-05-30,86.0446570973
2013-05-31,86.0446570973
2013-06-03,83.1738437002
2013-06-04,84.5295055821
2013-06-05,83.2535885167
2013-06-06,83.2535885167
2013-06-07,82.9346092504
2013-06-13,82.9346092504
2013-06-14,79.6650717703
2013-06-17,79.6650717703
2013-06-18,79.6650717703
2013-06-19,79.6650717703
2013-06-20,80.7017543860
2013-06-21,80.7017543860
2013-06-24,77.5917065391
2013-06-25,78.1499202552
2013-06-26,78.1499202552
2013-06-27,79.7448165869
2013-06-28,79.0271132376
2013-07-01,74.3221690590
2013-07-02,78.7081339713
2013-07-03,78.7081339713
2013-07-04,78.7081339713
2013-07-05,78.7081339713
2013-07-08,79.4115830336
2013-07-09,78.5518119574
2013-07-10,78.7862949782
2013-07-11,78.7862949782
2013-07-12,78.9426169921
2013-07-15,77.7702018882
2013-07-16,78.0046849090
2013-07-17,78.0046849090
2013-07-18,77.3012358467
2013-07-19,77.3012358467
2013-07-22,77.6138798744
2013-07-23,77.6138798744
2013-07-24,78.7862949782
2013-07-25,78.7862949782
2013-07-26,78.7862949782
2013-07-29,78.7862949782
2013-07-30,78.7862949782
2013-07-31,81.9127352551
2013-08-01,81.9127352551
2013-08-02,81.9127352551
2013-08-05,81.9127352551
2013-08-06,81.9127352551
2013-08-07,81.9127352551
2013-08-08,81.9127352551
2013-08-09,81.5123797553
2013-08-12,81.9928063551
2013-08-13,82.3130907549
2013-08-14,82.0728774550
2013-08-15,82.3931618549
2013-08-16,81.7525930552
2013-08-19,82.0728774550
2013-08-20,81.9928063551
2013-08-21,81.9928063551
2013-08-22,81.9928063551
2013-08-23,81.5123797553
2013-08-26,80.5515265559
2013-08-27,80.2312421560
2013-08-28,78.8700334568
2013-08-29,76.3077582582
2013-08-30,76.6280426580
2013-09-02,80.2312421560
2013-09-03,81.5924508553
2013-09-04,80.5515265559
2013-09-05,78.6298201569
2013-09-06,77.4287536576
2013-09-09,77.1193480486
2013-09-10,77.2740508531
2013-09-11,77.3514022553
2013-09-12,76.0364284170
2013-09-13,74.6441031764
2013-09-16,74.6441031764
2013-09-17,75.1855629922
2013-09-18,74.7988059809
2013-09-23,75.2629143944
2013-09-24,76.2684826238
2013-09-25,75.8043742102
2013-09-26,75.4176171989
2013-09-27,75.6496714057
2013-09-30,76.2684826238
2013-10-08,74.1026433606
2013-10-09,74.1026433606
2013-10-10,78.1249162779
2013-10-11,75.8043742102
2013-10-14,75.8043742102
2013-10-15,75.8043742102
2013-10-16,75.3504558018
2013-10-17,75.8043742102
2013-10-18,76.1069864825
2013-10-21,76.7878640952
2013-10-22,76.7878640952
2013-10-23,76.7878640952
2013-10-24,76.7878640952
2013-10-25,76.7878640952
2013-10-28,76.7878640952
2013-10-29,75.1991496656
2013-10-30,75.1991496656
2013-10-31,76.1069864825
2013-11-01,76.1069864825
2013-11-04,76.1069864825
2013-11-05,76.1069864825
2013-11-06,74.8208843253
2013-11-07,79.2087622736
2013-11-08,79.2087622736
2013-11-11,79.2087622736
2013-11-12,79.8245738364
2013-11-13,80.5943382900
2013-11-14,80.6713147354
2013-11-15,80.9792205168
2013-11-18,79.0548093828
2013-11-19,79.0548093828
2013-11-20,79.0548093828
2013-11-21,79.0548093828
2013-11-22,79.0548093828
2013-11-25,79.0548093828
2013-11-26,78.0541155932
2013-11-27,78.0541155932
2013-11-28,78.0541155932
2013-11-29,78.0541155932
2013-12-02,73.4355288717
2013-12-03,73.4355288717
2013-12-04,73.4355288717
2013-12-05,73.4355288717
2013-12-06,73.4355288717
2013-12-09,73.3675959125
2013-12-10,73.3675959125
2013-12-11,72.8241322391
2013-12-12,71.8051378514
2013-12-13,70.5823445862
2013-12-16,70.8540764229
2013-12-17,70.6502775454
2013-12-18,70.5823445862
2013-12-19,70.1747468311
2013-12-20,69.5633501985
2013-12-23,69.0878194843
2013-12-24,69.2916183618
2013-12-25,68.9519535659
2013-12-26,68.2726239741
2013-12-27,67.4574284640
2013-12-30,67.0498307089
2013-12-31,65.7591044846
2014-01-02,62.4303894848
2014-01-03,62.4303894848
2014-01-06,62.8379872399
2014-01-07,62.8379872399
2014-01-08,63.0417861174
2014-01-09,62.8379872399
2014-01-10,62.6494732782
2014-01-13,62.0210934058
2014-01-14,62.3981213292
2014-01-15,62.2724453547
2014-01-16,62.2096073675
2014-01-17,62.2096073675
2014-01-20,59.8217638524
2014-01-21,59.8217638524
2014-01-22,58.8791940438
2014-01-23,58.8791940438
2014-01-24,58.8791940438
2014-01-27,58.8791940438
2014-01-28,58.8791940438
2014-01-29,58.8791940438
2014-01-30,54.7947248732
2014-02-07,54.7947248732
2014-02-10,54.7947248732
2014-02-11,54.7947248732
2014-02-12,54.7947248732
2014-02-13,54.7947248732
2014-02-14,54.7947248732
2014-02-17,54.7947248732
2014-02-18,54.7947248732
2014-02-19,54.7947248732
2014-02-20,54.0761055306
2014-02-21,54.0761055306
2014-02-24,54.0761055306
2014-02-25,54.0761055306
2014-02-26,53.1179464071
2014-02-27,51.0219733245
2014-02-28,51.0219733245
2014-03-03,51.0219733245
2014-03-04,51.0219733245
2014-03-05,51.0219733245
2014-03-06,51.0219733245
2014-03-07,51.0219733245
2014-03-10,48.9857486195
2014-03-11,48.5203258297
2014-03-12,47.5894802503
2014-03-13,47.5894802503
2014-03-14,47.5894802503
2014-03-17,47.5894802503
2014-03-18,47.5894802503
2014-03-19,47.5894802503
2014-03-20,47.5894802503
2014-03-21,47.5894802503
2014-03-24,48.2876144349
2014-03-25,49.8584163502
2014-03-26,47.9967251913
2014-03-27,47.4149467041
2014-03-28,49.2184600143
2014-03-31,49.7420606528
2014-04-01,49.7420606528
2014-04-02,49.7420606528
2014-04-03,49.7420606528
2014-04-04,49.7420606528
2014-04-08,49.7420606528
2014-04-09,49.7420606528
2014-04-10,49.0914510604
2014-04-11,48.9140120807
2014-04-14,48.7365731009
2014-04-15,48.5591341212
2014-04-16,48.4408414680
2014-04-17,48.2634024883
2014-04-18,46.2524273846
2014-04-21,46.0749884049
2014-04-22,45.8975494251
2014-04-23,46.0749884049
2014-04-24,46.1932810580
2014-04-25,46.1341347315
2014-04-28,45.6018177923
2014-04-29,45.7201104454
2014-04-30,45.7201104454
2014-05-05,44.7146228936
2014-05-06,44.7146228936
2014-05-07,47.2579149365
2014-05-08,47.2579149365
2014-05-09,47.2579149365
2014-05-12,47.7200950336
2014-05-13,48.5289102037
2014-05-14,48.5289102037
2014-05-15,48.3555926673
2014-05-16,47.8934125701
2014-05-19,47.8934125701
2014-05-20,47.8934125701
2014-05-21,47.8934125701
2014-05-22,45.9869196692
2014-05-23,45.9869196692
2014-05-26,45.9869196692
2014-05-27,44.1959717927
2014-05-28,44.1959717927
2014-05-29,44.1959717927
2014-05-30,44.1959717927
2014-06-03,44.1959717927
2014-06-04,44.1959717927
2014-06-05,44.1959717927
2014-06-06,44.1959717927
2014-06-09,44.1959717927
2014-06-10,44.1959717927
2014-06-11,44.1959717927
2014-06-12,44.1959717927
2014-06-13,44.1959717927
2014-06-16,44.1959717927
2014-06-17,44.1959717927
2014-06-18,43.4029818681
2014-06-19,43.4029818681
2014-06-20,42.6099919436
2014-06-23,42.6099919436
2014-06-24,42.6099919436
2014-06-25,42.6099919436
2014-06-26,42.6099919436
2014-06-27,42.6099919436
2014-06-30,42.6099919436
2014-07-01,40.0724241852
2014-07-02,40.0724241852
2014-07-03,40.0724241852
2014-07-04,40.0724241852
2014-07-07,40.0724241852
2014-07-08,40.0724241852
2014-07-09,39.8178344509
2014-07-10,39.5632447165
2014-07-11,39.1559011416
2014-07-14,38.9013114072
2014-07-15,39.1049831947
2014-07-16,38.6976396198
2014-07-17,38.5958037260
2014-07-18,37.8320345230
2014-07-21,37.8320345230
2014-07-22,37.8320345230
2014-07-23,37.8320345230
2014-07-24,37.8320345230
2014-07-25,37.8320345230
2014-07-28,36.8645935325
2014-07-29,36.8645935325
2014-07-30,37.0682653200
2014-07-31,37.0682653200
2014-08-01,37.0682653200
2014-08-04,37.0682653200
2014-08-05,37.0682653200
2014-08-06,37.0682653200
2014-08-07,37.0682653200
2014-08-08,37.0682653200
2014-08-11,36.9682160209
2014-08-12,36.6180434740
2014-08-13,36.2178462776
2014-08-14,35.7676244316
2014-08-15,36.6180434740
2014-08-18,36.8181420722
2014-08-19,36.5179941749
2014-08-20,36.6680681235
2014-08-21,36.8181420722
2014-08-22,36.9682160209
2014-08-25,37.0682653200
2014-08-26,37.0682653200
2014-08-27,37.0682653200
2014-08-28,36.8181420722
2014-08-29,36.6680681235
2014-09-01,37.2183392687
2014-09-02,37.4684625164
2014-09-03,36.9682160209
2014-09-04,37.4184378669
2014-09-05,37.1182899695
2014-09-09,37.1683146191
2014-09-10,36.7475412460
2014-09-11,36.7475412460
2014-09-12,36.7475412460
2014-09-15,36.7475412460
2014-09-16,36.7475412460
2014-09-17,36.6072834550
2014-09-18,36.6072834550
2014-09-19,36.6072834550
2014-09-22,36.6072834550
