data,value
2025-10-29,100.0000000000
2025-10-30,100.1575028637
2025-10-31,99.5131729668
2025-11-03,99.0406643757
2025-11-04,98.6540664376
2025-11-05,97.9238258877
2025-11-06,97.2079037801
2025-11-07,97.6088201604
2025-11-10,97.3367697595
2025-11-11,97.3224513173
2025-11-12,97.2794959908
2025-11-13,97.4226804124
2025-11-14,98.3820160367
2025-11-17,98.2101947308
2025-11-18,97.6660939290
2025-11-19,97.4226804124
2025-11-20,97.5229095074
2025-11-21,97.3367697595
2025-11-24,97.1219931271
2025-11-25,97.2079037801
2025-11-26,96.3774341352
2025-11-27,96.0624284078
2025-11-28,96.6208476518
2025-12-01,97.3940435281
2025-12-02,97.7233676976
2025-12-03,97.6517754868
2025-12-04,97.0647193585
2025-12-05,96.0767468499
2025-12-08,95.0601374570
2025-12-09,94.1723940435
2025-12-10,93.4994272623
2025-12-11,93.8717067583
2025-12-12,92.7262313860
2025-12-15,93.3419243986
2025-12-16,92.8694158076
2025-12-17,92.3396334479
2025-12-18,92.1391752577
2025-12-19,90.4066437572
2025-12-22,88.9318442153
2025-12-23,88.8602520046
2025-12-24,89.6907216495
2025-12-25,90.4495990836
2025-12-26,90.1202749141
2025-12-29,90.6214203895
2025-12-30,90.2061855670
2025-12-31,90.2061855670
2026-01-05,90.4066437572
2026-01-06,90.9507445590
2026-01-07,92.2394043528
2026-01-08,92.6403207331
2026-01-09,92.4828178694
2026-01-12,92.8407789233
2026-01-13,93.4994272623
2026-01-14,94.4014891180
2026-01-15,94.3728522337
2026-01-16,93.7714776632
2026-01-19,93.6282932417
2026-01-20,93.1987399771
2026-01-21,93.2560137457
2026-01-22,93.6282932417
2026-01-23,94.1294387171
2026-01-26,94.9264348559
2026-01-27,94.2273154359
2026-01-28,95.5136951688
2026-01-29,96.2547617541
2026-01-30,96.4505151917
2026-02-02,94.9963467979
2026-02-03,94.2273154359
2026-02-04,94.6747518647
2026-02-05,93.8078437838
2026-02-06,93.2066010826
2026-02-09,93.1786363058
2026-02-10,93.0667771986
2026-02-11,93.2345658594
2026-02-12,93.2205834710
2026-02-13,92.7172174885
2026-02-24,93.9465553127
2026-02-25,94.2957990128
2026-02-26,93.4296746366
2026-02-27,91.5018494124
2026-03-02,94.2678595168
2026-03-03,98.4448141693
2026-03-04,101.6578562098
2026-03-05,103.0268915139
2026-03-06,104.3819570701
2026-03-09,108.6846394547
2026-03-10,108.5728814707
2026-03-11,108.7544881947
2026-03-12,113.3365655393
2026-03-13,113.0432008313
2026-03-16,114.7335403395
2026-03-17,113.4343537753
2026-03-18,113.6159604994
2026-03-19,115.1246932836
2026-03-20,115.0548445436
2026-03-23,116.6753353118
2026-03-24,116.6334260678
2026-03-25,115.1805722756
2026-03-26,115.7114194804
2026-03-27,116.7996562504
2026-03-30,119.6795023368
2026-03-31,115.3663687973
2026-04-01,113.5880306610
2026-04-02,113.8667254435
2026-04-03,114.5700979900
2026-04-07,121.2189592309
2026-04-08,116.9190968715
2026-04-09,113.7605560026
2026-04-10,113.4420476796
2026-04-13,112.5661497916
2026-04-14,112.0087602265
2026-04-15,111.9822178663
2026-04-16,111.6637095434
2026-04-17,111.9291331458
2026-04-20,111.0399640776
2026-04-21,110.8541675559
2026-04-22,111.0665064379
2026-04-23,111.1594046987
2026-04-24,111.1195911584
2026-04-27,111.6745799801
2026-04-28,113.0552838780
2026-04-29,114.3683062123
2026-04-30,115.1128034122
2026-05-06,115.4241386049
2026-05-07,112.0400604237
2026-05-08,110.0231498277
2026-05-11,111.3903174129
2026-05-12,112.1483509255
2026-05-13,112.4055408672
2026-05-14,111.9453062346
2026-05-15,111.4173900383
2026-05-18,111.9859151728
2026-05-19,110.8894738420
2026-05-20,111.4173900383
2026-05-21,110.9842280311
2026-05-22,110.6322839003
2026-05-25,110.1515128627
2026-05-26,109.2586523644
2026-05-27,109.1624981569
2026-05-28,108.4756823889
2026-05-29,108.6542544886
2026-06-01,110.8520649460
2026-06-02,111.0718459918
2026-06-03,110.9756917842
2026-06-04,110.2064581241
2026-06-05,110.2064581241
2026-06-08,111.1405275685
2026-06-09,110.5498660081
2026-06-10,109.9866770784
2026-06-11,110.6872291617
2026-06-12,110.4674481160
2026-06-15,109.1487618415
2026-06-16,107.9811750360
2026-06-17,107.6927124135
2026-06-18,107.0883145377
2026-06-22,106.4564440312
2026-06-23,105.9619366783
2026-06-24,105.7833645786
2026-06-25,102.8457662107
2026-06-26,103.4422328844
2026-06-29,103.1290878807
2026-06-30,104.2176395602
2026-07-01,103.5913495528
2026-07-02,101.6230095296
2026-07-03,102.8159428770
2026-07-06,103.7106428875
2026-07-07,104.7693712333
2026-07-08,105.9026579133
2026-07-09,107.2148845954
2026-07-10,107.6622346007
2026-07-13,108.6911396128
2026-07-14,111.4348863118
2026-07-15,112.4787029907
2026-07-16,112.9409646629
2026-07-17,112.4936146576
2026-07-20,113.5970780039
2026-07-21,113.1049929981
2026-07-22,113.7163713386
2026-07-23,114.1189863434
2026-07-24,114.4917780144
2026-07-27,111.0166965683
2026-07-28,109.8583360863
2026-07-29,110.2301555003
2026-07-30,111.2455085154
2026-07-31,110.2587569937
2026-08-03,110.4160652073
2026-08-04,110.9737943283
2026-08-05,109.2720054719
2026-08-06,108.4282614171
2026-08-07,109.8297345929
2026-08-10,109.9441405665
2026-08-11,110.5447719275
2026-08-12,110.6591779010
2026-08-13,111.2455085154
2026-08-14,111.4314182224
2026-08-17,112.8614928916
2026-08-18,113.4907257460
2026-08-19,113.9054474001
2026-08-20,113.3906205192
2026-08-21,113.4192220126
2026-08-24,113.5336279861
2026-08-25,113.7481391865
2026-08-26,110.7665549326
2026-08-27,110.8645412696
2026-08-28,112.1803577948
2026-08-31,116.0018249370
2026-09-01,119.3473584425
2026-09-02,122.3289426963
