data,value
2007-07-31,100.0000000000
2007-08-01,98.4609313339
2007-08-02,97.1981057616
2007-08-03,97.5927387530
2007-08-06,98.1057616417
2007-08-07,97.9084451460
2007-08-08,98.2636148382
2007-08-09,98.6977111287
2007-08-10,99.0528808208
2007-08-13,98.7766377269
2007-08-14,97.9873717443
2007-08-15,98.0662983425
2007-08-16,97.9479084451
2007-08-17,97.2770323599
2007-08-20,97.7505919495
2007-08-21,97.5532754538
2007-08-22,97.7111286504
2007-08-23,97.8689818469
2007-08-24,97.7111286504
2007-08-27,97.2770323599
2007-08-28,97.1191791634
2007-08-29,96.5666929755
2007-08-30,96.6061562747
2007-08-31,96.2115232833
2007-09-03,96.5666929755
2007-09-04,95.8958168903
2007-09-05,95.8958168903
2007-09-06,96.0931333860
2007-09-07,96.8034727703
2007-09-10,95.8563535912
2007-09-11,96.3693764799
2007-09-12,96.8429360695
2007-09-13,96.8429360695
2007-09-14,96.4483030781
2007-09-17,96.6456195738
2007-09-18,97.0402525651
2007-09-19,96.1720599842
2007-09-20,96.3693764799
2007-09-21,96.3693764799
2007-09-24,96.6061562747
2007-09-25,96.6061562747
2007-09-26,96.6061562747
2007-09-27,94.9486977111
2007-09-28,97.5532754538
2007-10-08,97.5532754538
2007-10-09,97.5532754538
2007-10-10,97.3164956590
2007-10-11,97.3164956590
2007-10-12,97.3164956590
2007-10-15,97.6328434710
2007-10-16,97.7910173770
2007-10-17,97.9096478065
2007-10-18,96.4860826526
2007-10-19,97.6723869475
2007-10-22,97.7119304240
2007-10-23,98.8586912424
2007-10-24,98.8586912424
2007-10-25,100.0845390138
2007-10-26,100.2031694433
2007-10-29,100.6776911613
2007-10-30,100.4404303023
2007-10-31,100.4404303023
2007-11-01,98.8586912424
2007-11-02,98.8586912424
2007-11-05,104.7902127170
2007-11-06,103.8411692810
2007-11-07,106.4905822063
2007-11-08,106.7673865418
2007-11-09,102.6868363076
2007-11-12,102.6868363076
2007-11-13,102.6868363076
2007-11-14,102.6868363076
2007-11-15,102.6868363076
2007-11-16,102.6868363076
2007-11-19,102.6868363076
2007-11-20,102.6868363076
2007-11-21,102.6868363076
2007-11-22,102.6868363076
2007-11-23,102.6868363076
2007-11-26,102.6868363076
2007-11-27,102.6868363076
2007-11-28,102.6868363076
2007-11-29,102.6868363076
2007-11-30,102.6868363076
2007-12-03,102.6868363076
2007-12-04,102.6868363076
2007-12-05,102.6868363076
2007-12-06,102.6868363076
2007-12-07,102.6868363076
2007-12-10,101.2945999780
2007-12-11,100.4291557731
2007-12-12,100.6172958177
2007-12-13,100.6172958177
2007-12-14,100.0905036930
2007-12-17,99.3379435148
2007-12-18,99.7142236039
2007-12-19,99.2626874970
2007-12-20,99.7518516128
2007-12-21,100.1281317019
2007-12-24,100.6172958177
2007-12-25,100.0152476751
2007-12-26,99.7518516128
2007-12-27,100.4667837820
2007-12-28,100.5044117909
2008-01-02,98.8487793990
2008-01-03,100.4667837820
2008-01-04,100.6925518355
2008-01-07,101.1817159513
2008-01-08,101.2569719691
2008-01-09,101.1440879424
2008-01-10,101.1440879424
2008-01-11,101.1440879424
2008-01-14,105.1729685319
2008-01-15,106.6694098937
2008-01-16,102.4103075562
2008-01-17,105.1345982405
2008-01-18,105.1345982405
2008-01-21,105.1345982405
2008-01-22,105.1345982405
2008-01-23,105.1345982405
2008-01-24,105.1345982405
2008-01-25,105.1345982405
2008-01-28,105.1345982405
2008-01-29,105.1345982405
2008-01-30,105.1345982405
2008-01-31,105.1345982405
2008-02-01,105.1345982405
