data,value
2024-11-18,100.0000000000
2024-11-19,100.8507853403
2024-11-20,100.5890052356
2024-11-21,105.1701570681
2024-11-22,106.8717277487
2024-11-25,104.6465968586
2024-11-26,104.6465968586
2024-11-27,104.2539267016
2024-11-28,105.3664921466
2024-11-29,104.9083769634
2024-12-02,104.9083769634
2024-12-03,104.6465968586
2024-12-04,105.1701570681
2024-12-05,104.3193717277
2024-12-06,103.7303664921
2024-12-09,104.2539267016
2024-12-10,105.2356020942
2024-12-11,105.1047120419
2024-12-12,105.3010471204
2024-12-13,104.7120418848
2024-12-16,105.1701570681
2024-12-17,106.0209424084
2024-12-18,105.9554973822
2024-12-19,106.0863874346
2024-12-20,107.0680628272
2024-12-23,108.4424083770
2024-12-24,108.3115183246
2024-12-25,108.1151832461
2024-12-26,107.1989528796
2024-12-27,107.7879581152
2024-12-30,107.5916230366
2024-12-31,108.2460732984
2025-01-02,108.7696335079
2025-01-03,108.2460732984
2025-01-06,109.6204188482
2025-01-07,110.4057591623
2025-01-08,111.3874345550
2025-01-09,110.9293193717
2025-01-10,112.0418848168
2025-01-13,114.2015706806
2025-01-14,112.8926701571
2025-01-15,111.9764397906
2025-01-16,112.9581151832
2025-01-17,113.0235602094
2025-01-20,113.4162303665
2025-01-21,112.5000000000
2025-01-22,111.8455497382
2025-01-23,112.3691099476
2025-01-24,113.3507853403
2025-01-27,114.2670157068
2025-02-05,113.8089005236
2025-02-06,114.9214659686
2025-02-07,116.2303664921
2025-02-10,116.8848167539
2025-02-11,116.5575916230
2025-02-12,117.2120418848
2025-02-13,115.4450261780
2025-02-14,115.3141361257
2025-02-17,115.4450261780
2025-02-18,115.7068062827
2025-02-19,116.0994764398
2025-02-20,116.8193717277
2025-02-21,117.0811518325
2025-02-24,115.3141361257
2025-02-25,113.1544502618
2025-02-26,113.4162303665
2025-02-27,112.5000000000
2025-02-28,113.0235602094
2025-03-03,111.7146596859
2025-03-04,111.7146596859
2025-03-05,112.4345549738
2025-03-06,112.3691099476
2025-03-07,112.4345549738
2025-03-10,112.6308900524
2025-03-11,112.1727748691
2025-03-12,110.2094240838
2025-03-13,109.2277486911
2025-03-14,109.9476439791
2025-03-17,109.1623036649
2025-03-18,109.2277486911
2025-03-19,108.7696335079
2025-03-20,109.8167539267
2025-03-21,110.5366492147
2025-03-24,110.0130890052
2025-03-25,110.1439790576
2025-03-26,108.9659685864
2025-03-27,109.0968586387
2025-03-28,108.6387434555
2025-03-31,107.4607329843
2025-04-01,108.4424083770
2025-04-02,108.5732984293
2025-04-03,108.3115183246
2025-04-07,107.4607329843
2025-04-08,107.5916230366
2025-04-09,106.6099476440
2025-04-10,107.7879581152
2025-04-11,108.9005235602
2025-04-14,109.2277486911
2025-04-15,108.6387434555
2025-04-16,107.9842931937
2025-04-17,108.2460732984
2025-04-18,107.7879581152
2025-04-21,106.6753926702
2025-04-22,104.6465968586
2025-04-23,104.3848167539
2025-04-24,103.2722513089
2025-04-25,104.1884816754
2025-04-28,103.7303664921
2025-04-29,103.4031413613
2025-04-30,102.8795811518
2025-05-06,103.2722513089
2025-05-07,104.1230366492
2025-05-08,102.6178010471
2025-05-09,102.7486910995
2025-05-12,104.5157068063
2025-05-13,103.5994764398
2025-05-14,103.7958115183
2025-05-15,103.6649214660
2025-05-16,102.6832460733
2025-05-19,101.9633507853
2025-05-20,102.0942408377
2025-05-21,101.8979057592
2025-05-22,101.7015706806
2025-05-23,101.3743455497
2025-05-26,100.3272251309
2025-05-27,99.0183246073
2025-05-28,98.7565445026
2025-05-29,100.0000000000
2025-05-30,99.8036649215
2025-06-03,100.2617801047
2025-06-04,99.2801047120
2025-06-05,98.2329842932
2025-06-06,100.0000000000
2025-06-09,100.9816753927
2025-06-10,101.7015706806
2025-06-11,100.3272251309
2025-06-12,99.5418848168
2025-06-13,100.5235602094
2025-06-16,102.2251308901
2025-06-17,104.1884816754
2025-06-18,104.4502617801
2025-06-19,104.1230366492
2025-06-20,105.2356020942
2025-06-23,107.1335078534
2025-06-24,106.0209424084
2025-06-25,105.5628272251
2025-06-26,106.8062827225
2025-06-27,107.0680628272
2025-06-30,107.3298429319
2025-07-01,106.7408376963
2025-07-02,107.1335078534
2025-07-03,107.5916230366
2025-07-04,108.4424083770
2025-07-07,107.7225130890
2025-07-08,107.2643979058
2025-07-09,107.2643979058
2025-07-10,106.4136125654
2025-07-11,105.1701570681
2025-07-14,104.9083769634
2025-07-15,104.9738219895
2025-07-16,105.0392670157
2025-07-17,104.8429319372
2025-07-18,105.6282722513
2025-07-21,107.5261780105
2025-07-22,107.7225130890
2025-07-23,106.2486179069
2025-07-24,106.1204531085
2025-07-25,106.0563707093
2025-07-28,106.2486179069
2025-07-29,106.3767827054
2025-07-30,106.2486179069
2025-07-31,105.6077939147
2025-08-01,104.9669699225
2025-08-04,106.8894418991
2025-08-05,106.5690299030
2025-08-06,106.5049475038
2025-08-07,106.7612771007
2025-08-08,106.1845355077
2025-08-11,107.0176066976
2025-08-12,105.8641235116
2025-08-13,104.5183931280
2025-08-14,103.8134867366
