data,value
2021-01-08,100.0000000000
2021-01-11,92.8243195475
2021-01-12,91.1806291976
2021-01-13,91.8522446094
2021-01-14,90.0494874514
2021-01-15,87.7518557794
2021-01-18,89.5015906681
2021-01-19,88.6002120891
2021-01-20,87.9109225875
2021-01-21,88.4057971014
2021-01-22,87.5574407918
2021-01-25,88.2644043832
2021-01-26,89.7490279251
2021-01-27,89.7313538353
2021-01-28,89.4662424885
2021-01-29,90.0318133616
2021-02-01,90.6327324143
2021-02-02,90.9155178508
2021-02-03,89.6253092966
2021-02-04,89.7136797455
2021-02-05,91.3573700954
2021-02-08,95.0159066808
2021-02-09,94.7507953340
2021-02-10,94.2559208201
2021-02-18,94.8391657830
2021-02-19,98.6567691764
2021-02-22,101.6436903499
2021-02-23,101.2195121951
2021-02-24,102.4566984800
2021-02-25,101.9088016967
2021-02-26,102.0678685048
2021-03-01,102.8632025451
2021-03-02,102.0148462354
2021-03-03,101.6790385295
2021-03-04,102.1915871333
2021-03-05,99.9823259102
2021-03-08,101.2018381053
2021-03-09,99.8055850124
2021-03-10,97.9144574054
2021-03-11,99.6818663839
2021-03-12,101.4492753623
2021-03-15,101.0250972075
2021-03-16,100.4772004242
2021-03-17,100.9190526688
2021-03-18,100.7599858607
2021-03-19,100.4772004242
2021-03-22,99.6995404737
2021-03-23,99.4521032167
2021-03-24,99.0455991516
2021-03-25,97.9321314952
2021-03-26,96.6772711205
2021-03-29,94.6094026158
2021-03-30,95.1572993991
2021-03-31,95.0689289502
2021-04-01,97.3842347119
2021-04-02,97.8437610463
2021-04-06,96.5535524920
2021-04-07,94.8745139625
2021-04-08,95.2810180276
2021-04-09,94.3266171792
2021-04-12,95.7935666313
2021-04-13,96.7302933899
2021-04-14,97.2251679039
2021-04-15,96.6065747614
2021-04-16,95.1749734889
2021-04-19,95.6698480028
2021-04-20,96.2530929657
2021-04-21,95.6344998233
2021-04-22,96.1647225168
2021-04-23,97.8437610463
2021-04-26,96.9954047367
2021-04-27,95.7228702722
2021-04-28,96.0410038883
2021-04-29,96.1470484270
2021-04-30,96.6242488512
2021-05-06,94.6447507953
2021-05-07,94.7507953340
2021-05-10,91.0215623895
2021-05-11,88.2290562036
2021-05-12,89.3248497702
2021-05-13,88.1937080240
2021-05-14,87.6281371509
2021-05-17,88.0169671262
2021-05-18,87.4160480735
2021-05-19,84.7472605161
2021-05-20,82.9621774479
2021-05-21,84.4114528102
2021-05-24,84.2877341817
2021-05-25,84.7295864263
2021-05-26,82.7500883704
2021-05-27,79.9929303641
2021-05-28,80.1343230824
2021-05-31,78.9324849770
2021-06-01,78.6320254507
2021-06-02,76.9529869212
2021-06-03,73.4535171439
2021-06-04,71.0144927536
2021-06-07,70.0424178155
2021-06-08,70.9791445741
2021-06-09,71.3856486391
2021-06-10,71.1382113821
2021-06-11,70.5549664192
2021-06-15,67.2852598091
2021-06-16,67.2852598091
2021-06-17,66.3662071403
2021-06-18,63.4676564157
2021-06-21,60.4630611524
2021-06-22,60.1449275362
2021-06-23,62.3718628491
2021-06-24,63.5560268646
2021-06-25,65.7122658183
2021-06-28,67.2145634500
2021-06-29,67.3736302580
2021-06-30,68.2396606575
2021-07-01,68.0982679392
2021-07-02,65.7476139979
2021-07-05,66.6489925769
2021-07-06,66.7727112054
2021-07-07,66.4545775893
2021-07-08,66.3131848710
2021-07-09,67.1438670908
2021-07-12,66.5959703075
2021-07-13,65.3411099328
2021-07-14,64.0862495581
2021-07-15,64.1746200071
2021-07-16,64.6694945210
2021-07-19,66.0127253446
2021-07-20,66.8964298339
2021-07-21,66.6136443973
2021-07-22,65.5531990103
2021-07-23,64.5104277130
2021-07-26,65.0759985861
2021-07-27,65.0936726759
2021-07-28,65.1466949452
2021-07-29,65.8183103570
2021-07-30,66.4192294097
2021-08-02,64.4927536232
2021-08-03,63.5383527748
2021-08-04,62.2481442206
2021-08-05,61.3467656416
2021-08-06,61.9300106045
2021-08-09,62.1420996819
2021-08-10,60.8342170378
2021-08-11,60.0565570873
2021-08-12,60.2863202545
2021-08-13,59.6147048427
2021-08-16,58.2891481089
2021-08-17,56.8575468363
2021-08-18,56.8752209261
2021-08-19,55.4966419229
2021-08-20,56.0091905267
2021-08-23,55.0901378579
2021-08-24,54.0650406504
2021-08-25,52.4036762107
2021-08-26,52.0855425946
2021-08-27,51.0250972075
2021-08-30,49.7348886532
2021-08-31,49.6818663839
2021-09-01,47.5433015200
2021-09-02,46.0056557087
2021-09-03,46.5182043125
2021-09-06,48.1442205726
2021-09-07,48.8158359844
2021-09-08,49.2400141393
2021-09-09,48.9749027925
2021-09-10,46.8893601979
2021-09-13,46.8893601979
2021-09-14,46.8893601979
2021-09-15,46.8893601979
2021-09-16,46.8893601979
2021-09-17,46.8893601979
2021-09-22,45.1117364844
2021-09-23,44.2592026627
2021-09-24,43.3885298234
2021-09-27,43.9871174004
2021-09-28,43.7513101731
2021-09-29,42.1913546694
2021-09-30,41.8648523547
2021-10-08,41.9918254771
2021-10-11,44.1503685578
2021-10-12,46.2544945860
2021-10-13,47.5423648274
2021-10-14,46.6354139532
2021-10-15,46.6354139532
2021-10-18,49.9911321878
2021-10-19,51.3334194817
2021-10-20,51.8413119713
2021-10-21,50.7529709222
2021-10-22,51.2245853768
2021-10-25,55.1788911885
2021-10-26,53.9817160345
2021-10-27,53.2198773001
2021-10-28,53.2017382826
2021-10-29,52.8389579329
2021-11-01,53.1654602477
2021-11-02,53.4012674750
2021-11-03,52.6212897231
2021-11-04,53.9454379995
2021-11-05,54.4170524541
2021-11-08,57.5551024790
2021-11-09,57.5551024790
2021-11-10,59.0969189652
2021-11-11,57.8453267587
2021-11-12,57.6820756013
2021-11-15,60.2940941191
2021-11-16,60.2940941191
2021-11-17,60.9470987486
2021-11-18,57.2286001642
2021-11-19,58.1899680909
2021-11-22,58.2077686318
2021-11-23,58.1543670092
2021-11-24,58.5993805308
2021-11-25,59.5606097376
2021-11-26,59.6318119011
2021-11-29,57.4601459154
2021-11-30,57.4779464563
2021-12-01,57.6737524058
2021-12-02,56.6769221173
2021-12-03,55.5020864202
2021-12-06,54.5052561317
2021-12-07,53.8288355788
2021-12-08,52.3691912277
2021-12-09,52.6005982590
2021-12-10,52.5649971773
2021-12-13,52.3691912277
2021-12-14,52.2623879825
2021-12-15,51.9953798696
2021-12-16,51.8885766244
2021-12-17,50.7137409272
2021-12-20,49.8059133430
2021-12-21,50.0195198334
2021-12-22,49.6279079344
2021-12-23,50.4823338959
2021-12-24,51.0341506628
2021-12-27,50.9807490402
2021-12-28,50.1619241604
2021-12-29,49.8059133430
2021-12-30,49.8237138839
2021-12-31,49.3965009031
2022-01-04,49.0760911675
2022-01-05,49.5567057709
2022-01-06,49.8237138839
2022-01-07,49.7703122613
2022-01-10,49.7347111796
2022-01-11,49.7703122613
2022-01-12,49.3608998214
2022-01-13,48.0614603382
2022-01-14,49.3074981988
2022-01-17,48.0614603382
2022-01-18,48.0614603382
2022-01-19,48.0614603382
2022-01-20,47.9402678950
2022-01-21,48.0614603382
2022-01-24,47.0226679677
2022-01-25,46.9014755245
2022-01-26,46.6590906381
2022-01-27,46.3128265146
2022-01-28,46.2608868961
2022-02-07,47.1438604110
2022-02-08,47.3516188850
2022-02-09,46.5205849887
2022-02-10,45.4991058245
2022-02-11,45.1182152886
2022-02-14,44.0794229182
2022-02-15,43.3349550528
2022-02-16,43.8024116194
2022-02-17,44.2871813923
2022-02-18,43.6465927639
2022-02-21,43.4561474960
2022-02-22,42.8848116922
2022-02-23,43.1791361972
2022-02-24,42.8328720737
2022-02-25,42.6770532182
2022-02-28,41.6382608477
2022-03-01,38.8335214476
2022-03-02,40.4090232094
2022-03-03,40.7206609205
2022-03-04,40.7899137452
2022-03-07,40.7206609205
2022-03-08,40.5648420650
2022-03-09,40.5129024464
2022-03-10,40.5129024464
2022-03-11,41.1188646625
2022-03-14,40.5994684773
2022-03-15,40.5302156526
2022-03-16,40.5129024464
2022-03-17,40.7206609205
2022-03-18,39.8550006118
2022-03-21,40.1666383230
2022-03-22,40.5129024464
2022-03-23,40.0771124854
2022-03-24,40.0771124854
2022-03-25,39.6257585972
2022-03-28,39.3144800537
2022-03-29,40.1704960485
2022-03-30,40.2171878300
2022-03-31,40.5440303008
2022-04-01,40.4817745921
2022-04-06,40.0304207039
2022-04-07,39.6880143060
2022-04-08,39.5790668157
2022-04-11,38.9720736557
2022-04-12,39.3767357624
2022-04-13,39.5790668157
2022-04-14,39.5635028885
2022-04-15,39.5323750342
2022-04-18,40.8241809900
2022-04-19,42.1938065818
2022-04-20,42.5206490525
2022-04-21,41.9292198197
2022-04-22,42.0537312371
2022-04-25,43.7657632268
2022-04-26,43.6101239550
2022-04-27,43.7813271540
2022-04-28,43.7813271540
2022-04-29,43.2832814843
2022-05-05,43.9836582073
2022-05-06,44.1392974791
2022-05-09,44.5906513673
2022-05-10,45.0108774011
2022-05-11,45.8668933960
2022-05-12,45.9291491047
2022-05-13,46.3338112113
2022-05-16,46.3338112113
2022-05-17,45.8824573231
2022-05-18,46.3649390657
2022-05-19,46.6606536821
2022-05-20,47.0341879344
2022-05-23,46.9926993828
2022-05-24,46.4810072471
2022-05-25,46.6054729017
2022-05-26,46.3565415925
2022-05-27,46.3288825581
2022-05-30,45.7203838021
2022-05-31,45.7757018708
2022-06-01,45.9969741457
2022-06-02,45.6788952506
2022-06-06,45.9416560770
2022-06-07,45.6512362162
2022-06-08,45.2501802179
2022-06-09,45.1257145633
2022-06-10,45.1257145633
2022-06-13,46.6054729017
2022-06-14,47.3660963467
2022-06-15,47.7948113793
2022-06-16,47.3107782780
2022-06-17,47.0203584172
2022-06-20,47.8916179996
2022-06-21,48.0575722058
2022-06-22,48.7767070992
2022-06-23,49.3437173037
2022-06-24,50.0490226799
2022-06-27,51.8745189479
2022-06-28,53.1883230801
2022-06-29,52.7734375647
2022-06-30,52.7181194960
2022-07-01,52.0957912228
2022-07-04,55.1797735543
2022-07-05,60.5594557379
2022-07-06,57.0052698222
2022-07-07,57.5307914751
2022-07-08,58.9137431933
2022-07-11,56.0648626539
2022-07-12,59.7435142242
2022-07-13,57.1020764425
2022-07-14,57.1020764425
2022-07-15,57.1020764425
2022-07-18,57.1020764425
2022-07-19,57.1020764425
2022-07-20,57.1020764425
2022-07-21,56.0378952585
2022-07-22,55.9436007232
2022-07-25,54.6908304686
2022-07-26,54.6773598207
2022-07-27,55.0141260182
2022-07-28,56.5497798787
2022-07-29,56.7114276534
2022-08-01,56.3611908081
2022-08-02,56.0109539627
2022-08-03,55.4990693426
2022-08-04,55.0814792577
2022-08-05,55.2970096241
2022-08-08,54.0846513132
2022-08-09,52.9127049460
2022-08-10,53.2898830872
2022-08-11,52.9396462418
2022-08-12,52.8722930023
2022-08-15,53.7074731720
2022-08-16,54.6638891728
2022-08-17,55.1892444409
2022-08-18,55.1623031451
2022-08-19,55.7415410047
2022-08-22,57.0347232030
2022-08-23,57.9507272601
2022-08-24,57.6678436543
2022-08-25,57.8968446685
2022-08-26,58.5434357677
2022-08-29,59.3786159374
2022-08-30,59.7423234307
2022-08-31,60.2272667550
2022-09-01,60.3215612903
2022-09-02,60.4966797130
2022-09-05,60.2946199945
2022-09-06,61.4530957138
2022-09-07,61.5473902491
2022-09-08,61.5473902491
2022-09-09,60.8873285020
2022-09-13,61.1567414600
2022-09-14,62.1535694045
2022-09-15,62.1266281087
2022-09-16,62.1805107003
2022-09-19,62.2478639398
2022-09-20,62.6789246726
2022-09-21,63.3120451238
2022-09-22,63.1593521845
2022-09-23,63.1732333608
2022-09-26,62.6179863086
2022-09-27,62.0766204327
2022-09-28,63.1177086555
2022-09-29,63.3259263001
2022-09-30,63.3675698290
2022-10-10,68.2953874170
2022-10-11,70.1277026892
2022-10-12,72.1682356059
