data,value
2006-01-04,100.0000000000
2006-01-05,99.7510373444
2006-01-06,100.2489626556
2006-01-09,98.7551867220
2006-01-10,102.2821576763
2006-01-11,101.4522821577
2006-01-12,101.2822741440
2006-01-13,100.8147521064
2006-01-16,102.0048082021
2006-01-17,101.9198041953
2006-01-18,100.6022420893
2006-01-19,100.4747360791
2006-01-20,100.3897320722
2006-01-23,101.4947841611
2006-01-24,103.1098602910
2006-01-25,101.6222901713
2006-01-26,101.9623061987
2006-01-27,102.3448242294
2006-02-06,103.8748963525
2006-02-07,103.1098602910
2006-02-08,101.3672781508
2006-02-09,101.6647921748
2006-02-10,101.6647921748
2006-02-13,101.6647921748
2006-02-14,102.1323142124
2006-02-15,102.1323142124
2006-02-16,99.1571739731
2006-02-17,99.2846799834
2006-02-20,100.9422581167
2006-02-21,99.8797080312
2006-02-22,97.7546078604
2006-02-23,93.8444235459
2006-02-24,96.1395317305
2006-02-27,97.7546078604
2006-02-28,97.7546078604
2006-03-01,97.7546078604
2006-03-02,97.1170778091
2006-03-03,97.1170778091
2006-03-06,97.1170778091
2006-03-07,97.4995958398
2006-03-08,95.6295076895
2006-03-09,95.7987634553
2006-03-10,95.8410773968
2006-03-13,95.8410773968
2006-03-14,95.3333100993
2006-03-15,95.7564495138
2006-03-16,94.9524846262
2006-03-17,94.0215779142
2006-03-20,94.5716591531
2006-03-21,94.3600894458
2006-03-22,95.0371125091
2006-03-23,94.6562870360
2006-03-24,95.0371125091
2006-03-27,95.8833913382
2006-03-28,95.7564495138
2006-03-29,95.5448798066
2006-03-30,95.4602519237
2006-03-31,96.1372749869
2006-04-03,94.6139730945
2006-04-04,93.5138106167
2006-04-05,92.8367875534
2006-04-06,92.7521596705
2006-04-07,91.2288577781
2006-04-10,89.9594395344
2006-04-11,89.3247304126
2006-04-12,89.7055558857
2006-04-13,88.7746491737
2006-04-14,88.6477073493
2006-04-17,88.8592770566
2006-04-18,88.6477073493
2006-04-19,88.2668818762
2006-04-20,87.9706842860
2006-04-21,87.7591145787
2006-04-24,87.7168006373
2006-04-25,86.9551496911
2006-04-26,86.9128357496
2006-04-27,87.2513472813
2006-04-28,87.3359751642
2006-05-08,88.9015909980
2006-05-09,87.9706842860
2006-05-10,89.6632419442
2006-05-11,89.9171255930
2006-05-12,90.5941486563
2006-05-15,91.0851738522
2006-05-16,89.1619918347
2006-05-17,89.2029106010
2006-05-18,89.2847481337
2006-05-19,88.3026977417
2006-05-22,87.8525913121
2006-05-23,88.2208602091
2006-05-24,88.5482103397
2006-05-25,87.8116725458
2006-05-26,88.4254540407
2006-05-29,88.4254540407
2006-05-30,88.0981039101
2006-05-31,87.8525913121
2006-06-01,87.4434036488
2006-06-02,87.7298350131
2006-06-05,89.4893419653
2006-06-06,89.2029106010
2006-06-07,88.5482103397
2006-06-08,88.7528041714
2006-06-09,87.8525913121
2006-06-12,88.3845352744
2006-06-13,88.1799414428
2006-06-14,88.3845352744
2006-06-15,88.3845352744
2006-06-16,88.5891291061
2006-06-19,88.5891291061
2006-06-20,87.7707537794
2006-06-21,87.7707537794
2006-06-22,87.4434036488
2006-06-23,86.8705409202
2006-06-26,86.2976781915
2006-06-27,85.9294092946
2006-06-28,85.9294092946
2006-06-29,89.0801543020
2006-06-30,89.0801543020
2006-07-03,87.1978910508
2006-07-04,87.7707537794
2006-07-05,87.5661599478
2006-07-06,87.5661599478
2006-07-07,91.1670113849
2006-07-10,90.9167817105
2006-07-11,91.5006509508
2006-07-12,91.7091756795
2006-07-13,91.0836014934
2006-07-14,90.8750767647
2006-07-17,90.8750767647
2006-07-18,90.8750767647
2006-07-19,90.8750767647
2006-07-20,89.5822234468
2006-07-21,88.3727800204
2006-07-24,87.4135662684
2006-07-25,87.9974355088
2006-07-26,88.0391404545
2006-07-27,88.4144849661
2006-07-28,88.4144849661
2006-07-31,88.2476651832
2006-08-01,88.0391404545
2006-08-02,88.8732393693
2006-08-03,85.4951387644
2006-08-04,88.6230096948
2006-08-07,88.8315344235
2006-08-08,88.8315344235
2006-08-09,88.9164188329
2006-08-10,88.7890922188
2006-08-11,88.7042078094
2006-08-14,87.6007104874
2006-08-15,87.9826903297
2006-08-16,88.7890922188
2006-08-17,88.7890922188
2006-08-18,89.5106096986
2006-08-21,89.0013032423
2006-08-22,89.2559564705
2006-08-23,89.4681674939
2006-08-24,89.5530519033
2006-08-25,89.5530519033
2006-08-28,89.2135142658
2006-08-29,88.9588610376
2006-08-30,89.8501473362
2006-08-31,89.4681674939
2006-09-01,89.9350317456
2006-09-04,89.8501473362
2006-09-05,90.0623583596
2006-09-06,90.3170115878
2006-09-07,89.8077051315
2006-09-08,90.5716648160
2006-09-11,89.9047772701
2006-09-12,89.7797358553
2006-09-13,89.6130139689
2006-09-14,90.1131796282
2006-09-15,89.9881382134
2006-09-18,90.5716648160
2006-09-19,90.3215819863
2006-09-20,89.7380553837
2006-09-21,89.7797358553
2006-09-22,90.0714991566
2006-09-25,89.3212506676
2006-09-26,89.2378897243
2006-09-27,88.8210850082
2006-09-28,88.8210850082
2006-09-29,89.1962092527
2006-10-09,89.3629311392
2006-10-10,90.1965405714
2006-10-11,89.6130139689
2006-10-12,89.7380553837
2006-10-13,90.8217476456
2006-10-16,91.9471203792
2006-10-17,92.0304813224
2006-10-18,91.9471203792
2006-10-19,92.0304813224
2006-10-20,92.1138422657
2006-10-23,91.4469547198
2006-10-24,91.6970375495
2006-10-25,91.5303156631
2006-10-26,91.1551914185
2006-10-27,92.1138422657
2006-10-30,92.4056055670
2006-10-31,92.2805641521
2006-11-01,91.7387180211
2006-11-02,92.4472860386
2006-11-03,92.7807298115
2006-11-06,92.7807298115
2006-11-07,92.7807298115
2006-11-08,93.7810611302
2006-11-09,97.2651872403
2006-11-10,94.9424365002
2006-11-13,94.4032265070
2006-11-14,93.9469718973
2006-11-15,93.9469718973
2006-11-16,93.9469718973
2006-11-17,93.9469718973
2006-11-20,95.9793787949
2006-11-21,97.0163210896
2006-11-22,97.0163210896
2006-11-23,97.4310980074
2006-11-24,97.4310980074
2006-11-27,99.5464602886
2006-11-28,99.5464602886
2006-11-29,99.5464602886
2006-11-30,95.8134680278
2006-12-01,90.0895465612
2006-12-04,90.0895465612
2006-12-05,90.0895465612
2006-12-06,90.0895465612
2006-12-07,90.0895465612
2006-12-08,90.0895465612
2006-12-11,89.9241687795
2006-12-12,90.1308910066
2006-12-13,89.2213132074
2006-12-14,89.3866909891
2006-12-15,89.0559354258
2006-12-18,87.9809798450
2006-12-19,87.2367798275
2006-12-20,87.4435020545
2006-12-21,87.7742576179
2006-12-22,88.0636687358
2006-12-25,89.0559354258
2006-12-26,89.8828243341
2006-12-27,89.8828243341
2006-12-28,90.2135798974
2006-12-29,89.8414798887
2007-01-04,89.7174465524
2007-01-05,89.2626576528
2007-01-08,89.7174465524
2007-01-09,89.7174465524
2007-01-10,89.3040020983
2007-01-11,89.3040020983
2007-01-12,88.5515515263
2007-01-15,91.9573804311
2007-01-16,92.3930097096
2007-01-17,93.3434735901
2007-01-18,93.5810895602
2007-01-19,92.5910230181
2007-01-22,91.7989697844
2007-01-23,92.8286389882
2007-01-24,92.5514203564
2007-01-25,92.9474469732
2007-01-26,92.9474469732
2007-01-29,92.5910230181
2007-01-30,92.1553937395
2007-01-31,92.9078443115
2007-02-01,92.9474469732
2007-02-02,93.5414868985
2007-02-05,94.3335401322
2007-02-06,95.0463880425
2007-02-07,94.8483747341
2007-02-08,95.4028119977
2007-02-09,95.4424146593
2007-02-12,95.0463880425
2007-02-13,94.2939374705
2007-02-14,95.4028119977
2007-02-15,95.9176465995
2007-02-16,97.6601637137
2007-02-26,100.1155287381
2007-02-27,100.9075819718
2007-02-28,99.2046675194
2007-03-01,99.5610914745
2007-03-02,99.5610914745
2007-03-05,99.5610914745
2007-03-06,99.5610914745
2007-03-07,100.5511580166
2007-03-08,100.5511580166
2007-03-09,100.1583800556
2007-03-12,99.7263242985
2007-03-13,99.7656020946
2007-03-14,98.6265460077
2007-03-15,98.5087126194
2007-03-16,97.2911009403
2007-03-19,97.6446011052
2007-03-20,97.6446011052
2007-03-21,98.2337680467
2007-03-22,98.0766568623
2007-03-23,98.1552124545
2007-03-26,97.3696565325
2007-03-27,96.9768785715
2007-03-28,97.3696565325
2007-03-29,97.5267677169
2007-03-30,97.9195456779
2007-04-02,97.3696565325
2007-04-03,98.4301570272
2007-04-04,98.0766568623
2007-04-05,97.8802678818
2007-04-06,97.3303787364
2007-04-09,97.6838789013
2007-04-10,96.3091560378
2007-04-11,95.9949336690
2007-04-12,95.3664889314
2007-04-13,93.2847657381
2007-04-16,92.0278762629
2007-04-17,91.6350983019
2007-04-18,89.8675974774
2007-04-19,89.5533751086
2007-04-20,89.8675974774
2007-04-23,90.5353200111
2007-04-24,90.0639864579
2007-04-25,90.7317089916
2007-04-26,92.1457096512
2007-04-27,92.0278762629
2007-04-30,92.4992098161
2007-05-08,92.6955987966
2007-05-09,92.6563210005
2007-05-10,92.8527099810
2007-05-11,92.3420986317
2007-05-14,92.3420986317
2007-05-15,92.3420986317
2007-05-16,92.4889647925
2007-05-17,92.6358309534
2007-05-18,92.7459805740
2007-05-21,91.8280670687
2007-05-22,92.6358309534
2007-05-23,92.6358309534
2007-05-24,93.2600121370
2007-05-25,93.0029963555
2007-05-28,92.7459805740
2007-05-29,91.0570197243
2007-05-30,89.5516415756
2007-05-31,90.5429881613
2007-06-01,90.2492558396
2007-06-04,91.4976182068
2007-06-05,90.7632874026
2007-06-06,91.6812009079
2007-06-07,89.2211927137
2007-06-08,89.6985077364
2007-06-11,89.2579092539
2007-06-12,89.8453738973
2007-06-13,89.8453738973
2007-06-14,89.8453738973
2007-06-15,89.8453738973
2007-06-18,89.8453738973
2007-06-19,89.9188069777
2007-06-20,89.9188069777
2007-06-21,89.9188069777
2007-06-22,87.7892476455
2007-06-25,87.7892476455
2007-06-26,87.7892476455
2007-06-27,87.7892476455
2007-06-28,87.7892476455
2007-06-29,86.4307356576
2007-07-02,89.3313423343
2007-07-03,87.6790980248
2007-07-04,88.5235784497
2007-07-05,88.5235784497
2007-07-06,84.4847590264
2007-07-09,84.4847590264
