data,value
2007-10-29,100.0000000000
2007-10-30,102.2322488720
2007-10-31,102.0897649014
2007-11-01,102.8971740679
2007-11-02,102.3509855141
2007-11-05,102.6834481121
2007-11-06,102.8971740679
2007-11-07,104.4170030872
2007-11-08,105.5568748516
2007-11-09,105.5806221800
2007-11-12,104.9869389694
2007-11-13,105.0106862978
2007-11-14,105.2006649252
2007-11-15,105.4856328663
2007-11-16,104.7257183567
2007-11-19,102.9446687248
2007-11-20,102.2085015436
2007-11-21,103.6095939207
2007-11-22,104.3695084303
2007-11-23,104.0370458323
2007-11-26,104.7969603420
2007-11-27,104.3220137735
2007-11-28,104.0370458323
2007-11-29,103.3008786512
2007-11-30,102.9446687248
2007-12-03,102.2559962004
2007-12-04,102.1135122299
2007-12-05,102.3272381857
2007-12-06,102.0897649014
2007-12-07,102.2559962004
2007-12-10,102.2797435289
2007-12-11,102.5409641415
2007-12-12,101.8047969603
2007-12-13,102.5172168131
2007-12-14,102.4697221563
2007-12-17,102.5409641415
2007-12-18,102.1372595583
2007-12-19,102.1135122299
2007-12-20,102.1610068867
2007-12-21,102.1847542152
2007-12-24,103.3721206364
2007-12-25,103.3721206364
2007-12-26,105.0819282831
2007-12-27,106.3642840180
2007-12-28,106.3642840180
2008-01-02,106.3642840180
2008-01-03,106.3642840180
2008-01-04,106.3642840180
2008-01-07,109.0952267870
2008-01-08,109.0952267870
2008-01-09,109.0952267870
2008-01-10,109.0952267870
2008-01-11,109.0952267870
2008-01-14,109.0952267870
2008-01-15,109.0952267870
2008-01-16,109.0952267870
2008-01-17,109.0952267870
2008-01-18,109.0952267870
2008-01-21,109.0952267870
2008-01-22,109.0952267870
2008-01-23,109.0952267870
2008-01-24,109.0952267870
2008-01-25,109.0952267870
2008-01-28,109.0952267870
2008-01-29,109.0952267870
2008-01-30,109.0952267870
2008-01-31,109.0952267870
2008-02-01,109.0952267870
2008-02-04,109.0952267870
2008-02-05,109.0952267870
2008-02-13,109.0952267870
2008-02-14,109.0952267870
2008-02-15,109.0952267870
2008-02-18,109.0952267870
2008-02-19,109.0952267870
2008-02-20,109.0952267870
2008-02-21,113.4474299833
2008-02-22,113.4474299833
2008-02-25,113.4474299833
2008-02-26,117.9781851056
2008-02-27,117.9781851056
2008-02-28,117.9781851056
2008-02-29,117.9781851056
2008-03-03,117.9781851056
2008-03-04,117.9781851056
2008-03-05,117.9781851056
2008-03-06,117.9781851056
2008-03-07,117.9781851056
2008-03-10,117.9781851056
2008-03-11,117.9781851056
2008-03-12,117.9781851056
2008-03-13,117.9781851056
2008-03-14,117.9781851056
2008-03-17,117.9781851056
2008-03-18,117.9781851056
2008-03-19,117.9781851056
2008-03-20,117.9781851056
2008-03-21,117.9781851056
2008-03-24,117.9781851056
2008-03-25,117.9781851056
2008-03-26,117.9781851056
2008-03-27,117.9781851056
2008-03-28,117.9781851056
2008-03-31,117.9781851056
2008-04-01,117.9781851056
2008-04-02,117.9781851056
2008-04-03,117.9781851056
2008-04-07,117.9781851056
2008-04-08,117.9781851056
2008-04-09,117.9781851056
2008-04-10,120.2834272599
2008-04-11,119.6671744067
2008-04-14,120.5116690573
2008-04-15,123.0908013686
2008-04-16,121.4474604269
2008-04-17,121.8582956623
2008-04-18,121.6757022244
2008-04-21,120.9909768320
2008-04-22,120.2149547206
2008-04-23,121.1507460902
2008-04-24,120.5573174168
2008-04-25,120.5344932371
2008-04-28,119.6899985865
2008-04-29,119.4617567890
2008-04-30,119.7128227662
2008-05-05,116.8369761183
2008-05-06,116.6315585006
2008-05-07,116.3804925234
2008-05-08,114.2350196273
2008-05-09,114.2350196273
2008-05-12,114.2350196273
2008-05-13,114.2350196273
2008-05-14,114.2350196273
2008-05-15,114.2350196273
2008-05-16,110.8369938420
2008-05-19,110.8369938420
2008-05-20,110.8369938420
2008-05-21,110.8369938420
2008-05-22,110.8369938420
2008-05-23,110.8369938420
2008-05-26,110.8369938420
2008-05-27,110.8369938420
2008-05-28,110.8369938420
2008-05-29,110.8369938420
2008-05-30,110.8369938420
2008-06-02,110.8369938420
2008-06-03,110.8369938420
2008-06-04,110.8369938420
2008-06-05,110.8369938420
2008-06-06,110.8369938420
2008-06-10,110.8369938420
2008-06-11,110.8369938420
2008-06-12,110.8369938420
2008-06-13,110.8369938420
2008-06-16,110.8369938420
2008-06-17,110.8369938420
2008-06-18,110.8369938420
2008-06-19,110.8369938420
2008-06-20,110.8369938420
2008-06-23,110.8369938420
2008-06-24,110.8369938420
2008-06-25,110.8369938420
2008-06-26,110.8369938420
2008-06-27,110.8369938420
2008-06-30,110.8369938420
2008-07-01,110.8369938420
2008-07-02,110.8369938420
2008-07-03,110.8369938420
2008-07-04,110.8369938420
2008-07-07,110.8369938420
2008-07-08,110.8369938420
2008-07-09,110.8369938420
2008-07-10,110.8369938420
2008-07-11,110.8369938420
2008-07-14,110.8369938420
2008-07-15,110.8369938420
2008-07-16,110.8369938420
2008-07-17,110.8369938420
2008-07-18,110.8369938420
2008-07-21,110.8369938420
2008-07-22,110.8369938420
2008-07-23,110.8369938420
2008-07-24,110.8369938420
2008-07-25,110.8369938420
2008-07-28,110.8369938420
2008-07-29,110.8369938420
2008-07-30,110.8369938420
2008-07-31,110.8369938420
2008-08-01,110.8369938420
2008-08-04,110.8369938420
2008-08-05,110.8369938420
2008-08-06,110.8369938420
2008-08-07,110.8369938420
2008-08-08,110.8369938420
2008-08-11,105.4838215345
2008-08-12,105.7178399961
2008-08-13,108.1457815344
2008-08-14,112.4166184574
2008-08-15,108.6723230729
2008-08-18,109.3158738421
2008-08-19,109.0526030729
2008-08-20,111.8900769189
2008-08-21,115.9853999957
2008-08-22,117.9745569187
2008-08-25,118.7936215340
2008-08-26,114.0547476881
2008-08-27,115.2540923034
2008-08-28,111.3050307651
2008-08-29,108.5260615344
2008-09-01,108.5260615344
2008-09-02,108.5260615344
2008-09-03,108.4383046114
2008-09-04,108.4383046114
2008-09-05,108.4383046114
2008-09-08,105.0249923597
2008-09-09,105.0249923597
2008-09-10,102.4868883776
2008-09-11,102.0784578518
2008-09-12,102.0784578518
2008-09-16,102.0784578518
2008-09-17,102.0784578518
2008-09-18,102.0784578518
2008-09-19,102.0784578518
2008-09-22,97.0022498877
2008-09-23,92.1594307956
2008-09-24,92.1594307956
2008-09-25,92.1594307956
2008-09-26,93.2096807192
2008-10-06,93.2096807192
2008-10-07,93.2096807192
2008-10-08,93.2096807192
2008-10-09,93.2096807192
2008-10-10,93.2096807192
2008-10-13,93.1744407643
2008-10-14,94.3373592761
2008-10-15,90.6371640113
2008-10-16,86.1264497836
2008-10-17,88.2056071229
2008-10-20,90.4609642367
2008-10-21,91.6238827486
2008-10-22,91.6238827486
2008-10-23,91.6238827486
2008-10-24,91.6238827486
2008-10-27,91.6238827486
2008-10-28,91.6238827486
2008-10-29,91.6238827486
2008-10-30,91.6238827486
2008-10-31,91.6238827486
2008-11-03,91.6238827486
2008-11-04,91.6238827486
2008-11-05,91.6238827486
2008-11-06,91.6238827486
2008-11-07,91.6238827486
2008-11-10,91.0949704592
2008-11-11,93.5767896633
2008-11-12,93.5767896633
2008-11-13,93.5767896633
2008-11-14,89.3861769088
2008-11-17,89.3861769088
2008-11-18,89.3861769088
2008-11-19,89.3861769088
2008-11-20,89.3861769088
2008-11-21,89.3861769088
2008-11-24,90.6474292912
2008-11-25,90.6474292912
2008-11-26,93.3326762989
2008-11-27,96.0179233067
2008-11-28,96.0179233067
2008-12-01,96.0179233067
2008-12-02,96.0179233067
2008-12-03,96.0179233067
2008-12-04,96.0179233067
2008-12-05,96.0179233067
2008-12-08,98.6365939423
2008-12-09,98.3747268787
2008-12-10,98.9421055165
2008-12-11,100.4260188766
2008-12-12,100.4696633872
2008-12-15,101.2989090885
2008-12-16,99.4658396436
2008-12-17,99.7277067071
2008-12-18,98.2437933469
2008-12-19,98.9421055165
2008-12-22,103.1756230441
2008-12-23,102.0845102792
2008-12-24,103.3502010864
2008-12-25,103.6993571712
2008-12-26,105.3142040632
2008-12-29,107.6710076352
2008-12-30,108.3256752941
2008-12-31,108.9366984425
2009-01-05,109.1549209954
2009-01-06,109.1549209954
2009-01-07,114.5668403091
2009-01-08,114.5668403091
2009-01-09,112.3846147794
2009-01-12,117.5266634058
2009-01-13,112.5902967244
2009-01-14,112.5902967244
2009-01-15,108.1887031002
2009-01-16,109.0937036585
2009-01-19,109.0937036585
2009-01-20,107.5716572650
2009-01-21,107.5716572650
2009-01-22,107.5716572650
2009-01-23,107.7773392101
2009-02-02,107.7773392101
2009-02-03,107.7773392101
2009-02-04,107.7773392101
2009-02-05,107.7773392101
2009-02-06,107.7773392101
2009-02-09,112.2956968924
2009-02-10,114.6170549677
2009-02-11,114.6170549677
2009-02-12,114.6170549677
2009-02-13,114.6170549677
2009-02-16,114.6170549677
2009-02-17,114.6170549677
2009-02-18,114.6170549677
2009-02-19,114.6170549677
2009-02-20,114.6170549677
2009-02-23,114.6170549677
2009-02-24,114.6170549677
2009-02-25,114.6170549677
2009-02-26,114.6170549677
2009-02-27,114.6170549677
2009-03-02,114.6170549677
2009-03-03,114.6170549677
2009-03-04,114.6170549677
2009-03-05,114.6170549677
2009-03-06,114.6170549677
2009-03-09,114.6170549677
2009-03-10,114.6170549677
2009-03-11,114.6170549677
2009-03-12,114.6170549677
2009-03-13,114.6170549677
2009-03-16,114.6170549677
2009-03-17,114.6170549677
2009-03-18,114.6170549677
2009-03-19,114.6170549677
2009-03-20,114.6170549677
2009-03-23,114.6170549677
2009-03-24,114.6170549677
2009-03-25,114.6170549677
2009-03-26,114.6170549677
2009-03-27,114.6170549677
2009-03-30,114.6170549677
2009-03-31,114.6170549677
2009-04-01,114.6170549677
2009-04-02,114.6170549677
2009-04-03,114.6170549677
2009-04-07,114.6170549677
2009-04-08,114.6170549677
2009-04-09,114.6170549677
2009-04-10,117.1493828306
2009-04-13,119.2531629014
2009-04-14,120.1102584858
2009-04-15,123.6555174940
2009-04-16,125.7592975648
2009-04-17,124.4346952980
2009-04-20,127.2397353924
2009-04-21,124.1619830666
2009-04-22,126.9670231610
2009-04-23,126.1878453570
2009-04-24,126.4215986982
2009-04-27,123.9671886156
2009-04-28,125.2917908824
2009-04-29,125.4086675530
2009-04-30,125.4086675530
2009-05-04,132.6550211301
2009-05-05,133.1225278125
2009-05-06,134.6029656401
2009-05-07,140.2520047191
2009-05-08,139.2001146837
2009-05-11,140.1546297558
2009-05-12,139.0410288383
2009-05-13,142.0636599001
2009-05-14,140.2341726785
2009-05-15,140.4330299852
2009-05-18,135.2229685499
2009-05-19,141.9443455160
2009-05-20,139.9955439105
2009-05-21,142.0238884387
2009-05-22,137.8081135369
2009-05-25,138.4046854569
2009-05-26,138.4046854569
2009-05-27,138.4046854569
2009-06-01,128.7402203518
2009-06-02,136.4558838514
2009-06-03,136.4558838514
2009-06-04,136.4558838514
2009-06-05,136.4558838514
2009-06-08,135.3197309281
2009-06-09,132.4989374635
2009-06-10,129.9915654949
2009-06-11,129.2863671288
2009-06-12,129.7956770599
2009-06-15,129.7956770599
2009-06-16,127.3274827783
2009-06-17,127.3274827783
2009-06-18,127.3274827783
2009-06-19,127.3274827783
2009-06-22,127.3274827783
2009-06-23,127.3274827783
2009-06-24,127.3274827783
2009-06-25,121.7250735361
2009-06-26,123.3313587034
2009-06-29,123.3313587034
2009-06-30,123.3313587034
2009-07-01,123.3313587034
2009-07-02,123.3313587034
2009-07-03,123.3313587034
2009-07-06,123.3313587034
2009-07-07,123.3313587034
2009-07-08,123.3313587034
2009-07-09,120.7784611999
2009-07-10,122.8912039615
2009-07-13,120.6464147774
2009-07-14,120.6464147774
2009-07-15,123.6834824970
2009-07-16,123.6834824970
2009-07-17,124.1236372390
2009-07-20,124.1236372390
2009-07-21,124.1236372390
2009-07-22,124.1236372390
2009-07-23,125.0919776714
2009-07-24,123.6834824970
2009-07-27,123.6834824970
2009-07-28,123.6834824970
2009-07-29,129.1414012976
2009-07-30,124.0356062906
2009-07-31,124.0356062906
2009-08-03,124.0356062906
2009-08-04,124.0356062906
2009-08-05,124.0356062906
2009-08-06,124.0356062906
2009-08-07,124.0356062906
2009-08-10,125.3344084507
2009-08-11,124.9285327757
2009-08-12,129.7584533086
2009-08-13,130.4890295237
2009-08-14,128.7843516885
2009-08-17,123.4267927781
2009-08-18,123.4673803456
