data,value
2020-03-30,100.0000000000
2020-03-31,105.6326187474
2020-04-01,109.2055485498
2020-04-02,112.9466162253
2020-04-03,117.8646490122
2020-04-07,126.3135771332
2020-04-08,124.1277847835
2020-04-09,126.3135771332
2020-04-10,124.8844052123
2020-04-13,131.4417822615
2020-04-14,131.3156788567
2020-04-15,136.5699873897
2020-04-16,136.1496427070
2020-04-17,134.4682639765
2020-04-20,132.5767129046
2020-04-21,134.4262295082
2020-04-22,131.6099201345
2020-04-23,137.6628835645
2020-04-24,141.5300546448
2020-04-27,148.0874316940
2020-04-28,143.9260193359
2020-04-29,140.9415720891
2020-04-30,140.9836065574
2020-05-06,144.2622950820
2020-05-07,143.8839848676
2020-05-08,143.6317780580
2020-05-11,143.2114333754
2020-05-12,139.5544346364
2020-05-13,136.9482976040
2020-05-14,136.1916771753
2020-05-15,137.1584699454
2020-05-18,135.1828499369
2020-05-19,139.0500210172
2020-05-20,142.2026061370
2020-05-21,142.3287095418
2020-05-22,141.5300546448
2020-05-25,143.8419503993
2020-05-26,143.1273644388
2020-05-27,142.7910886927
2020-05-28,143.2114333754
2020-05-29,143.8419503993
2020-06-01,146.5741908365
2020-06-02,150.2311895755
2020-06-03,150.6094997898
2020-06-04,149.1382934006
2020-06-05,150.0630517024
2020-06-08,150.1471206389
2020-06-09,150.0210172341
2020-06-10,149.4745691467
2020-06-11,144.5985708281
2020-06-12,140.3110550652
2020-06-15,141.4459857083
2020-06-16,144.2622950820
2020-06-17,146.2379150904
2020-06-18,145.9857082808
2020-06-19,148.4237074401
2020-06-22,148.2976040353
2020-06-23,148.7599831862
2020-06-24,147.4148802018
2020-06-29,146.0697772173
2020-06-30,148.8440521227
2020-07-01,148.8440521227
2020-07-02,150.6935687264
2020-07-03,151.1559478773
2020-07-06,150.1050861707
2020-07-07,150.5674653216
2020-07-08,151.2400168138
2020-07-09,152.2908785204
2020-07-10,152.5430853300
2020-07-13,158.5119798235
2020-07-14,160.5716687684
2020-07-15,162.8835645229
2020-07-16,162.9255989912
2020-07-17,164.3968053804
2020-07-20,161.2021857923
2020-07-21,165.9100462379
2020-07-22,168.3480453972
2020-07-23,167.9277007146
2020-07-24,166.0781841110
2020-07-27,166.1202185792
2020-07-28,163.8923917612
2020-07-29,164.3547709121
2020-07-30,162.2530474989
2020-07-31,160.9920134510
2020-08-03,160.2774274905
2020-08-04,162.5893232451
2020-08-05,165.9520807062
2020-08-06,166.9609079445
2020-08-07,166.5825977301
2020-08-10,166.1622530475
2020-08-11,164.3547709121
2020-08-12,162.2950819672
2020-08-13,162.3371164355
2020-08-14,161.4543926019
2020-08-17,163.4300126103
2020-08-18,162.9255989912
2020-08-19,161.3703236654
2020-08-20,152.8793610761
