data,value
2025-10-29,100.0000000000
2025-10-30,100.1350945662
2025-10-31,99.5496847793
2025-11-03,99.2044431102
2025-11-04,98.8892224557
2025-11-05,97.9735815071
2025-11-06,97.0879615731
2025-11-07,97.2380666467
2025-11-10,97.1179825878
2025-11-11,97.1930351246
2025-11-12,97.1029720805
2025-11-13,96.9978985290
2025-11-14,97.5833083158
2025-11-17,97.2080456319
2025-11-18,96.6826778745
2025-11-19,96.5025517863
2025-11-20,96.2473731612
2025-11-21,96.0222155509
2025-11-24,95.7820474332
2025-11-25,95.5568898229
2025-11-26,94.7613329331
2025-11-27,94.6862803963
2025-11-28,95.7220054038
2025-12-01,96.4274992495
2025-12-02,96.4875412789
2025-12-03,96.2623836686
2025-12-04,95.5869108376
2025-12-05,94.9714800360
2025-12-08,94.3260282198
2025-12-09,93.8306814770
2025-12-10,93.1702191534
2025-12-11,93.3503452417
2025-12-12,92.2095466827
2025-12-15,93.0801561093
2025-12-16,92.6598619033
2025-12-17,92.6748724107
2025-12-18,93.2002401681
2025-12-19,92.3596517562
2025-12-22,91.3089162414
2025-12-23,91.3089162414
2025-12-24,92.2996097268
2025-12-25,92.9750825578
2025-12-26,92.6298408886
2025-12-29,93.0651456019
2025-12-30,92.9300510357
2025-12-31,93.5905133594
2026-01-05,93.3503452417
2026-01-06,93.7706394476
2026-01-07,94.5962173521
2026-01-08,95.0465325728
2026-01-09,95.0615430802
2026-01-12,95.3317322125
2026-01-13,95.6619633744
2026-01-14,95.9471630141
2026-01-15,96.3074151906
2026-01-16,96.0822575803
2026-01-19,95.7970579406
2026-01-20,95.3767637346
2026-01-21,95.4217952567
2026-01-22,95.8120684479
2026-01-23,96.2473731612
2026-01-26,97.3203814448
2026-01-27,96.9235153673
2026-01-28,98.0994148561
2026-01-29,98.9813394728
2026-01-30,99.2753143450
2026-02-02,98.2611010358
2026-02-03,97.3056827012
2026-02-04,97.9230299328
2026-02-05,97.2468877267
2026-02-06,96.5854442643
2026-02-09,96.4972518026
2026-02-10,96.5119505462
2026-02-11,96.7912266748
2026-02-12,96.7177329567
2026-02-13,96.2620719048
2026-02-24,97.9174689715
2026-02-25,98.2251091344
2026-02-26,98.0639642872
2026-02-27,96.4378662836
2026-03-02,99.7047118223
2026-03-03,104.0263236336
2026-03-04,108.4797812289
2026-03-05,109.4612998437
2026-03-06,111.1899445682
2026-03-09,116.0096404526
2026-03-10,115.8484956054
2026-03-11,115.8338460739
2026-03-12,120.4923971111
2026-03-13,120.6974905530
2026-03-16,123.0414156032
2026-03-17,121.0197802474
2026-03-18,121.6057615100
2026-03-19,124.0082846864
2026-03-20,123.4516024870
2026-03-23,125.8394761319
2026-03-24,124.9165556433
2026-03-25,123.0267660716
2026-03-26,125.2091202918
2026-03-27,127.4743487229
2026-03-30,131.1346263707
2026-03-31,126.8527921412
2026-04-01,124.5185018677
2026-04-02,124.7809368689
2026-04-03,126.6179818770
2026-04-07,133.4274795388
2026-04-08,127.9301568828
2026-04-09,124.5737513416
2026-04-10,125.3472439767
2026-04-13,125.0986213440
2026-04-14,124.6290008156
2026-04-15,124.4770647623
2026-04-16,124.6290008156
2026-04-17,124.5461266047
2026-04-20,123.5101989685
2026-04-21,123.3582629152
2026-04-22,123.3582629152
2026-04-23,123.3582629152
2026-04-24,123.3858876522
2026-04-27,125.1655608020
2026-04-28,127.3183912251
2026-04-29,129.1267687806
2026-04-30,130.3036494119
2026-05-06,132.1981401843
2026-05-07,129.7582657047
2026-05-08,128.2943410170
2026-05-11,130.1601273837
2026-05-12,131.2078381896
2026-05-13,131.5379388545
2026-05-14,131.5953476658
2026-05-15,131.7101652884
2026-05-18,132.8870459197
2026-05-19,132.9301025281
2026-05-20,133.8486435087
2026-05-21,133.7194736833
2026-05-22,133.5759516551
2026-05-25,132.0133213714
2026-05-26,130.2047215061
2026-05-27,130.1179087125
2026-05-28,129.7995951362
2026-05-29,129.3510623696
2026-06-01,130.8702862565
2026-06-02,132.9971996982
2026-06-03,134.2125788077
2026-06-04,134.3717355958
2026-06-05,134.7479243678
2026-06-08,135.3411451237
2026-06-09,134.5453611829
2026-06-10,133.3589196712
2026-06-11,133.9232028292
2026-06-12,133.5036076605
2026-06-15,132.3750413445
2026-06-16,131.1451934361
2026-06-17,130.6966606695
2026-06-18,129.4234063642
2026-06-22,128.0778080644
2026-06-23,127.1807425312
2026-06-24,126.0521762152
2026-06-25,121.5347187943
2026-06-26,123.7850507437
2026-06-29,123.9865730079
2026-06-30,125.2628806807
2026-07-01,124.4735851462
2026-07-02,122.7606459011
2026-07-03,124.7590750204
2026-07-06,125.9010345171
2026-07-07,127.1941357120
2026-07-08,130.0490344539
2026-07-09,130.6536012463
2026-07-10,129.8810992338
2026-07-13,131.0062652085
2026-07-14,133.7436092963
2026-07-15,135.2550262773
2026-07-16,135.5908967175
2026-07-17,135.8260060257
2026-07-20,137.8748157110
2026-07-21,136.9175849564
2026-07-22,136.9511720004
