data,value
2014-02-28,100.0000000000
2014-03-03,99.8313027179
2014-03-04,99.9062792877
2014-03-05,100.2811621368
2014-03-06,99.6251171509
2014-03-07,99.5876288660
2014-03-10,98.5473289597
2014-03-11,98.8191190253
2014-03-12,99.1940018744
2014-03-13,99.8031865042
2014-03-14,100.0749765698
2014-03-17,100.0093720712
2014-03-18,100.8059981256
2014-03-19,101.1059044049
2014-03-20,100.9653233365
2014-03-21,101.0590440487
2014-03-24,101.3683223993
2014-03-25,102.1274601687
2014-03-26,102.6148078725
2014-03-27,102.8022492971
2014-03-28,103.0365510778
2014-03-31,103.4864104967
2014-04-01,103.9362699157
2014-04-02,102.5210871603
2014-04-03,104.7328959700
2014-04-04,105.5576382381
2014-04-08,105.2952202437
2014-04-09,104.9578256795
2014-04-10,105.1546391753
2014-04-11,104.9297094658
2014-04-14,105.5107778819
2014-04-15,105.6513589503
2014-04-16,105.9325210872
2014-04-17,106.7666354264
2014-04-18,106.9259606373
2014-04-21,107.2446110590
2014-04-22,107.8819119025
2014-04-23,107.8444236176
2014-04-24,107.7225866917
2014-04-25,107.7694470478
2014-04-28,108.0412371134
2014-04-29,107.7413308341
2014-04-30,107.7975632615
2014-05-05,108.0131208997
2014-05-06,108.0880974695
2014-05-07,108.1818181818
2014-05-08,108.0318650422
2014-05-09,108.0787253983
2014-05-12,108.4024612555
2014-05-13,108.4024612555
2014-05-14,108.4024612555
2014-05-15,108.4024612555
2014-05-16,108.4024612555
2014-05-19,108.4024612555
2014-05-20,108.4024612555
2014-05-21,108.4024612555
2014-05-22,108.4024612555
2014-05-23,108.4024612555
2014-05-26,108.4024612555
2014-05-27,109.1676550996
2014-05-28,109.1676550996
2014-05-29,113.5331840823
2014-05-30,118.0654860823
2014-06-03,118.0654860823
2014-06-04,118.0654860823
2014-06-05,118.0654860823
2014-06-06,118.0654860823
2014-06-09,118.0654860823
2014-06-10,118.0654860823
2014-06-11,118.0654860823
2014-06-12,118.0654860823
2014-06-13,118.0654860823
2014-06-16,118.0654860823
2014-06-17,118.0654860823
2014-06-18,118.0654860823
2014-06-19,118.0654860823
2014-06-20,118.0654860823
2014-06-23,118.0654860823
2014-06-24,118.0654860823
2014-06-25,118.0654860823
2014-06-26,118.0654860823
2014-06-27,118.0654860823
2014-06-30,118.0654860823
2014-07-01,118.0654860823
2014-07-02,118.0654860823
2014-07-03,118.0654860823
2014-07-04,118.0654860823
2014-07-07,118.0654860823
2014-07-08,118.0654860823
2014-07-09,118.0654860823
2014-07-10,118.0654860823
2014-07-11,118.0654860823
2014-07-14,118.0654860823
2014-07-15,118.0654860823
2014-07-16,116.2373094379
2014-07-17,116.2373094379
2014-07-18,116.2373094379
2014-07-21,114.7155311139
2014-07-22,114.7155311139
2014-07-23,114.7155311139
2014-07-24,114.7155311139
2014-07-25,114.7155311139
2014-07-28,114.7155311139
2014-07-29,114.7155311139
2014-07-30,114.7155311139
2014-07-31,114.7155311139
2014-08-01,114.7155311139
2014-08-04,114.7155311139
2014-08-05,114.7155311139
2014-08-06,114.7155311139
2014-08-07,114.7155311139
2014-08-08,114.7155311139
2014-08-11,114.8580095947
2014-08-12,113.9522535382
2014-08-13,113.8403061604
2014-08-14,113.7894209887
2014-08-15,114.0133157442
2014-08-18,114.6137607704
2014-08-19,115.1734976593
2014-08-20,114.9496029038
2014-08-21,115.5195168270
2014-08-22,116.0385455785
2014-08-25,116.4252728835
2014-08-26,117.3920911461
2014-08-27,117.8704117602
2014-08-28,117.7075792107
2014-08-29,118.0434213440
2014-09-01,117.9416510006
2014-09-02,118.1451916875
2014-09-03,118.0637754127
2014-09-04,117.5956318329
2014-09-05,117.7788184511
2014-09-09,118.0535983784
2014-09-10,118.0758600413
2014-09-11,118.7659715913
2014-09-12,119.5339989615
2014-09-15,119.5339989615
2014-09-16,119.2334665123
2014-09-17,119.2334665123
2014-09-18,118.7214482655
2014-09-19,118.7214482655
2014-09-22,116.2170111888
2014-09-23,116.2170111888
2014-09-24,116.8737302445
2014-09-25,116.8737302445
2014-09-26,119.8345314107
2014-09-29,120.4133346462
2014-09-30,120.4133346462
2014-10-08,120.4133346462
2014-10-09,120.4133346462
2014-10-10,120.4133346462
2014-10-13,120.4133346462
2014-10-14,120.4133346462
2014-10-15,120.4133346462
2014-10-16,121.3052852732
2014-10-17,121.3052852732
2014-10-20,117.8043790622
2014-10-21,121.8627544150
2014-10-22,118.9416161116
2014-10-23,118.9416161116
2014-10-24,118.9416161116
2014-10-27,118.9416161116
2014-10-28,118.9416161116
2014-10-29,118.9416161116
2014-10-30,118.9416161116
2014-10-31,118.1834580786
2014-11-03,118.1834580786
2014-11-04,118.1834580786
2014-11-05,118.1834580786
2014-11-06,118.1834580786
2014-11-07,118.1834580786
2014-11-10,119.5190578657
2014-11-11,120.9117345667
2014-11-12,120.9117345667
2014-11-13,120.9117345667
2014-11-14,120.9117345667
2014-11-17,121.5053344720
2014-11-18,125.3409030912
2014-11-19,125.3409030912
2014-11-20,125.3409030912
2014-11-21,125.3409030912
2014-11-24,125.3409030912
2014-11-25,125.3409030912
2014-11-26,125.5577953643
2014-11-27,125.5577953643
2014-11-28,125.5577953643
2014-12-01,125.5577953643
2014-12-02,125.5577953643
2014-12-03,125.5577953643
2014-12-04,125.5577953643
2014-12-05,125.5577953643
2014-12-08,125.0708136669
2014-12-09,121.4254078174
2014-12-10,119.9783764879
2014-12-11,117.9747946470
2014-12-12,117.3069340333
2014-12-15,118.2948111910
2014-12-16,120.1870829296
2014-12-17,121.8149931754
2014-12-18,125.2377788203
2014-12-19,128.6605644652
2014-12-22,132.1529189240
2014-12-23,130.1215095575
2014-12-24,129.6762691484
2014-12-25,129.9545444041
2014-12-26,129.6067003345
2014-12-29,131.6241959382
2014-12-30,132.8068657749
2014-12-31,135.1443779226
2015-01-05,127.7283423587
2015-01-06,121.0914775106
2015-01-07,117.9052258330
2015-01-08,115.1920420901
2015-01-09,115.6790237876
2015-01-12,114.3678181640
2015-01-13,114.3678181640
2015-01-14,114.3678181640
2015-01-15,114.3678181640
2015-01-16,118.9291398544
2015-01-19,118.9291398544
2015-01-20,116.4183205753
2015-01-21,118.1200980867
2015-01-22,119.3336607383
2015-01-23,119.3336607383
2015-01-26,119.2639157583
2015-01-27,117.0181274031
2015-01-28,114.5212571200
2015-01-29,111.4245800091
2015-01-30,107.6862490824
2015-02-02,108.0349739822
2015-02-03,108.0349739822
2015-02-04,114.1725322201
2015-02-05,114.1725322201
2015-02-06,114.1725322201
2015-02-09,116.9216288132
2015-02-10,121.5979271417
2015-02-11,121.5979271417
2015-02-12,121.5979271417
2015-02-13,121.5979271417
2015-02-16,120.3650848551
2015-02-17,128.2864508115
2015-02-25,128.2864508115
2015-02-26,128.2864508115
2015-02-27,133.4162083719
2015-03-02,131.1489122126
2015-03-03,131.1489122126
2015-03-04,131.1489122126
2015-03-05,123.2842286602
2015-03-06,123.2842286602
2015-03-09,123.1621197299
2015-03-10,123.1621197299
2015-03-11,121.7426034163
2015-03-12,122.5515750789
2015-03-13,122.7194748579
2015-03-16,125.6653527992
2015-03-17,126.5353789269
2015-03-18,126.5353789269
2015-03-19,126.5353789269
2015-03-20,128.4433309614
2015-03-23,126.1995793688
2015-03-24,126.1995793688
2015-03-25,130.9923548795
2015-03-26,134.3198232276
2015-03-27,134.3198232276
2015-03-30,132.9766249953
2015-03-31,133.1445247744
2015-04-01,133.1445247744
2015-04-02,133.1445247744
2015-04-03,138.4257360058
2015-04-07,138.4257360058
2015-04-08,138.4257360058
2015-04-09,138.4257360058
2015-04-10,137.9627237253
2015-04-13,138.0822107654
2015-04-14,135.3041370821
2015-04-15,133.2877932797
2015-04-16,135.2742653220
2015-04-17,138.2913130857
2015-04-20,138.6945818461
2015-04-21,138.1867619255
2015-04-22,137.5295832047
2015-04-23,138.6647100861
2015-04-24,140.0985545678
2015-04-27,143.3097687717
2015-04-28,145.6696378145
2015-04-29,143.6831657721
2015-04-30,144.6390620933
2015-05-04,143.3545764117
2015-05-05,143.2500252516
2015-05-06,143.0409229313
2015-05-07,141.5174631695
2015-05-08,139.9491957676
