data,value
2019-08-16,100.0000000000
2019-08-19,99.8100922409
2019-08-20,99.4574064026
2019-08-21,99.5659251221
2019-08-22,98.7249050461
2019-08-23,98.5349972870
2019-08-26,98.8062940857
2019-08-27,98.7249050461
2019-08-28,98.4536082474
2019-08-29,98.3179598481
2019-08-30,98.3722192078
2019-09-02,98.3722192078
2019-09-03,98.1551817689
2019-09-04,98.1551817689
2019-09-05,98.2637004883
2019-09-06,99.3760173630
2019-09-09,99.0504612046
2019-09-10,99.1318502442
2019-09-11,98.8334237656
2019-09-12,98.6163863266
2019-09-16,98.8605534455
2019-09-17,99.2403689636
2019-09-18,99.5387954422
2019-09-19,99.5659251221
2019-09-20,99.5930548020
2019-09-23,99.5930548020
2019-09-24,99.4845360825
2019-09-25,99.2132392838
2019-09-26,99.4845360825
2019-09-27,98.9690721649
2019-09-30,98.8876831253
2019-10-08,98.6977753663
2019-10-09,98.9690721649
2019-10-10,98.9148128052
2019-10-11,98.8334237656
2019-10-14,98.7791644059
2019-10-15,98.7249050461
2019-10-16,98.6163863266
2019-10-17,98.6435160065
2019-10-18,98.6706456864
2019-10-21,98.5892566468
2019-10-22,98.1551817689
2019-10-23,98.1551817689
2019-10-24,98.2094411286
2019-10-25,98.1823114487
2019-10-28,98.2365708085
2019-10-29,98.1823114487
2019-10-30,98.1823114487
2019-10-31,98.5078676072
2019-11-01,98.2908301682
2019-11-04,98.3179598481
2019-11-05,97.9924036896
2019-11-06,98.0737927292
2019-11-07,98.1009224091
2019-11-08,98.1280520890
2019-11-11,97.9381443299
2019-11-12,97.8838849702
2019-11-13,97.9924036896
2019-11-14,97.9652740098
2019-11-15,98.1280520890
2019-11-18,98.2094411286
2019-11-19,98.1551817689
2019-11-20,98.0737927292
2019-11-21,97.9110146500
2019-11-22,97.8567552903
2019-11-25,97.8567552903
2019-11-26,97.8838849702
2019-11-27,97.6668475312
2019-11-28,97.1785132935
2019-11-29,96.7986977754
2019-12-02,96.4188822572
2019-12-03,95.4964731416
2019-12-04,94.0586001085
2019-12-05,93.0005425936
2019-12-06,93.2718393923
2019-12-09,93.2989690722
2019-12-10,92.4850786761
2019-12-11,92.1323928378
2019-12-12,92.1323928378
2019-12-13,92.1052631579
2019-12-16,92.1052631579
2019-12-17,91.9153553988
2019-12-18,91.1828540423
2019-12-19,89.9620184482
2019-12-20,88.0629408573
2019-12-23,87.8459034183
2019-12-24,88.0629408573
2019-12-25,88.2528486164
2019-12-26,88.3884970157
2019-12-27,88.1172002170
2019-12-30,87.3304395008
2019-12-31,85.5398806294
2020-01-02,83.2067281606
2020-01-03,84.0748779164
