data,value
2025-10-29,100.0000000000
2025-10-30,101.0673922143
2025-10-31,99.7907074090
2025-11-03,98.8698200084
2025-11-04,98.7023859355
2025-11-05,97.9070740896
2025-11-06,97.6140644621
2025-11-07,97.6140644621
2025-11-10,97.2791963165
2025-11-11,96.9443281708
2025-11-12,96.8606111344
2025-11-13,96.6722478024
2025-11-14,97.2373377982
2025-11-17,96.8606111344
2025-11-18,96.0652992884
2025-11-19,95.2281289242
2025-11-20,93.9723733780
2025-11-21,94.4537463374
2025-11-24,94.7048974466
2025-11-25,95.2281289242
2025-11-26,94.7676852239
2025-11-27,95.1234826287
2025-11-28,96.0443700293
2025-12-01,96.2536626203
2025-12-02,96.1699455839
2025-12-03,95.7304311427
2025-12-04,94.9979070741
2025-12-05,93.9723733780
2025-12-08,93.1561322729
2025-12-09,92.6538300544
2025-12-10,91.7329426538
2025-12-11,91.0632063625
2025-12-12,89.6609460025
2025-12-15,90.8748430306
2025-12-16,92.0468815404
2025-12-17,92.8212641272
2025-12-18,93.4491419004
2025-12-19,92.7584763499
2025-12-22,91.4399330264
2025-12-23,93.3444956049
2025-12-24,94.0770196735
2025-12-25,93.8886563416
2025-12-26,94.5793218920
2025-12-29,95.4583507744
2025-12-30,95.0188363332
2025-12-31,94.8723315195
2026-01-05,94.1816659690
2026-01-06,96.4420259523
2026-01-07,97.9280033487
2026-01-08,97.3210548347
2026-01-09,96.4210966932
2026-01-12,96.2118041021
2026-01-13,97.2164085391
2026-01-14,96.9233989117
2026-01-15,96.8606111344
2026-01-16,96.2955211386
2026-01-19,95.9815822520
2026-01-20,96.0234407702
2026-01-21,95.5839263290
2026-01-22,95.8141481792
2026-01-23,96.2745918794
2026-01-26,97.5590818077
2026-01-27,97.2483181154
2026-01-28,96.9582720025
2026-01-29,96.6060731513
2026-01-30,98.7607014180
2026-02-02,99.7965803924
2026-02-03,99.9623210283
2026-02-04,100.7910242078
2026-02-05,100.2730847206
2026-02-06,98.6778311000
2026-02-09,98.7814189975
2026-02-10,98.3670674077
2026-02-11,98.5328080436
2026-02-12,98.3049146692
2026-02-13,98.0977388744
2026-02-24,98.3392597743
2026-02-25,98.9229352826
2026-02-26,97.5140633661
2026-02-27,95.4208822329
2026-03-02,96.0649379662
2026-03-03,97.3530494328
2026-03-04,98.8625550576
