data,value
2009-05-25,100.0000000000
2009-05-26,99.7690531178
2009-05-27,100.0000000000
2009-06-01,100.9237875289
2009-06-02,101.0007698229
2009-06-03,101.0777521170
2009-06-04,100.8468052348
2009-06-05,102.2324865281
2009-06-08,106.5434949962
2009-06-09,108.2371054657
2009-06-10,108.1601231717
2009-06-11,107.4672825250
2009-06-12,106.0816012317
2009-06-15,105.3117782910
2009-06-16,105.4657428791
2009-06-17,106.7744418784
2009-06-18,107.8521939954
2009-06-19,106.8514241724
2009-06-22,105.6966897614
2009-06-23,103.9260969977
2009-06-24,104.0030792918
2009-06-25,105.0038491147
2009-06-26,105.6197074673
2009-06-29,104.9268668206
2009-06-30,105.6197074673
2009-07-01,105.3887605851
2009-07-02,105.4657428791
2009-07-03,105.2347959969
2009-07-06,106.2355658199
2009-07-07,106.3125481139
2009-07-08,105.8506543495
2009-07-09,105.3117782910
2009-07-10,106.6204772902
2009-07-13,105.8506543495
2009-07-14,105.5427251732
2009-07-15,106.3895304080
2009-07-16,106.9284064665
2009-07-17,107.4672825250
2009-07-20,108.0831408776
2009-07-21,106.6974595843
2009-07-22,106.3125481139
2009-07-23,105.9276366436
2009-07-24,106.3125481139
2009-07-27,107.3903002309
2009-07-28,108.8529638183
2009-07-29,108.6989992302
2009-07-30,110.3926096998
2009-07-31,114.3187066975
2009-08-03,115.5504234026
2009-08-04,113.3179368745
2009-08-05,113.4719014627
2009-08-06,114.9345650500
2009-08-07,114.5496535797
2009-08-10,114.8575827560
2009-08-11,117.4749807544
2009-08-12,118.3987682833
2009-08-13,118.5527328714
2009-08-14,115.7043879908
2009-08-17,111.4703618168
2009-08-18,110.1616628176
2009-08-19,108.0831408776
2009-08-20,107.8521939954
2009-08-21,108.6220169361
2009-08-24,110.7775211701
2009-08-25,109.1608929946
2009-08-26,108.6220169361
2009-08-27,108.3910700539
2009-08-28,108.6220169361
2009-08-31,106.9284064665
2009-09-01,105.3887605851
2009-09-02,103.9260969977
2009-09-03,103.9260969977
2009-09-04,105.0038491147
2009-09-07,105.0808314088
2009-09-08,103.7721324095
2009-09-09,103.3183184194
2009-09-10,103.5452254145
2009-09-11,103.4695897495
2009-09-14,102.7888687643
2009-09-15,101.3517911289
2009-09-16,100.8223414737
2009-09-17,100.8979771387
2009-09-18,100.6710701437
2009-09-21,99.9903491585
2009-09-22,99.9903491585
2009-09-23,99.7634421634
2009-09-24,98.4020001930
