data,value
2006-01-09,100.0000000000
2006-01-10,102.1196513471
2006-01-11,102.1196513471
2006-01-12,98.1576862124
2006-01-13,97.8407290016
2006-01-16,96.5530903328
2006-01-17,96.5530903328
2006-01-18,97.1671949287
2006-01-19,97.1671949287
2006-01-20,98.7321711569
2006-01-23,99.0491283677
2006-01-24,99.0491283677
2006-01-25,99.0491283677
2006-01-26,98.9302694136
2006-01-27,98.9302694136
2006-02-06,100.9310618067
2006-02-07,100.9310618067
2006-02-08,100.9310618067
2006-02-09,100.9310618067
2006-02-10,100.9310618067
2006-02-13,100.9310618067
2006-02-14,100.9310618067
2006-02-15,100.9310618067
2006-02-16,100.9310618067
2006-02-17,100.9310618067
2006-02-20,100.9310618067
2006-02-21,100.9310618067
2006-02-22,100.9310618067
2006-02-23,100.9310618067
2006-02-24,100.9310618067
2006-02-27,100.9310618067
2006-02-28,100.9310618067
2006-03-01,100.9310618067
2006-03-02,100.9310618067
2006-03-03,100.9310618067
2006-03-06,100.9310618067
2006-03-07,100.9310618067
2006-03-08,100.9310618067
2006-03-09,101.2909586198
2006-03-10,101.2309758176
2006-03-13,101.3509414219
2006-03-14,100.9910446088
2006-03-15,101.0910159458
2006-03-16,100.9910446088
2006-03-17,99.6314344260
2006-03-20,99.6314344260
2006-03-21,99.5114688217
2006-03-22,99.5114688217
2006-03-23,99.5114688217
2006-03-24,99.0516006716
2006-03-27,99.0116121368
2006-03-28,98.9916178694
2006-03-29,98.9716236020
2006-03-30,98.9716236020
2006-03-31,97.9719102323
2006-04-03,97.9719102323
2006-04-04,97.9719102323
2006-04-05,97.9719102323
2006-04-06,94.0930223578
2006-04-07,95.1927070645
2006-04-10,94.4529191709
2006-04-11,93.2132745924
2006-04-12,93.2132745924
2006-04-13,93.2132745924
2006-04-14,96.8522312582
2006-04-17,93.1732860577
2006-04-18,93.1732860577
2006-04-19,93.1732860577
2006-04-20,93.1732860577
2006-04-21,93.1732860577
2006-04-24,96.8922197930
2006-04-25,96.8922197930
2006-04-26,96.8922197930
2006-04-27,96.8922197930
2006-04-28,96.8922197930
2006-05-08,96.8922197930
2006-05-09,91.1738593182
2006-05-10,96.6123000495
2006-05-11,102.1707063851
2006-05-12,98.9716236020
2006-05-15,102.0102260810
2006-05-16,102.0102260810
2006-05-17,102.0102260810
2006-05-18,100.3725377319
2006-05-19,100.1949570676
2006-05-22,99.4451720403
2006-05-23,99.3465161157
2006-05-24,99.9187204786
2006-05-25,99.9187204786
2006-05-26,99.9187204786
2006-05-29,99.9187204786
2006-05-30,99.9187204786
2006-05-31,99.9187204786
2006-06-01,100.4514624717
2006-06-02,98.9124300472
2006-06-05,102.3653874097
2006-06-06,102.0496884509
2006-06-07,101.1420539442
2006-06-08,97.6693653967
2006-06-09,99.5043655951
2006-06-12,102.4048497796
2006-06-13,102.4048497796
2006-06-14,103.0954412521
2006-06-15,101.0236668346
2006-06-16,101.0236668346
2006-06-19,100.1752258827
2006-06-20,100.8658173552
2006-06-21,98.5769999034
2006-06-22,98.1231826501
2006-06-23,98.1231826501
2006-06-26,98.1231826501
2006-06-27,98.1231826501
2006-06-28,98.1231826501
2006-06-29,98.1231826501
2006-06-30,98.6559246432
2006-07-03,100.8855485401
2006-07-04,100.6290431360
2006-07-05,100.6290431360
2006-07-06,100.6290431360
2006-07-07,101.3985593482
2006-07-10,103.8404512236
2006-07-11,104.0205907881
2006-07-12,101.9990245635
2006-07-13,103.5202031088
2006-07-14,103.8804822379
2006-07-17,104.2807923814
2006-07-18,101.7988694917
2006-07-19,100.2376599321
2006-07-20,100.2376599321
2006-07-21,104.2407613671
2006-07-24,104.2407613671
2006-07-25,104.2407613671
2006-07-26,105.2015057115
2006-07-27,105.3215987545
2006-07-28,105.3215987545
2006-07-31,105.3215987545
